date,pm25_mean
2022-01-01,35.333333333333336
2022-01-02,37.541666666666664
2022-01-03,18.458333333333332
2022-01-04,26.708333333333332
2022-01-05,28.083333333333332
2022-01-06,40.875
2022-01-07,19.75
2022-01-08,56.916666666666664
2022-01-09,41.291666666666664
2022-01-10,54.5
2022-01-11,57.416666666666664
2022-01-12,40.708333333333336
2022-01-13,50.333333333333336
2022-01-14,21.291666666666668
2022-01-15,23.041666666666668
2022-01-16,28.041666666666668
2022-01-17,28.958333333333332
2022-01-18,35.875
2022-01-19,23.166666666666668
2022-01-20,26.416666666666668
2022-01-21,35.75
2022-01-22,35.208333333333336
2022-01-23,27.5
2022-01-24,51.791666666666664
2022-01-25,44.791666666666664
2022-01-26,63.5
2022-01-27,25.8
2022-01-28,45.0
2022-01-29,35.458333333333336
2022-01-30,49.708333333333336
2022-01-31,49.43478260869565
2022-02-01,31.333333333333332
2022-02-02,38.875
2022-02-03,56.791666666666664
2022-02-04,27.666666666666668
2022-02-05,46.958333333333336
2022-02-06,27.833333333333332
2022-02-07,26.875
2022-02-08,41.083333333333336
2022-02-09,34.875
2022-02-10,21.166666666666668
2022-02-11,25.375
2022-02-12,27.625
2022-02-13,30.208333333333332
2022-02-14,39.458333333333336
2022-02-15,33.375
2022-02-16,52.208333333333336
2022-02-17,33.666666666666664
2022-02-18,24.541666666666668
2022-02-19,23.041666666666668
2022-02-20,29.083333333333332
2022-02-21,29.041666666666668
2022-02-22,48.291666666666664
2022-02-23,57.416666666666664
2022-02-24,45.833333333333336
2022-02-25,50.791666666666664
2022-02-26,48.2
2022-02-27,28.63157894736842
2022-02-28,32.333333333333336
2022-03-01,28.5
2022-03-02,44.25
2022-03-03,28.833333333333332
2022-03-04,31.208333333333332
2022-03-05,48.166666666666664
2022-03-06,32.0
2022-03-07,27.125
2022-03-08,29.625
2022-03-09,28.333333333333332
2022-03-10,21.416666666666668
2022-03-11,22.0
2022-03-12,18.291666666666668
2022-03-13,25.083333333333332
2022-03-14,34.458333333333336
2022-03-15,24.625
2022-03-16,30.916666666666668
2022-03-17,28.333333333333332
2022-03-18,17.375
2022-03-19,28.166666666666668
2022-03-20,47.666666666666664
2022-03-21,52.333333333333336
2022-03-22,32.52173913043478
2022-03-24,36.05882352941177
2022-03-25,29.416666666666668
