metric,value
n_measurements,8301
date_start,2022-01-01
date_end,2023-06-29
mean_pm25,37.8
median_pm25,27.0
sd_pm25,38.4
min_pm25,2.0
max_pm25,857.0
who_daily_exceedance_pct,92.8
who_annual_exceedance_factor,7.6
winter_mean,58.9
spring_mean,26.9
summer_mean,26.1
fall_mean,37.5
school_hours_mean,34.1
morning_commute_mean,39.8
evening_commute_mean,31.8
weekday_weekend_diff_pct,-4.0
paf_estimate,22.3
