way_id,seq,lat,lon,highway
22778824,0,41.3852534,69.2913187,trunk
22778824,1,41.38486,69.2910161,trunk
22795313,0,41.311128,69.2815506,primary
22795313,1,41.3116776,69.2815866,primary
22795313,2,41.3116978,69.2815903,primary
22795313,3,41.3117179,69.2815946,primary
22795313,4,41.3117382,69.2816009,primary
22795313,5,41.3117582,69.281608,primary
22795313,6,41.3117768,69.2816185,primary
22795313,7,41.3117955,69.2816304,primary
22795313,8,41.3118141,69.2816441,primary
22795313,9,41.3118313,69.2816601,primary
22795313,10,41.3118487,69.2816801,primary
22795313,11,41.3118645,69.2817013,primary
22795313,12,41.3118933,69.2817464,primary
22795313,13,41.3119414,69.2818444,primary
22795396,0,41.3165923,69.2920497,primary
22795396,1,41.3158163,69.2902872,primary
22795396,2,41.3157514,69.2901352,primary
22795396,3,41.315715,69.2900501,primary
22795397,0,41.3168225,69.2928563,primary
22795397,1,41.3173106,69.2939606,primary
22795398,0,41.3175572,69.2945401,primary
22795398,1,41.3195819,69.2991675,primary
22795398,2,41.3196206,69.2992611,primary
22795398,3,41.3198692,69.2998451,primary
22795398,4,41.3203403,69.3009033,primary
22795398,5,41.3204377,69.3011278,primary
22795398,6,41.3204833,69.3012433,primary
22795398,7,41.3205266,69.3013588,primary
22795399,0,41.3174079,69.2938835,primary
22795399,1,41.3169153,69.2927826,primary
22803178,0,41.2408434,69.3901933,trunk
22803178,1,41.2440786,69.3952228,trunk
22803971,0,41.2448232,69.3963505,trunk
22803971,1,41.2452691,69.3969991,trunk
22804101,0,41.2473574,69.3927849,trunk
22804101,1,41.2476271,69.3924327,trunk
22804102,0,41.1482487,69.4290929,trunk
22804102,1,41.1483777,69.4290054,trunk
22804102,2,41.1486789,69.4288018,trunk
22804102,3,41.1504742,69.4275883,trunk
22804102,4,41.1511379,69.427127,trunk
22804103,0,41.246541,69.3935806,trunk
22804103,1,41.246192,69.3940285,trunk
22804103,2,41.2450941,69.3954481,trunk
22804137,0,41.2672801,69.3668915,trunk
22804137,1,41.2672936,69.3669754,trunk
22804137,2,41.2673147,69.3670565,trunk
22804137,3,41.2673431,69.3671335,trunk
22804137,4,41.2673784,69.3672053,trunk
22804137,5,41.2674201,69.3672709,trunk
22804137,6,41.2674674,69.3673291,trunk
22804137,7,41.2675198,69.3673792,trunk
22804137,8,41.2675764,69.3674203,trunk
22804137,9,41.2676364,69.3674519,trunk
22804137,10,41.2676491,69.3674563,trunk
22804137,11,41.2676954,69.3674825,trunk
22804140,0,41.2672743,69.3667871,trunk
22804140,1,41.2672681,69.3668633,trunk
22804149,0,41.2578499,69.3791921,trunk
22804149,1,41.2577627,69.3793083,trunk
22804149,2,41.2575677,69.3795613,trunk
22804149,3,41.2571896,69.3800521,trunk
22804149,4,41.2568674,69.3804703,trunk
22804149,5,41.2556852,69.3819682,trunk
22804149,6,41.2550593,69.3827634,trunk
22804149,7,41.2547887,69.3831073,trunk
22804150,0,41.2611648,69.3758572,trunk
22804150,1,41.26199,69.3751503,trunk
22804151,0,41.2619482,69.3750644,trunk
22804151,1,41.2611263,69.3757781,trunk
22804152,0,41.2622718,69.3747709,trunk
22804152,1,41.2623137,69.3746651,trunk
22804152,2,41.2623844,69.3744624,trunk
22804152,3,41.2624378,69.3742173,trunk
22804152,4,41.2624778,69.3739703,trunk
22804152,5,41.2624901,69.373843,trunk
22804152,6,41.2625034,69.3736922,trunk
22804152,7,41.2625081,69.3736279,trunk
22804152,8,41.2625191,69.3735448,trunk
22804152,9,41.2625352,69.373493,trunk
22804152,10,41.2625647,69.3734405,trunk
22804152,11,41.2662774,69.3687686,trunk
22804152,12,41.2663576,69.3686677,trunk
22804152,13,41.2669568,69.367915,trunk
22804152,14,41.2670611,69.3677839,trunk
22804152,15,41.267101,69.3677444,trunk
22804152,16,41.2671416,69.3677072,trunk
22804152,17,41.2671818,69.3676736,trunk
22804152,18,41.2672274,69.3676425,trunk
22804152,19,41.2672811,69.3676156,trunk
22804152,20,41.2673397,69.3675912,trunk
22804152,21,41.2674628,69.3675481,trunk
22804152,22,41.2675546,69.3675214,trunk
22804152,23,41.2676464,69.3674947,trunk
22804152,24,41.2676954,69.3674825,trunk
22804613,0,41.1628591,69.3271814,trunk
22804613,1,41.1642736,69.327488,trunk
22804613,2,41.1648018,69.3275635,trunk
22804613,3,41.1654675,69.327659,trunk
22804672,0,41.2347452,69.3331432,trunk
22804672,1,41.2360304,69.3321534,trunk
22804674,0,41.2333303,69.3342633,trunk
22804674,1,41.2329935,69.3345884,trunk
22804674,2,41.2326411,69.3349106,trunk
22804674,3,41.2325664,69.3349832,trunk
