lat,lon,dist_to_major_road_m,infiltration,indoor_pm25
41.28638,69.35529,384,0.65,24.6
41.29165,69.36342,425,0.65,24.6
41.33286,69.16855,452,0.65,24.6
41.33965,69.18099,1079,0.8,30.3
41.33815,69.17057,513,0.5,18.9
41.33979,69.17899,1030,0.8,30.3
41.31056,69.32376,500,0.8,30.3
41.26545,69.14974,211,0.8,30.3
41.26694,69.15526,679,0.8,30.3
41.26046,69.15356,244,0.65,24.6
41.27756,69.16665,1624,0.65,24.6
41.31878,69.22963,71,0.8,30.3
41.37961,69.28471,365,0.5,18.9
41.34782,69.38780,1192,0.8,30.3
41.34756,69.38498,1109,0.8,30.3
41.30550,69.21161,289,0.8,30.3
41.30284,69.21653,502,0.5,18.9
41.28615,69.19788,276,0.8,30.3
41.30324,69.20695,156,0.8,30.3
41.26199,69.22609,87,0.8,30.3
41.28231,69.27548,67,0.5,18.9
41.27632,69.21832,794,0.65,24.6
41.28662,69.30467,91,0.65,24.6
41.32321,69.31788,63,0.65,24.6
41.29981,69.22850,201,0.65,24.6
41.25966,69.32129,215,0.8,30.3
41.28604,69.34223,1367,0.8,30.3
41.28487,69.34029,1574,0.65,24.6
41.33314,69.30394,64,0.65,24.6
41.22096,69.33315,83,0.8,30.3
41.28121,69.34718,1126,0.8,30.3
41.34655,69.24523,163,0.65,24.6
41.29248,69.32990,1392,0.8,30.3
41.29430,69.34244,715,0.5,18.9
41.28052,69.18735,424,0.8,30.3
41.27435,69.19950,289,0.8,30.3
41.27921,69.18993,394,0.65,24.6
41.32651,69.19904,311,0.8,30.3
41.26418,69.18178,1111,0.8,30.3
41.33767,69.37367,324,0.8,30.3
41.33842,69.37422,229,0.65,24.6
41.35892,69.39279,268,0.8,30.3
41.34807,69.38603,1122,0.8,30.3
41.29879,69.25781,658,0.65,24.6
41.33546,69.24747,467,0.5,18.9
41.33694,69.24897,376,0.8,30.3
41.24539,69.33142,379,0.8,30.3
41.27850,69.22267,916,0.8,30.3
41.28541,69.25161,120,0.8,30.3
41.33377,69.32736,442,0.8,30.3
41.28860,69.21290,421,0.65,24.6
41.28557,69.22083,291,0.8,30.3
41.36391,69.19287,740,0.8,30.3
41.34797,69.35194,168,0.65,24.6
41.35562,69.21495,675,0.8,30.3
41.27396,69.26341,364,0.8,30.3
41.34634,69.36606,343,0.65,24.6
41.33327,69.32494,566,0.65,24.6
41.28424,69.35718,256,0.65,24.6
41.18762,69.44341,3046,0.8,30.3
41.24714,69.22456,361,0.8,30.3
41.19815,69.20968,258,0.5,18.9
41.31449,69.10673,3845,0.8,30.3
41.26895,69.31820,391,0.8,30.3
41.28226,69.16654,1456,0.8,30.3
41.25297,69.34050,882,0.65,24.6
41.25361,69.34719,666,0.5,18.9
41.20115,69.25035,1581,0.8,30.3
41.24730,69.15596,705,0.5,18.9
41.26878,69.30131,903,0.8,30.3
41.25923,69.20082,362,0.8,30.3
41.26801,69.17491,1824,0.65,24.6
41.26104,69.15730,508,0.8,30.3
41.23529,69.19090,196,0.8,30.3
41.21889,69.21615,646,0.8,30.3
41.27082,69.15848,965,0.5,18.9
41.30684,69.18915,370,0.8,30.3
41.30237,69.18470,755,0.5,18.9
41.35496,69.30257,468,0.65,24.6
41.35203,69.29848,865,0.8,30.3
41.30850,69.23549,227,0.65,24.6
41.32611,69.22599,196,0.8,30.3
41.26961,69.23471,76,0.8,30.3
41.31889,69.35533,200,0.65,24.6
41.21275,69.23325,203,0.65,24.6
41.21599,69.24092,196,0.8,30.3
41.25639,69.32918,679,0.8,30.3
41.27725,69.31280,330,0.65,24.6
41.31742,69.29814,165,0.65,24.6
41.34023,69.33455,78,0.65,24.6
41.32691,69.34523,676,0.8,30.3
41.33574,69.21831,192,0.8,30.3
41.28804,69.26004,213,0.8,30.3
41.35419,69.23786,601,0.65,24.6
41.37610,69.28697,94,0.65,24.6
41.20724,69.21655,340,0.8,30.3
41.25969,69.21163,116,0.8,30.3
41.34175,69.20059,361,0.8,30.3
41.25765,69.37605,223,0.65,24.6
41.41731,69.31239,60,0.65,24.6
41.28558,69.19999,450,0.8,30.3
41.20026,69.22853,811,0.8,30.3
41.35466,69.38818,478,0.8,30.3
41.32377,69.35348,516,0.8,30.3
41.28627,69.17885,399,0.65,24.6
41.20411,69.13903,1506,0.8,30.3
41.28281,69.19677,172,0.8,30.3
41.32459,69.27913,254,0.5,18.9
41.31784,69.32208,263,0.8,30.3
41.33455,69.43946,1066,0.8,30.3
41.22678,69.12486,1135,0.8,30.3
41.19007,69.13531,884,0.8,30.3
41.36665,69.32385,282,0.8,30.3
41.25585,69.42954,871,0.8,30.3
41.32214,69.16243,388,0.8,30.3
41.22711,69.21076,595,0.8,30.3
41.24756,69.28785,358,0.8,30.3
41.27812,69.28742,1002,0.65,24.6
41.24708,69.31426,352,0.8,30.3
41.32052,69.34713,784,0.8,30.3
41.36500,69.27599,564,0.8,30.3
41.31348,69.20318,444,0.65,24.6
41.31789,69.23436,185,0.65,24.6
41.35721,69.32663,852,0.8,30.3
41.35071,69.31691,84,0.8,30.3
41.36991,69.28961,262,0.8,30.3
41.37782,69.26227,1614,0.8,30.3
41.26403,69.21177,488,0.8,30.3
41.34930,69.34287,500,0.8,30.3
41.35107,69.34511,346,0.8,30.3
41.26862,69.25018,116,0.8,30.3
41.23859,69.25532,639,0.8,30.3
41.25701,69.31804,136,0.8,30.3
41.24731,69.29133,332,0.65,24.6
41.33285,69.22354,264,0.8,30.3
41.28298,69.34457,1319,0.5,18.9
41.28274,69.18569,327,0.8,30.3
41.29903,69.35864,571,0.65,24.6
41.27374,69.27554,453,0.5,18.9
41.37257,69.23836,1115,0.5,18.9
41.36960,69.29957,476,0.65,24.6
41.39154,69.25251,704,0.65,24.6
41.37053,69.28329,258,0.65,24.6
41.36700,69.29792,321,0.65,24.6
41.37487,69.31495,557,0.8,30.3
41.37269,69.28073,517,0.8,30.3
41.37569,69.31676,384,0.8,30.3
41.36554,69.31116,887,0.65,24.6
41.36890,69.31896,461,0.8,30.3
41.36823,69.20132,828,0.8,30.3
41.21750,69.26462,584,0.65,24.6
41.31069,69.18098,212,0.8,30.3
41.31452,69.16401,658,0.8,30.3
41.30825,69.16901,60,0.8,30.3
41.28010,69.18831,408,0.8,30.3
41.37811,69.30220,482,0.8,30.3
41.36998,69.26828,1369,0.8,30.3
41.37033,69.30612,993,0.8,30.3
41.37935,69.30372,516,0.8,30.3
41.35887,69.28347,320,0.8,30.3
41.28290,69.17323,991,0.65,24.6
41.28102,69.17483,1062,0.8,30.3
41.33141,69.37228,229,0.5,18.9
41.35437,69.38220,356,0.5,18.9
41.36296,69.38918,221,0.8,30.3
41.30902,69.19886,430,0.8,30.3
41.31008,69.24561,169,0.8,30.3
41.36837,69.26572,1322,0.65,24.6
41.26615,69.16936,1597,0.65,24.6
41.37753,69.27731,873,0.65,24.6
41.27419,69.19804,383,0.8,30.3
41.29929,69.22922,118,0.65,24.6
41.29547,69.21224,299,0.8,30.3
41.27154,69.34962,1060,0.65,24.6
41.26619,69.35537,761,0.8,30.3
41.23431,69.35101,1309,0.65,24.6
41.23374,69.33908,351,0.65,24.6
41.31345,69.23258,230,0.8,30.3
41.34456,69.24105,302,0.65,24.6
41.34819,69.34082,558,0.8,30.3
41.30418,69.15743,95,0.65,24.6
41.29832,69.16779,480,0.8,30.3
41.29855,69.15902,674,0.5,18.9
41.32111,69.17399,1066,0.8,30.3
41.29345,69.19051,291,0.5,18.9
41.28925,69.17886,165,0.65,24.6
41.34428,69.22300,506,0.8,30.3
41.29573,69.18165,391,0.65,24.6
41.24731,69.28523,330,0.65,24.6
41.26840,69.18521,1216,0.5,18.9
41.26658,69.20539,410,0.8,30.3
41.29156,69.14454,446,0.8,30.3
41.27719,69.29318,1118,0.8,30.3
41.38443,69.22004,341,0.65,24.6
41.34105,69.25030,77,0.8,30.3
41.32508,69.18767,442,0.8,30.3
41.28272,69.22676,603,0.8,30.3
41.35268,69.18519,310,0.8,30.3
41.33963,69.26372,360,0.8,30.3
41.35765,69.36895,345,0.65,24.6
41.21507,69.22883,81,0.65,24.6
41.22481,69.36700,103,0.8,30.3
41.32954,69.28769,325,0.8,30.3
41.32943,69.28939,374,0.5,18.9
41.27384,69.26536,241,0.8,30.3
41.24291,69.32478,227,0.8,30.3
41.32454,69.17095,984,0.8,30.3
41.25332,69.15053,489,0.65,24.6
41.34213,69.16905,364,0.8,30.3
41.21002,69.22402,309,0.65,24.6
41.22186,69.21406,665,0.65,24.6
41.27359,69.23025,647,0.8,30.3
41.34226,69.20742,137,0.65,24.6
41.33375,69.20522,225,0.65,24.6
41.24889,69.31085,510,0.8,30.3
41.33265,69.26287,245,0.8,30.3
41.30288,69.30726,236,0.8,30.3
41.40963,69.17828,1923,0.8,30.3
41.29082,69.15947,791,0.8,30.3
41.31520,69.17477,433,0.5,18.9
41.33977,69.29677,777,0.8,30.3
41.26364,69.19365,362,0.8,30.3
41.39583,69.20453,78,0.65,24.6
41.40641,69.19589,549,0.8,30.3
41.40051,69.19472,737,0.5,18.9
41.29559,69.20800,289,0.65,24.6
41.19475,69.21182,676,0.8,30.3
41.33609,69.35245,486,0.8,30.3
41.35354,69.33491,673,0.5,18.9
41.26740,69.16545,1491,0.65,24.6
41.35745,69.23344,548,0.5,18.9
41.31336,69.22740,501,0.8,30.3
41.29214,69.17235,468,0.65,24.6
41.34373,69.30108,1126,0.65,24.6
41.31598,69.20911,74,0.8,30.3
41.28223,69.36718,525,0.8,30.3
41.35694,69.36437,231,0.65,24.6
41.35863,69.36447,418,0.8,30.3
41.35874,69.39268,273,0.8,30.3
41.17928,69.13341,256,0.65,24.6
41.37134,69.27039,1308,0.8,30.3
41.33813,69.37365,277,0.8,30.3
41.34051,69.37183,56,0.8,30.3
41.38604,69.17089,2314,0.8,30.3
41.27216,69.27492,508,0.5,18.9
41.24319,69.14207,1604,0.65,24.6
41.39357,69.35298,2902,0.8,30.3
41.38432,69.35805,3123,0.5,18.9
41.32569,69.28790,409,0.65,24.6
41.35673,69.17401,310,0.8,30.3
41.37265,69.32503,146,0.65,24.6
41.18820,69.32889,144,0.8,30.3
41.32698,69.25779,235,0.5,18.9
41.35325,69.23285,405,0.65,24.6
41.32298,69.24765,133,0.65,24.6
41.34947,69.26634,215,0.8,30.3
41.15450,69.38674,2836,0.65,24.6
41.15882,69.34582,1620,0.8,30.3
41.33982,69.23272,72,0.8,30.3
41.30354,69.11018,3432,0.8,30.3
41.33521,69.19917,251,0.65,24.6
41.29915,69.26525,204,0.8,30.3
41.34598,69.17562,292,0.5,18.9
41.30847,69.33958,159,0.65,24.6
41.28493,69.32738,1776,0.8,30.3
41.33558,69.23279,80,0.8,30.3
41.35113,69.25405,298,0.8,30.3
41.26339,69.18277,991,0.65,24.6
41.32336,69.20706,115,0.65,24.6
41.28549,69.22849,274,0.8,30.3
41.41660,69.31025,166,0.65,24.6
41.33578,69.28604,88,0.8,30.3
41.21373,69.33995,474,0.65,24.6
41.35962,69.22073,392,0.5,18.9
41.31690,69.18171,431,0.65,24.6
41.31655,69.18219,384,0.65,24.6
41.30956,69.22061,1013,0.65,24.6
41.28733,69.22439,336,0.8,30.3
41.22868,69.20921,387,0.8,30.3
41.22409,69.29112,1870,0.8,30.3
41.34198,69.16760,244,0.8,30.3
41.34232,69.16760,241,0.65,24.6
41.34526,69.21709,221,0.65,24.6
41.33120,69.38154,399,0.65,24.6
41.28205,69.13844,772,0.8,30.3
41.30730,69.13249,1575,0.65,24.6
41.22383,69.20306,222,0.8,30.3
41.35235,69.28635,128,0.8,30.3
41.16653,69.30598,1259,0.65,24.6
41.32666,69.26100,228,0.5,18.9
41.33695,69.31733,553,0.65,24.6
41.21582,69.30477,2462,0.8,30.3
41.33418,69.43978,1035,0.65,24.6
41.32996,69.22977,219,0.8,30.3
41.22282,69.20368,282,0.65,24.6
41.32914,69.29415,354,0.65,24.6
41.33811,69.34226,128,0.8,30.3
41.34901,69.27539,835,0.8,30.3
41.19047,69.12676,1499,0.8,30.3
41.19934,69.15958,79,0.5,18.9
41.20668,69.24362,774,0.8,30.3
41.21109,69.19867,557,0.65,24.6
41.28433,69.29757,540,0.65,24.6
41.32629,69.24338,138,0.8,30.3
41.33000,69.24229,88,0.8,30.3
41.31968,69.24362,87,0.5,18.9
41.27966,69.11850,2356,0.8,30.3
41.25163,69.09892,4265,0.8,30.3
41.33564,69.11180,4088,0.65,24.6
41.24316,69.14524,1452,0.65,24.6
41.23614,69.23001,869,0.5,18.9
41.33182,69.13074,2452,0.8,30.3
41.19193,69.15311,152,0.8,30.3
41.17370,69.15971,1822,0.8,30.3
41.21804,69.16174,987,0.8,30.3
41.22909,69.28012,809,0.8,30.3
41.33080,69.15151,763,0.8,30.3
41.22240,69.10655,1827,0.8,30.3
41.18680,69.15560,686,0.8,30.3
41.20185,69.16489,223,0.8,30.3
41.22732,69.13045,872,0.65,24.6
41.20797,69.18540,194,0.65,24.6
41.35517,69.14327,1953,0.8,30.3
41.36179,69.11647,4307,0.8,30.3
41.37746,69.14269,3166,0.8,30.3
41.41100,69.22973,1499,0.8,30.3
41.41577,69.19874,135,0.8,30.3
41.41995,69.26669,2566,0.8,30.3
41.40609,69.21867,1348,0.8,30.3
41.40594,69.26689,1091,0.8,30.3
41.40178,69.28492,1314,0.8,30.3
41.38494,69.32200,354,0.8,30.3
41.36971,69.16733,1117,0.8,30.3
41.41380,69.19431,533,0.65,24.6
41.22446,69.40610,302,0.65,24.6
41.27768,69.44768,193,0.65,24.6
41.25385,69.40303,385,0.8,30.3
41.19707,69.41647,1114,0.65,24.6
41.18341,69.35639,2188,0.8,30.3
41.15190,69.45075,1856,0.8,30.3
41.15271,69.42214,281,0.65,24.6
41.37124,69.38144,1229,0.8,30.3
41.36680,69.41246,276,0.8,30.3
41.39114,69.39886,2223,0.65,24.6
41.36677,69.44048,1183,0.65,24.6
41.34817,69.43183,2440,0.5,18.9
41.33302,69.40657,1054,0.8,30.3
41.40866,69.39549,4154,0.8,30.3
41.40708,69.30840,173,0.65,24.6
41.28964,69.39082,2587,0.8,30.3
41.36028,69.34431,391,0.65,24.6
41.18636,69.31763,338,0.8,30.3
41.15807,69.27219,623,0.8,30.3
41.18128,69.29631,499,0.8,30.3
41.14966,69.29273,2024,0.65,24.6
41.21620,69.32388,878,0.8,30.3
41.15469,69.24861,1246,0.8,30.3
41.18159,69.11066,1704,0.8,30.3
41.20712,69.10617,610,0.8,30.3
41.15976,69.11444,278,0.8,30.3
41.16203,69.18857,2111,0.65,24.6
41.16148,69.10773,715,0.8,30.3
41.40254,69.44426,2060,0.65,24.6
41.30720,69.24763,200,0.65,24.6
41.23752,69.17177,291,0.8,30.3
41.33901,69.26494,354,0.8,30.3
41.16854,69.21849,304,0.65,24.6
41.21257,69.19544,241,0.8,30.3
41.22361,69.18335,343,0.8,30.3
41.36945,69.21016,1198,0.5,18.9
41.36002,69.21915,522,0.5,18.9
41.29201,69.20364,430,0.65,24.6
41.32884,69.25691,419,0.8,30.3
41.28068,69.18765,394,0.65,24.6
41.39128,69.10351,6701,0.65,24.6
41.39824,69.11466,6455,0.8,30.3
41.39833,69.11991,6145,0.65,24.6
41.40885,69.14654,4565,0.8,30.3
41.41076,69.15568,3779,0.8,30.3
41.33512,69.24813,400,0.8,30.3
41.31361,69.28263,114,0.8,30.3
41.32959,69.22031,173,0.8,30.3
41.19993,69.22222,589,0.65,24.6
41.19813,69.21787,588,0.5,18.9
41.21873,69.18896,568,0.8,30.3
41.17237,69.20714,276,0.65,24.6
41.17000,69.12477,207,0.5,18.9
41.20612,69.12077,298,0.8,30.3
41.27966,69.10286,3660,0.8,30.3
41.30731,69.13721,1183,0.8,30.3
41.27211,69.14126,453,0.8,30.3
41.24079,69.36633,1270,0.65,24.6
41.38536,69.41349,1761,0.8,30.3
41.37721,69.43337,90,0.8,30.3
41.35658,69.35368,303,0.8,30.3
41.39960,69.36546,2924,0.8,30.3
41.41602,69.42606,4100,0.5,18.9
41.39871,69.33697,1928,0.8,30.3
41.41949,69.36660,1460,0.8,30.3
41.28737,69.42734,1782,0.8,30.3
41.22157,69.21670,478,0.8,30.3
41.37929,69.30494,546,0.8,30.3
41.35143,69.22481,175,0.8,30.3
41.35651,69.37348,223,0.8,30.3
41.26589,69.23059,78,0.8,30.3
41.32648,69.31822,247,0.65,24.6
41.34324,69.23270,199,0.65,24.6
41.29911,69.25540,471,0.65,24.6
41.26455,69.15287,453,0.65,24.6
41.27318,69.19522,621,0.65,24.6
41.36491,69.26260,1144,0.8,30.3
41.29303,69.18695,437,0.8,30.3
41.26675,69.23750,55,0.8,30.3
41.36551,69.19143,526,0.8,30.3
41.26164,69.15788,590,0.65,24.6
41.33505,69.36696,742,0.8,30.3
41.22248,69.21675,431,0.65,24.6
41.31726,69.31400,66,0.65,24.6
41.26650,69.31740,220,0.8,30.3
41.31997,69.22897,144,0.5,18.9
41.34272,69.38883,1007,0.8,30.3
41.22098,69.21750,446,0.65,24.6
41.25178,69.20195,274,0.8,30.3
41.28200,69.13842,773,0.8,30.3
41.30424,69.28791,79,0.8,30.3
41.29936,69.26529,196,0.8,30.3
41.27562,69.28940,1295,0.8,30.3
41.29346,69.27365,192,0.5,18.9
41.30808,69.29334,78,0.65,24.6
41.29195,69.26264,50,0.8,30.3
41.27700,69.17715,1277,0.8,30.3
41.29597,69.28345,60,0.8,30.3
41.32960,69.32436,350,0.8,30.3
41.29269,69.29936,63,0.5,18.9
41.29020,69.31857,1313,0.8,30.3
41.37698,69.31591,405,0.8,30.3
41.35749,69.28978,62,0.8,30.3
41.33036,69.27860,388,0.8,30.3
41.31100,69.29289,268,0.8,30.3
41.28705,69.16756,1102,0.65,24.6
41.31990,69.27691,216,0.65,24.6
41.35538,69.19116,620,0.5,18.9
41.35811,69.18423,768,0.65,24.6
41.28238,69.23681,91,0.8,30.3
41.28532,69.22110,326,0.65,24.6
41.32940,69.33687,465,0.5,18.9
41.19061,69.21089,1042,0.65,24.6
41.25955,69.25643,59,0.5,18.9
