id,lat,lon
1180419912,41.3075749,69.3077066
2004078172,41.2578075,69.1570262
2004974900,41.2891696,69.2472683
3784376588,41.294518,69.2228706
4107186236,41.274424,69.2625869
4201939211,41.3347654,69.3262141
4230430189,41.2975711,69.2503495
4250502089,41.2695894,69.2719071
4324635890,41.3215198,69.2443218
4351398338,41.3103935,69.1815584
4365345989,41.3390371,69.286293
4383568590,41.30918,69.2436331
4417623691,41.2991248,69.3598926
4458744192,41.3307891,69.2780603
4491087631,41.3349162,69.2533366
4501763389,41.3578554,69.3744157
4545878493,41.3682178,69.2770659
4568572890,41.2714342,69.2605121
4571199590,41.2969597,69.2745388
4599535443,41.3695636,69.2683091
4631127991,41.3581148,69.2107439
4660450836,41.2765469,69.2051479
4664846389,41.246048,69.2177588
4681352012,41.3894886,69.280023
4686462489,41.2941586,69.249242
4702018821,41.2642822,69.2236568
4709304491,41.2901677,69.2568445
4725497189,41.332647,69.330009
4736555530,41.2948857,69.2255273
4827454123,41.2792344,69.3089245
4871579441,41.3209937,69.251855
4883606322,41.3585326,69.2387723
4908530121,41.3665663,69.416964
4917007824,41.3180617,69.2963209
4958547522,41.2954041,69.1773691
4959260022,41.3079669,69.2832979
4983713522,41.3780399,69.2954328
4988602621,41.3437051,69.211581
4994993721,41.3438789,69.2117598
5010791321,41.3252554,69.2583552
5024313132,41.326863,69.2836857
5024313133,41.3564359,69.1739453
5029228621,41.2989863,69.2750183
5033457125,41.2931949,69.3416688
5063843123,41.3253376,69.2863241
5107757139,41.2946596,69.2761808
5124292621,41.316631,69.2909356
5152089242,41.4088131,69.1462193
5164966221,41.2946071,69.2526358
5196783922,41.3023515,69.2874748
5236227722,41.3379587,69.2041177
5261678931,41.319845,69.2951883
5400913721,41.3130749,69.2406631
5410477729,41.3078429,69.2449675
5472013226,41.3180017,69.2962325
5542757921,41.320899,69.2532262
5555220122,41.3074226,69.2662579
5604957121,41.3233155,69.2379144
5749477825,41.3197746,69.298048
5813933754,41.3481338,69.2419168
5829827485,41.2828073,69.1909342
5872431241,41.3203602,69.2999334
5878352387,41.2989842,69.3918476
5898516086,41.3400778,69.2515143
5913576685,41.2845793,69.1788169
5948000685,41.2813039,69.2024317
6187425285,41.260958,69.1958243
6311046385,41.2833169,69.2018852
6322902038,41.3184542,69.3217188
6341459385,41.3074848,69.2451783
6484582189,41.3242377,69.2444821
6541814786,41.2929061,69.2649965
6575867287,41.3360853,69.2012862
6669943280,41.3033418,69.2475289
6711458386,41.3808367,69.2735763
6746261485,41.2660623,69.3562322
6992804485,41.3078552,69.2834842
7014223986,41.2964373,69.2737559
7126647585,41.2762204,69.2050324
7128077385,41.3511481,69.2221184
7197292285,41.2661116,69.1692335
7278727185,41.2948523,69.2182419
7328021988,41.3067811,69.245965
7462709515,41.2837137,69.183477
7783396355,41.2869051,69.3474383
7783396356,41.286911,69.3474494
7783396360,41.2869806,69.3475784
7783396364,41.2870843,69.3477572
8105817617,41.3597137,69.205025
8169387717,41.3016069,69.2759956
8282187517,41.3105865,69.243263
8363278817,41.3480548,69.3521386
8656415418,41.3395385,69.1811163
8656471318,41.3395826,69.1792391
8678105417,41.2959869,69.2675615
8772421817,41.3081255,69.2450972
9312218517,41.3464837,69.3834495
9619874017,41.348795,69.383365
10064895778,41.4176009,69.3116624
10312733409,41.3350399,69.3520096
10548551156,41.3408208,69.250123
10593514111,41.3440496,69.2253993
10593921456,41.3391245,69.2232174
10693308304,41.2973634,69.2504287
11290219807,41.3286214,69.2572358
11313736813,41.3235294,69.2567611
11331050269,41.318837,69.3574191
11397406244,41.3162656,69.2170269
11468873559,41.3428838,69.1695408
12995784756,41.3327554,69.3224377
13154403934,41.3410604,69.2492853
13233308915,41.2886033,69.2133354
13233308916,41.2877309,69.2126914
13343351201,41.3065752,69.2731724
13515690726,41.293968,69.3371888
13795606564,41.3363238,69.2172034
13799873677,41.2957753,69.2616605
13800146152,41.2347884,69.2156639
13800146153,41.2340643,69.216144
32035038,41.3184136,69.2881489
32721490,41.3287385,69.2572402
32722863,41.3361597,69.2493399
32780975,41.3306406,69.264415
32814872,41.3282373,69.2918125
32924133,41.3256079,69.3027977
34134045,41.2950065,69.2531654
44352854,41.2929142,69.220177
44421903,41.2947069,69.2204423
81524091,41.2503659,69.3073414
81524095,41.2503558,69.3087119
82171728,41.247288,69.2986695
82506903,41.3041885,69.2738679
84101064,41.2836811,69.3508618
84629381,41.2467717,69.3054114
87658671,41.3505102,69.34335
87695698,41.1774676,69.2473334
87907876,41.2961824,69.2784726
88493005,41.292963,69.3658327
88815359,41.2945437,69.3464801
88815398,41.2949709,69.3447034
89040387,41.308741,69.2350219
89040456,41.3083104,69.2361006
91538812,41.3693555,69.2089297
91538833,41.3694733,69.2189942
91709939,41.3681075,69.1983737
91737390,41.2819611,69.2890829
91896164,41.3645055,69.2320711
91896165,41.3639856,69.2312097
91896205,41.364239,69.2317346
94402975,41.3313005,69.3278055
95810357,41.2747954,69.3455768
95810361,41.2758272,69.3550545
98666999,41.2703713,69.2944732
98672286,41.2746029,69.2979353
100955848,41.3792617,69.3038538
102137316,41.3637067,69.2788579
103024579,41.3012145,69.3094947
103133043,41.2863776,69.3552864
103133044,41.2916463,69.36342
103252457,41.3328631,69.168547
103253147,41.3396493,69.1809877
103253159,41.3381485,69.1705685
103253164,41.3397902,69.1789915
103256244,41.3105561,69.3237603
103262063,41.2654546,69.1497443
103268264,41.2669431,69.1552646
103268270,41.2604602,69.1535624
103268468,41.2775561,69.1666471
103531589,41.3187842,69.2296295
103648249,41.3796097,69.284705
104105895,41.3478248,69.3878014
104105896,41.3475631,69.3849798
104229582,41.3055017,69.2116067
104229600,41.3028423,69.2165264
104486971,41.2861494,69.1978795
104488318,41.3032448,69.2069471
106438302,41.2619866,69.2260941
106872116,41.2823063,69.2754843
106873135,41.2763174,69.2183178
107072971,41.2866192,69.3046662
107473961,41.3232105,69.317883
107531513,41.2998117,69.2285004
108331886,41.2596598,69.3212884
108435300,41.2860352,69.342228
108435302,41.284867,69.340295
108589676,41.3331425,69.3039408
109394472,41.2209608,69.333154
109617892,41.2812095,69.3471841
110245197,41.3465451,69.2452275
110772069,41.2924773,69.3298985
110847050,41.2943016,69.3424373
110852584,41.2805249,69.1873482
110862338,41.2743497,69.1994979
115084462,41.2792113,69.1899279
115955556,41.3265113,69.1990447
118459412,41.2641807,69.1817773
123067097,41.3376726,69.373665
123067106,41.3384202,69.3742177
124176134,41.3589207,69.3927889
124180874,41.348067,69.3860276
132726111,41.2987923,69.2578052
132726112,41.3354572,69.2474711
132726117,41.3369395,69.2489745
132734248,41.2453924,69.3314179
132741887,41.2784977,69.2226682
132789253,41.2854142,69.2516066
133036633,41.3337671,69.3273617
134994388,41.2885976,69.2128963
136052929,41.2855691,69.2208255
142232049,41.3639055,69.192866
147038001,41.347967,69.3519439
149389062,41.3556207,69.2149494
149700609,41.2739586,69.263407
151681144,41.346339,69.3660629
151988427,41.3332659,69.3249367
152771959,41.2842432,69.357177
156420630,41.187615,69.4434095
