lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
42.86968,74.62645,28.7,0.8,1.35,4070.6,0.680
42.87853,74.68697,28.6,0.8,1.22,138.8,0.497
42.86852,74.62204,28.7,0.8,1.35,4219.7,0.688
42.87275,74.64132,23.7,0.65,1.44,1602.1,0.332
42.86847,74.70020,23.2,0.65,1.08,81.3,0.292
42.88315,74.63616,31.7,0.8,1.52,425.2,0.528
42.88573,74.62358,32.1,0.8,1.52,4171.6,0.724
42.87881,74.68281,28.5,0.8,0.82,134.0,0.546
42.87167,74.61993,28.7,0.8,1.35,4039.3,0.679
42.85989,74.60872,29.9,0.8,1.42,4915.6,0.736
42.87118,74.61391,29.5,0.8,1.42,4210.2,0.693
42.86921,74.61982,28.6,0.8,1.35,4219.7,0.686
42.88499,74.61810,32.0,0.8,1.44,4171.6,0.732
42.87520,74.61657,31.6,0.8,1.42,4039.3,0.721
42.87876,74.66216,28.8,0.8,1.42,128.6,0.475
42.87888,74.66431,28.7,0.8,0.82,128.6,0.549
42.87650,74.55913,30.2,0.8,1.30,4915.1,0.756
42.87462,74.56976,29.0,0.8,0.93,4986.4,0.785
42.90414,74.59464,28.5,0.8,1.52,3077.0,0.605
