lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
38.52017,68.76781,42.8,0.8,1.11,1891.5,0.665
38.58532,68.75648,27.9,0.5,1.61,4601.8,0.212
38.51591,68.74856,34.6,0.65,1.15,1085.4,0.397
38.51553,68.75017,34.6,0.65,1.15,1085.4,0.397
38.51981,68.76500,43.4,0.8,1.11,1891.5,0.673
38.56367,68.74467,43.2,0.8,1.74,6499.6,0.700
38.58049,68.74563,43.0,0.8,1.77,4476.6,0.618
38.58033,68.74540,26.9,0.5,1.77,4476.6,0.160
38.58042,68.74743,43.0,0.8,1.77,4476.6,0.618
38.58062,68.74544,43.1,0.8,1.77,4476.6,0.619
38.56650,68.75716,42.7,0.8,1.15,6711.8,0.827
38.56333,68.76255,42.8,0.8,1.71,5721.1,0.671
38.56341,68.76238,42.8,0.8,1.71,5721.1,0.671
38.58766,68.73163,34.7,0.65,1.40,1098.5,0.344
38.52993,68.76490,35.3,0.65,1.11,6497.5,0.608
38.53180,68.76495,35.3,0.65,1.32,6497.5,0.563
38.52605,68.76509,43.3,0.8,1.11,6497.5,0.836
38.52791,68.76502,35.2,0.65,1.11,6497.5,0.607
38.59202,68.77865,42.7,0.8,1.56,2393.3,0.584
38.57242,68.75050,34.7,0.65,1.77,5784.9,0.432
38.59286,68.75348,42.6,0.8,1.61,1605.6,0.545
38.60340,68.78624,45.5,0.8,1.47,976.6,0.590
38.60512,68.78735,45.8,0.8,1.47,841.8,0.589
38.55466,68.76793,42.8,0.8,1.71,5279.7,0.656
38.57098,68.73791,43.3,0.8,1.77,5534.5,0.659
38.57065,68.73690,43.0,0.8,1.77,5534.5,0.655
38.57047,68.73790,43.3,0.8,1.77,5534.5,0.659
38.61700,68.78224,45.2,0.8,1.47,1033.9,0.588
38.57129,68.72700,42.6,0.8,1.35,1437.4,0.595
38.53004,68.74617,26.7,0.5,1.15,4505.8,0.292
38.51375,68.74897,42.6,0.8,1.16,1085.4,0.624
38.51569,68.76763,42.8,0.8,1.11,1053.7,0.635
38.51527,68.73901,42.6,0.8,1.15,1140.8,0.627
38.56702,68.75891,42.6,0.8,1.15,5780.5,0.792
38.55011,68.79916,26.7,0.5,1.81,3012.4,0.096
38.54023,68.79976,42.6,0.8,0.66,2496.6,0.783
38.59212,68.75058,34.7,0.65,1.40,1135.7,0.345
38.53107,68.75761,43.0,0.8,1.32,6857.7,0.800
38.55970,68.75727,44.3,0.8,1.71,6711.8,0.726
38.51175,68.73788,42.7,0.8,1.16,1140.8,0.627
38.57988,68.73773,27.0,0.5,1.77,5178.0,0.186
38.55251,68.77293,42.7,0.8,1.71,4909.6,0.641
38.58392,68.71653,43.1,0.8,1.11,724.8,0.627
38.58468,68.72066,43.0,0.8,1.11,978.0,0.635
38.56525,68.78339,43.1,0.8,1.29,6946.2,0.811
