lat,lon,name,dist_m,infiltration,rwi,dens_km2,indoor_pm25,injustice_index
41.32283,69.24758,59-sonli xitoy va koreys tillarini chuqu,117,0.8,0.99,46,32.2,0.549
41.32009,69.22903,82-sonli umumiy o'rta ta'lim maktabi,157,0.8,0.90,48,31.7,0.552
41.30841,69.23611,84-sonli umumiy o'rta ta'lim maktabi,177,0.8,1.33,44,31.5,0.496
41.31318,69.22776,85-sonli umumiy o'rta ta'lim maktabi,499,0.8,0.90,46,30.5,0.530
41.33358,69.20504,92-sonli umumiy o'rta ta'lim maktabi,224,0.8,1.22,39,31.2,0.503
41.32967,69.22068,102-sonli ixtisoslashtirilgan davlat umu,148,0.8,1.03,46,31.8,0.537
41.33055,69.20296,113-sonli umumiy o'rta ta'lim maktabi,294,0.8,1.22,40,30.9,0.497
41.32633,69.26081,115-sonli umumiy o'rta ta'lim maktabi,190,0.8,1.21,46,31.4,0.509
41.33133,69.21413,132 - sonli umumiy o'rta ta'lim maktabi,174,0.8,1.03,42,31.6,0.532
41.31256,69.19818,136 - sonli umumiy o'rta ta'lim maktabi,384,0.8,1.06,44,30.6,0.513
41.31565,69.20885,141 - sonli umumiy o'rta ta'lim maktabi,97,0.8,1.06,46,32.4,0.543
41.30549,69.21184,157 - sonli umumiy o'rta ta'lim maktabi,306,0.8,0.97,47,30.8,0.528
41.31646,69.20692,167 - sonli umumiy o'rta ta'lim maktabi,255,0.8,1.06,45,31.1,0.520
41.34175,69.20042,169 - sonli umumiy o'rta ta'lim maktabi,375,0.8,1.22,39,30.6,0.493
41.30315,69.20710,180 - sonli ixtisoslashtirilgan davlat u,149,0.8,0.97,46,31.8,0.544
41.31376,69.20330,186 - sonli umumiy o'rta ta'lim maktabi,450,0.8,1.06,46,30.5,0.512
41.32648,69.19909,192 - sonli umumiy o'rta ta'lim maktabi,316,0.8,1.06,40,30.8,0.516
41.30290,69.21689,254 - sonli umumiy o'rta ta'lim maktabi,531,0.8,0.99,46,30.4,0.520
41.33317,69.16836,262 - sonli umumiy o'rta ta'lim maktabi,426,0.8,0.99,44,30.6,0.521
41.33796,69.17050,276 - sonli ixtisoslashtirilgan davlat u,509,0.8,1.25,45,30.5,0.488
41.33953,69.17911,299 - sonli umumiy o'rta ta'lim maktabi,1061,0.8,1.25,43,30.3,0.486
41.34575,69.17551,314 - sonli umumiy o'rta ta'lim maktabi,314,0.8,1.32,41,30.8,0.485
41.34261,69.16906,316 - sonli umumiy o'rta ta'lim maktabi,362,0.65,0.99,44,24.9,0.302
41.33977,69.18095,320-sonli umumiy o'rta ta'lim maktabi,1065,0.65,1.25,42,24.6,0.265
41.31782,69.23437,324-sonli umumiy o'rta ta'lim maktabi,191,0.8,0.90,47,31.4,0.547
41.32359,69.25658,"254,Tashkent,Shaykhontohur",76,0.8,0.99,47,32.7,0.558
41.31988,69.27702,5-sonli umumiy o‘rta ta`lim maktabi,217,0.8,1.21,47,31.3,0.506
41.33020,69.27841,9-sonli ixtisoslashtirilgan davlat umumt,366,0.8,1.11,44,30.7,0.508
41.36960,69.29950,12-sonli umumiy o'rta ta'lim maktabi,471,0.8,0.84,59,30.5,0.540
41.31843,69.28861,17-sonli ixtisoslashtirilgan davlat umum,212,0.8,1.27,47,31.3,0.500
41.32581,69.28802,43-sonli umumiy o`rta ta`lim maktabi,417,0.8,1.27,46,30.6,0.487
41.32925,69.28806,51-sonli ixtisoslashtirilgan davlat umum,361,0.8,1.13,46,30.7,0.506
41.35910,69.28360,53-sonli umumiy o`rta ta`lim maktabi,304,0.8,0.87,60,30.8,0.543
41.35488,69.30171,58-sonli umumiy o'rta ta'lim maktabi,520,0.8,0.87,59,30.4,0.536
41.35240,69.28613,63-sonli umumiy o`rta ta`lim maktabi,147,0.8,0.87,48,31.8,0.557
41.33588,69.28568,70-sonli umumiy o`rta ta`lim maktabi,56,0.8,1.13,45,33.1,0.546
41.38084,69.27350,72-sonli umumiy o‘rta ta'lim maktabi,750,0.65,1.57,57,24.7,0.229
41.32478,69.27888,80-sonli umumiy o`rta ta`lim maktabi,272,0.8,1.21,46,31.0,0.501
41.37023,69.26850,86-sonli umumiy o`rta ta`lim maktabi,1383,0.8,1.55,58,30.3,0.451
41.34842,69.27417,96-sonli umumiy o`rta ta`lim maktabi,796,0.8,1.11,49,30.3,0.504
41.37919,69.30496,97-sonli umumiy o`rta ta`lim maktabi,557,0.8,1.02,58,30.4,0.517
41.35360,69.33504,98-sonli umumiy o`rta ta`lim maktabi,661,0.8,1.19,64,30.4,0.497
41.34350,69.30107,105-sonli umumiy o`rta ta`lim maktabi,1101,0.8,1.13,48,30.3,0.500
41.35197,69.29836,117-sonli umumiy o`rta ta`lim maktabi,855,0.8,0.87,49,30.3,0.532
41.36596,69.31092,122-sonli umumiy o`rta ta`lim maktabi,911,0.8,1.41,58,30.3,0.468
41.34933,69.26646,150-sonli umumiy o`rta ta`lim maktabi,232,0.8,1.11,49,31.2,0.518
41.36520,69.27638,220-sonli umumiy o`rta ta`lim maktabi,567,0.8,1.55,64,30.4,0.454
41.37060,69.28365,235-sonli umumiy o`rta ta`lim maktabi,230,0.65,0.84,61,25.3,0.329
41.36971,69.28965,240-sonli umumiy o`rta ta`lim maktabi,270,0.8,0.84,59,31.0,0.548
41.36734,69.29771,246-sonli umumiy o`rta ta`lim maktabi,340,0.8,0.84,59,30.7,0.544
41.37813,69.30197,247-sonli umumiy o`rta ta`lim maktabi,463,0.8,1.02,60,30.5,0.519
41.37025,69.30641,250-ixtisoslashtirilgan davlat umumta'li,1019,0.8,1.41,58,30.3,0.468
41.37563,69.31612,257-sonli umumiy o`rta ta`lim maktabi,437,0.8,1.41,60,30.5,0.472
41.37472,69.31513,258-sonli umumiy o`rta ta`lim maktabi,548,0.8,1.41,60,30.4,0.470
41.37724,69.27737,259-sonli umumiy o`rta ta`lim maktabi,899,0.8,1.57,60,30.3,0.449
41.37249,69.28061,260-sonli umumiy o`rta ta`lim maktabi,522,0.8,0.84,60,30.4,0.540
41.37917,69.28472,265-sonli umumiy o`rta ta`lim maktabi,353,0.8,1.05,58,30.7,0.518
41.37585,69.28659,271-sonli umumiy o‘rta ta'lim maktabi,119,0.8,0.84,60,32.1,0.568
41.35753,69.28954,272-sonli umumiy o`rta ta`lim maktabi,41,0.8,0.87,62,33.4,0.585
41.37927,69.30388,273-sonli umumiy o`rta ta`lim maktabi,528,0.8,1.02,58,30.4,0.518
41.36698,69.32400,274-sonli umumiy o`rta ta`lim maktabi,246,0.8,1.28,63,31.1,0.498
41.36930,69.31889,288-sonli umumiy o`rta ta`lim maktabi,449,0.8,1.41,62,30.5,0.472
41.36393,69.27881,302-sonli umumiy o`rta ta`lim maktabi,343,0.8,1.55,59,30.7,0.458
41.39154,69.25281,313-sonli umumiy o`rta ta`lim maktabi,704,0.8,1.21,53,30.4,0.493
41.37762,69.26291,327-sonli umumiy o'rta ta'lim tarmoq mak,1597,0.65,1.57,54,24.6,0.228
41.35735,69.32651,88-sonli umumiy o`rta ta`lim maktabi,848,0.8,1.19,60,30.3,0.496
41.35839,69.28294,"272,Tashkent,Yunusobod",344,0.8,0.87,58,30.7,0.540
41.26950,69.23470,26-sonli umumiy o'rta ta'lim maktabi,69,0.8,1.13,50,32.8,0.543
41.27404,69.26331,48-sonli umumta'lim maktabi,359,0.8,1.25,47,30.7,0.492
41.29398,69.24942,73-sonli umumiy o'rta ta'lim tarmoq makt,103,0.8,1.28,46,32.3,0.515
41.28536,69.25140,89-sonli umumiy o'rta ta'lim maktabi,130,0.8,1.28,49,32.0,0.510
41.29909,69.25785,91-sonli ixtisoslashtrilgan davlat umumi,670,0.8,1.07,47,30.4,0.509
41.27357,69.22997,100-sonli umumiy o'rta ta'lim maktabi,663,0.8,1.13,47,30.4,0.501
41.28815,69.26018,118-sonli umumiy o'rta ta'lim maktabi,214,0.8,1.28,46,31.3,0.498
41.26870,69.25004,127-sonli umumiy o'rta ta'lim maktabi,130,0.8,1.02,47,32.0,0.542
41.28917,69.24714,135-sonli umumiy o'rta ta'lim maktabi,371,0.8,1.28,48,30.7,0.487
41.28199,69.23656,144-sonli umumiy o'rta ta'lim maktabi,137,0.8,1.28,47,31.9,0.508
41.29173,69.26227,160-sonli ixtisoslashtirilgan davlat umu,54,0.8,1.28,47,33.1,0.528
41.26164,69.22652,172-sonli umumiy o'rta ta'lim maktabi,34,0.8,1.13,50,33.5,0.554
41.26706,69.23752,319-sonli ixtisoslashtirilgan davlat umu,81,0.8,1.02,46,32.7,0.553
41.27451,69.26303,321-sonli umumiy o'rta ta'lim maktabi,354,0.8,1.25,46,30.7,0.492
41.26931,69.23461,"118,Tashkent,Yakkasaroy",61,0.8,1.13,50,33.0,0.545
41.28205,69.36739,23-sonli umumiy o'rta ta'lim maktabi,540,0.8,0.87,49,30.4,0.534
41.28985,69.31865,30-sonli umumiy o'rta ta'lim maktabi,1303,0.8,0.82,43,30.3,0.538
41.28609,69.35582,61-sonli umumiy o'rta ta'lim maktabi,343,0.8,0.87,56,30.7,0.541
41.27531,69.34497,67-sonli umumiy o'rta ta'lim maktabi,1392,0.8,0.89,54,30.3,0.531
41.31738,69.31401,69-sonli umumiy o'rta ta'lim maktabi,53,0.8,1.16,46,33.1,0.543
41.30391,69.28758,145-sonli umumiy o'rta ta'lim maktabi,35,0.8,0.78,47,33.5,0.596
41.28256,69.34405,149-sonli umumiy o'rta ta'lim maktabi,1368,0.8,0.94,55,30.3,0.525
41.28110,69.34694,151-sonli umumiy o'rta ta'lim maktabi,1148,0.8,0.87,56,30.3,0.534
41.29857,69.35950,152-sonli umumiy o'rta ta'lim maktabi,600,0.8,1.10,60,30.4,0.508
41.29195,69.32972,153-sonli umumiy o'rta ta'lim maktabi,1449,0.8,0.94,56,30.3,0.525
41.28670,69.32642,155-sonli umumiy o'rta ta'lim maktabi,1769,0.8,0.94,57,30.3,0.525
41.26689,69.31699,156-sonli umumiy o'rta ta'lim maktabi,207,0.8,0.67,47,31.3,0.574
41.30104,69.30957,161-sonli umumiy o'rta ta'lim maktabi,384,0.8,1.07,44,30.6,0.512
41.29435,69.34177,166-sonli umumiy o'rta ta'lim maktabi,746,0.8,0.96,59,30.3,0.524
41.26915,69.31792,170-sonli umumiy o'rta ta'lim maktabi,378,0.8,0.67,46,30.6,0.563
41.27169,69.34988,198-sonli umumiy o'rta ta'lim maktabi,1035,0.8,1.15,56,30.3,0.499
41.29465,69.34472,204-sonli umumiy o'rta ta'lim maktabi,565,0.65,0.96,60,24.7,0.305
41.25313,69.34005,206-sonli umumiy o'rta ta'lim maktabi,911,0.8,0.90,60,30.3,0.530
41.25365,69.34691,212-sonli umumiy o'rta ta'lim maktabi,684,0.8,1.15,61,30.4,0.501
41.24528,69.33151,215-sonli umumiy o'rta ta'lim maktabi,381,0.8,0.90,59,30.6,0.535
41.25940,69.32063,216-sonli umumiy o'rta ta'lim maktabi,153,0.8,1.36,49,31.8,0.496
41.28588,69.34251,226-sonli umumiy o'rta ta'lim maktabi,1358,0.65,0.94,58,24.6,0.305
41.27610,69.35425,227-sonli ixtisoslashtirilgan davlat umu,611,0.8,1.15,56,30.4,0.500
41.26600,69.35503,230-sonli umumiy o'rta ta'lim maktabi,776,0.8,1.15,61,30.3,0.500
41.27695,69.31262,231-sonli umumiy o'rta ta'lim maktabi,303,0.65,0.67,44,25.1,0.344
41.29388,69.34653,244-sonli umumiy o'rta ta'lim maktabi,536,0.65,0.87,60,24.7,0.316
41.29208,69.36278,255-sonli umumiy o'rta ta'lim maktabi,405,0.8,0.87,62,30.6,0.539
41.29351,69.36622,282-sonli umumiy o'rta ta'lim maktabi,733,0.8,0.87,62,30.4,0.535
41.31027,69.32339,307-sonli ixtisoslashtirilgan davlat umu,536,0.8,1.07,54,30.4,0.510
41.27912,69.30875,"226,Tashkent,Yashnobod",96,0.8,0.82,44,32.4,0.573
41.28579,69.33997,"227,Tashkent,Yashnobod",1536,0.8,0.94,59,30.3,0.526
41.31629,69.31391,"230,Tashkent,Yashnobod",156,0.8,1.16,46,31.7,0.520
41.19984,69.22257,2-sonli umumiy o’rta ta’lim maktabi,612,0.8,1.08,1153,30.4,0.690
41.19818,69.21815,3-sonli umumiy o’rta ta’lim maktabi,595,0.8,1.08,1083,30.4,0.679
41.20737,69.21608,8-sonli umumiy o'rta ta'lim maktabi,372,0.8,1.08,1136,30.7,0.692
41.23559,69.19081,32-sonli umumiy o’rta ta’lim maktabi,170,0.8,1.17,44,31.6,0.516
41.19825,69.20991,285-sonli umumiy o’rta ta’lim maktabi,257,0.8,1.23,1007,31.0,0.658
41.17738,69.24700,292-sonli umumiy o’rta ta’lim maktabi,1233,0.8,0.58,1238,30.3,0.764
41.22406,69.18334,303-sonli ixtisoslashtirilgan davlat umu,298,0.8,0.69,38,30.9,0.562
41.19529,69.21150,304-sonli umumiy o'rta ta'lim maktab,610,0.8,1.23,1042,30.4,0.653
41.22270,69.20354,Янгиҳаёт тумани мактабгача ва мактаб таъ,273,0.65,1.03,38,25.2,0.300
41.22395,69.20345,330-sonli umumiy o’rta ta’lim maktabi,255,0.65,1.03,39,25.2,0.301
41.21125,69.19900,331-sonli umumiy o'rta ta'lim maktabi,571,0.65,1.23,32,24.7,0.267
41.17358,69.29476,335-sonli umumiy o`rta ta'lim maktabi,51,0.65,0.70,835,26.9,0.502
41.18734,69.27654,336-sonli umumiy o`rta ta'lim maktabi,2091,0.8,0.28,905,30.3,0.746
41.15641,69.42873,30-sonli umumiy o'rta ta'lim maktabi,384,0.65,0.15,32,24.9,0.402
41.16871,69.21909,58-sonli umumiy o'rta ta'lim maktabi,269,0.65,0.64,976,25.2,0.502
41.18675,69.31679,38-sonli umumiy o'rta ta'lim maktabi,257,0.8,0.60,1017,31.0,0.737
41.15751,69.27200,40-sonli umumiy o'rta ta'lim maktabi,684,0.65,-0.46,949,24.7,0.624
41.18819,69.32885,54-sonli umumiy o'rta ta'lim maktabi,147,0.8,0.73,1356,31.8,0.791
41.15820,69.34561,58-sonli umumiy o'rta ta'lim maktabi,1619,0.65,0.30,32,24.6,0.379
41.15480,69.38577,65-sonli umumiy o'rta ta'lim maktabi,2893,0.65,0.20,26,24.6,0.390
41.15963,69.34049,"124-INTERNAT,Urtachirchiq,Tashkent",1166,0.8,0.30,536,30.3,0.682
41.21620,69.30413,337-sonli umumiy o'rta ta'lim maktabi,2520,0.65,0.46,1216,24.6,0.555
41.22027,69.33360,345-sonli umumiy o'rta ta'lim maktabi,53,0.8,1.07,1535,33.1,0.800
41.21623,69.32390,346-sonli umumiy o'rta ta'lim maktabi,876,0.8,1.07,1360,30.3,0.724
41.21369,69.34027,348-sonli umumiy o'rta ta'lim maktabi,457,0.8,1.07,1372,30.5,0.730
41.35788,69.36870,205-sonli ixtisoslashtirilgan davlat umu,368,0.8,1.59,60,30.7,0.453
41.34814,69.38723,120-sonli umumiy o'rta ta'lim maktabi,1145,0.65,1.59,60,24.6,0.227
41.32732,69.34510,241-sonli umumiy o'rta ta'lim maktabi,647,0.8,1.41,59,30.4,0.469
41.31800,69.35344,275-sonli umumiy o'rta ta'lim maktabi,235,0.8,1.19,59,31.2,0.510
41.32340,69.36110,338-sonli umumiy o'rta ta'lim maktabi,149,0.8,1.19,58,31.8,0.520
41.24688,69.29849,47-sonli umumiy o'rta ta'lim maktabi,286,0.8,1.01,45,30.9,0.524
41.28098,69.37031,339-sonli umumiy o'rta ta'lim maktabi,769,0.5,0.91,48,19.0,0.087
41.21272,69.19516,332-sonli umumiy o’rta ta’lim maktabi,212,0.65,1.03,27,25.4,0.302
41.18543,69.44025,33-sonli umumiy o'rta ta'lim maktabi,2700,0.8,0.68,46,30.3,0.556
41.34874,69.34041,190-sonli ayrim fanlar chuqur o'qitiladi,623,0.65,1.19,62,24.7,0.277
41.23254,69.35786,37-sonli umumiy o'rta ta'lim maktabi,1033,0.8,0.90,52,30.3,0.529
41.23706,69.37226,347-sonli umumiy o'rta ta'lim maktabi,632,0.65,1.18,51,24.7,0.276
41.33304,69.40699,343-sonli umumiy o'rta ta'lim maktabi,1048,0.8,0.72,56,30.3,0.552
41.22902,69.28047,352-sonli umumiy o'rta ta'lim maktabi,839,0.65,1.09,1005,24.6,0.443
41.23953,69.25469,353-sonli umumiy o'rta ta'lim maktabi,534,0.8,1.49,41,30.4,0.458
41.33951,69.22337,111-sonli umumiy o'rta ta'lim maktabi,96,0.8,1.03,43,32.4,0.547
41.33320,69.30405,99-sonli ayrim fanlar chuqur o'qitiladig,59,0.8,1.15,49,33.0,0.544
41.38716,69.26016,354-sonli umumiy o'rta ta'lim maktabi,937,0.8,1.57,51,30.3,0.447
41.32983,69.23000,1-sonli umumiy o'rta ta'lim maktabi,214,0.8,1.03,46,31.3,0.528
41.21877,69.18939,356-sonli umumiy o'rta ta'lim maktabi,540,0.65,0.69,33,24.7,0.333
41.28968,69.39062,341-sonli umumiy o'rta ta'lim maktabi,2571,0.8,0.58,50,30.3,0.568
41.32914,69.33672,171-sonli ayrim fanlar chuqur o'qitiladi,474,0.8,1.12,62,30.5,0.507
41.22496,69.29034,351-sonli umumiy o'rta ta'lim maktabi,1773,0.8,0.77,1142,30.3,0.725
41.33619,69.42859,344-sonli umumiy o'rta ta'lim maktabi,1103,0.65,0.47,43,24.6,0.360
41.28028,69.18673,355-sonli ayrim fanlar chuqur o'qitiladi,478,0.5,1.03,42,19.1,0.073
41.23602,69.23021,349-sonli umumiy o'rta ta'lim maktabi,884,0.8,1.00,44,30.3,0.516
41.24120,69.36622,358-sonli umumiy o'rta ta'lim maktabi,1310,0.65,0.90,50,24.6,0.308
41.37288,69.35213,Qibray tumani 42-maktab,1879,0.65,1.03,59,24.6,0.295
41.35772,69.36336,221-sonli umumiy o'rta ta'lim maktabi,309,0.8,1.32,58,30.8,0.488
41.21695,69.24616,350-sonli umumiy o'rta ta'lim maktabi,90,0.8,1.08,984,32.5,0.697
41.35082,69.31690,239-sonli ayrim fanlari chuqur o'qitilad,74,0.65,1.21,44,26.6,0.303
41.30383,69.40282,340-sonli umumiy o'rta ta'lim maktabi,2040,0.65,0.77,51,24.6,0.326
41.29953,69.13213,24-sonli umumiy o'rta ta'lim maktabi,1563,0.5,1.38,43,19.0,0.029
