lat,lon,name,dist_m,infiltration,rwi,dens_km2,indoor_pm25,injustice_index
41.41646,69.31069,26-sonli umumiy o'rta ta'lim maktabi,126,0.8,1.10,54,32.0,0.534
41.36935,69.16686,27-sonli umumiy o'rta ta'lim maktabi,1111,0.65,0.61,48,24.6,0.344
41.37802,69.24239,28-sonli umumiy o'rta ta'lim maktabi,1565,0.65,1.21,52,24.6,0.272
41.40848,69.19148,30-sonli umumiy o'rta ta'lim maktabi,885,0.8,0.90,54,30.3,0.529
41.41380,69.19481,31-sonli umumiy o'rta ta'lim maktabi,491,0.8,0.74,53,30.5,0.552
41.39619,69.20457,9-sonli umumiy o'rta ta'lim maktabi,62,0.65,1.06,51,26.8,0.325
41.22752,69.40245,13-sonli umumiy o'rta ta'lim maktabi,3,0.65,0.35,38,27.8,0.427
41.27806,69.44678,18-sonli umumiy o'rta ta'lim maktabi,107,0.8,0.59,43,32.3,0.598
41.25578,69.42922,19-sonli ayrim fanlar chuqur o‘qitiladig,859,0.8,0.52,41,30.3,0.574
41.22441,69.40576,20-  sonli umumiy o`rtab ta`lim maktabi,273,0.8,0.35,40,31.0,0.605
41.32355,69.44538,31-sonli umumiy o'rta ta'lim maktabi,145,0.65,0.55,32,25.9,0.370
41.18542,69.44025,"33,Yuqorichirchiq,Tashkent",2700,0.8,0.68,46,30.3,0.556
41.18395,69.35546,38-sonli  umumiy o'rta ta'lim maktabi,2104,0.8,-0.03,26,30.3,0.639
41.15785,69.35546,39-sonli umumiy o'rta ta'lim maktabi,2429,0.65,0.48,29,24.6,0.356
41.22998,69.37519,23-sonli umumiy o'rta ta'lim maktabi,111,0.65,1.18,55,26.2,0.302
41.18679,69.42786,36-sonli umumiy o'rta ta'lim maktabi,1844,0.65,0.33,28,24.6,0.376
41.18179,69.11048,2-sonli umumiy o'rta ta'lim maktabi,1678,0.65,0.94,46,24.6,0.303
41.18144,69.22784,333-sonli umumiy o'rta ta'lim maktabi,1309,0.8,0.97,1007,30.3,0.678
41.20746,69.10676,6-sonli umumiy o'rta ta'lim maktabi,604,0.65,0.80,44,24.7,0.321
41.19046,69.12672,23--sonli umumiy o'rta ta'lim maktabi,1501,0.65,1.09,45,24.6,0.284
41.15924,69.11429,10-sonli ayrim fanlar chuqur o‘qitiladig,238,0.8,0.59,47,31.1,0.580
41.16106,69.10834,57-sonli umumiy o'rta ta'lim maktabi,651,0.8,0.59,42,30.4,0.567
41.16231,69.18798,11-sonli umumiy o'rta ta'lim maktabi,2120,0.8,-0.05,905,30.3,0.787
41.23364,69.33899,289-sonli ixtisoslashtirilgan davlat umu,340,0.8,0.85,61,30.7,0.544
41.23387,69.35070,290-sonli umumiy o'rta ta'lim maktabi,1273,0.8,0.90,54,30.3,0.529
41.25324,69.22359,291-sonli ixtisoslashtirilgan davlat umu,527,0.8,1.20,45,30.4,0.493
41.25324,69.37663,293-sonli umumiy o'rta ta'lim maktabi,511,0.8,0.75,59,30.5,0.551
41.25050,69.30492,31-sonli umumiy o'rta ta'lim maktabi,691,0.65,1.36,48,24.7,0.253
41.27725,69.29022,56-sonli ixtisoslashtirilgan davlat umum,1250,0.8,1.06,43,30.3,0.509
41.28464,69.28976,65-sonli umumiy o'rta ta'lim maktabi,781,0.8,1.09,44,30.3,0.505
41.28215,69.27280,83-sonli umumiy o'rta ta'lim maktabi,243,0.8,1.28,45,31.1,0.495
41.29577,69.28089,94-sonli umumiy o'rta ta'lim maktabi,181,0.8,0.78,48,31.5,0.563
41.30436,69.27139,110-sonli ixtisoslashtirilgan davlat umu,262,0.65,1.07,47,25.2,0.298
41.24681,69.30321,125-sonli umumiy o'rta ta'lim maktabi,280,0.65,1.36,46,25.1,0.260
41.27385,69.27565,147-sonli umumiy o'rta ta'lim maktabi,454,0.8,1.25,44,30.5,0.488
41.26863,69.29851,154-sonli umumiy o'rta ta'lim maktabi,1126,0.8,1.06,42,30.3,0.508
41.27460,69.29539,158-sonli umumiy o'rta ta'lim maktabi,1052,0.8,1.06,43,30.3,0.509
41.27571,69.28693,175- umumiy o'rta ta'lim maktabii,1119,0.8,1.06,43,30.3,0.509
41.24302,69.32452,213-sonli umumiy o'rta ta'lim maktabi,241,0.8,0.85,54,31.1,0.550
41.25726,69.31535,214-sonli umumiy o'rta ta'lim maktabi,332,0.8,1.36,49,30.8,0.480
41.24662,69.31452,218-sonli ixtisoslashtirilgan davlat umu,310,0.8,1.36,44,30.8,0.480
41.25054,69.30908,263-sonli umumiy o'rta ta'lim maktabi,694,0.8,1.36,48,30.4,0.473
41.28182,69.28987,294-sonli ixtisoslashtirilgan davlat umu,944,0.8,1.09,44,30.3,0.504
41.29335,69.27121,328-sonli umumiy o'rta ta'lim maktabi,25,0.8,1.28,47,33.7,0.539
41.29693,69.27769,Gyote nomidagi 60-sonli nemis tilini chu,152,0.8,1.07,47,31.8,0.532
41.23654,69.23541,"60,Tashkent,Mirobod",519,0.65,1.00,39,24.7,0.297
41.31732,69.29862,18-sonli umumiy o'rta ta'lim maktabi,195,0.8,1.27,48,31.4,0.502
41.34158,69.33356,27-sonli umumiy o'rta ta'lim maktabi,17,0.8,1.12,62,33.9,0.564
41.35980,69.38953,35-sonli umumiy o'rta ta'lim maktabi,3,0.65,1.59,65,27.8,0.281
41.34838,69.35171,49-sonli umumiy o'rta ta'lim maktabi,125,0.8,1.32,57,32.1,0.508
41.31375,69.28288,50-sonli ixtisoslashtirilgan davlat umum,116,0.8,1.27,49,32.2,0.515
41.31109,69.29276,64-sonli umumiy o'rta ta'lim maktabi,276,0.8,1.27,45,31.0,0.494
41.32342,69.31796,71-sonli umumiy o'rta ta'lim maktabi,44,0.8,1.16,48,33.3,0.546
41.32021,69.34735,112-sonli xorijiy tillarni chuqur o'qiti,745,0.8,1.19,64,30.3,0.497
41.33121,69.37259,121-sonli umumiy o'rta ta'lim maktabi,196,0.8,0.96,58,31.4,0.541
41.32563,69.30299,142-sonli ixtisoslashtirilgan davlat umu,509,0.8,1.16,49,30.5,0.499
41.31795,69.32198,148-sonli umumiy o'rta ta'lim maktabi,274,0.8,1.16,58,31.0,0.509
41.34920,69.34312,187-sonli umumiy o'rta ta'lim maktabi,477,0.8,1.19,61,30.5,0.498
41.34646,69.36613,207-sonli umumiy o'rta ta'lim maktabi,357,0.8,1.32,61,30.7,0.486
41.33532,69.36037,208-sonli umumiy o'rta ta'lim maktabi,833,0.8,1.39,60,30.3,0.471
41.33685,69.37317,209-sonli umumiy o'rta ta'lim maktabi,424,0.5,0.96,56,19.1,0.085
41.35946,69.39224,210-sonli umumiy o'rta ta'lim maktabi,196,0.5,0.85,61,19.6,0.109
41.35461,69.38813,211-sonli umumiy o'rta ta'lim maktabi,481,0.8,1.59,68,30.5,0.451
41.32194,69.35527,222-sonli umumiy o'rta ta'lim maktabi,451,0.65,1.19,58,24.8,0.278
41.35846,69.36216,223-sonli ixtisoslashtirilgan davlat umu,383,0.8,1.32,59,30.6,0.485
41.33105,69.32755,225-sonli umumiy o'rta ta'lim maktabi,242,0.8,1.12,64,31.1,0.518
41.35476,69.38329,248-sonli umumiy o'rta ta'lim maktabi,342,0.8,1.59,66,30.7,0.455
41.34840,69.38626,256-sonli umumiy o'rta ta'lim maktabi,1093,0.8,1.59,60,30.3,0.447
41.34226,69.38874,279-sonli umumiy o'rta ta'lim maktabi,977,0.8,0.96,57,30.3,0.523
41.33707,69.37404,308-sonli umumiy o'rta ta'lim maktabi,360,0.65,0.96,56,24.9,0.308
41.33567,69.35325,"338,Tashkent,M.Ulug'bek",492,0.5,1.39,59,19.0,0.032
41.34361,69.36194,"343,Tashkent,M.Ulug'bek",100,0.8,1.39,58,32.4,0.504
41.33957,69.23244,11-sonli umumiy o'rta ta'lim maktabi,40,0.8,1.03,45,33.4,0.563
41.36863,69.20132,15-sonli umumiy o'rta ta'lim maktabi,794,0.65,1.22,47,24.7,0.269
41.37272,69.23817,16-sonli umumiy o'rta ta'lim maktabi,1101,0.65,0.81,45,24.6,0.319
41.33585,69.24762,22-sonli ixtisoslashtirilgan davlat umum,483,0.8,1.07,48,30.5,0.511
41.33592,69.23344,24-sonli ixtisoslashtirilgan davlat umum,18,0.8,1.03,46,33.9,0.571
41.27407,69.22173,28-sonli ixtisoslashtirilgan davlat umum,885,0.8,1.13,48,30.3,0.501
41.35826,69.18383,29-sonli ixtisoslashtirilgan davlat umum,734,0.8,1.32,45,30.3,0.477
41.33616,69.21860,46-sonli umumiy o'rta ta'lim maktabi,201,0.65,1.03,43,25.5,0.306
41.33923,69.22323,"28,Tashkent,Olmazor",63,0.8,1.03,43,32.9,0.555
41.34176,69.24999,119-sonli umumiy o'rta ta'lim maktabi,143,0.8,1.07,47,31.9,0.534
41.35479,69.23793,133-sonli ixtisoslashtirilgan davlat umu,668,0.8,1.19,44,30.4,0.493
41.36854,69.19868,134-sonli umumiy o'rta ta'lim maktabi,660,0.8,1.22,47,30.4,0.490
41.33699,69.24917,146-sonli umumiy o'rta ta'lim maktabi,365,0.8,1.07,48,30.7,0.514
41.34642,69.24525,159-sonli umumiy o'rta ta'lim maktabi,176,0.8,1.19,46,31.6,0.513
41.36396,69.23158,165-sonli umumiy o'rta ta'lim maktabi,527,0.8,1.38,46,30.4,0.472
41.35280,69.23260,185-sonli umumiy o'rta ta'lim maktabi,383,0.8,1.48,44,30.6,0.462
41.35977,69.22121,191-sonli umumiy o'rta ta'lim maktabi,350,0.8,1.48,45,30.7,0.464
41.35994,69.22003,196-sonli umumiy o'rta ta'lim maktabi,448,0.8,1.48,45,30.5,0.460
41.36985,69.21877,219-sonli umumiy o'rta ta'lim maktabi,523,0.8,1.38,47,30.4,0.472
41.34493,69.22287,224-sonli umumiy o'rta ta'lim maktabi,494,0.8,1.48,43,30.5,0.459
41.35767,69.23353,233-sonli umumiy o'rta ta'lim maktabi,561,0.8,1.48,45,30.4,0.459
41.36970,69.20869,234-sonli umumiy o'rta ta'lim maktabi,1099,0.65,1.22,47,24.6,0.269
41.37009,69.21076,242-sonli umumiy o'rta ta'lim maktabi,1176,0.8,1.22,47,30.3,0.489
41.34291,69.20760,243-sonli umumiy o'rta ta'lim maktabi,123,0.65,1.22,39,26.1,0.291
41.35556,69.19138,249-sonli umumiy o'rta ta'lim maktabi,644,0.8,1.32,44,30.4,0.478
41.35289,69.18481,261-sonli umumiy o'rta ta'lim maktabi,340,0.8,1.32,45,30.7,0.484
41.36547,69.19156,278-sonli umumiy o'rta ta'lim maktabi,537,0.8,1.10,46,30.4,0.506
41.33226,69.22387,298-sonli umumiy o'rta ta'lim maktabi,228,0.8,1.03,46,31.2,0.527
41.38461,69.21991,315-sonli umumiy o'rta ta'lim maktabi,345,0.65,1.11,53,25.0,0.289
41.35573,69.21844,326-sonli ixtisoslashtirilgan davlat umu,604,0.8,1.48,44,30.4,0.458
41.34310,69.25071,"298,Tashkent,Olmazor",304,0.8,1.07,46,30.8,0.517
41.36398,69.19308,"315,Tashkent,Olmazor",746,0.8,1.22,47,30.3,0.490
41.36318,69.19750,"326,Tashkent,Olmazor",1052,0.5,1.22,46,19.0,0.049
41.34464,69.21716,"36,Tashkent,Olmazor",268,0.8,1.48,41,31.0,0.468
41.33536,69.24840,"102-MM,Tashkent,Olmazor",398,0.8,1.07,48,30.6,0.513
41.22234,69.21693,301-sonli umumiy o'rta ta'lim maktabi,424,0.8,1.00,45,30.6,0.520
41.21752,69.26434,305-sonli umumiy o'rta ta'lim maktabi,571,0.8,0.93,922,30.4,0.671
41.21009,69.22444,6-sonli ixtisoslashtirilgan davlat umumt,299,0.8,1.08,1151,30.9,0.698
41.21282,69.23337,7-sonli umumiy o'rta ta'lim maktabi,205,0.8,1.00,1064,31.3,0.701
41.21885,69.21581,317-sonli ixtisoslashtirilgan davlat umu,674,0.65,1.00,45,24.7,0.297
41.22657,69.21137,322-sonli umumiy o'rta ta'lim maktabi,646,0.65,1.03,43,24.7,0.292
41.22867,69.20947,55 - sonli umumiy o'rta ta'lim maktabi,405,0.65,1.05,41,24.9,0.293
41.21146,69.23195,68-sonli umumiy o'rta ta'lim maktabi,92,0.8,1.08,1061,32.5,0.710
41.23195,69.20138,76-sonli umumiy o'rta ta'lim maktabi,339,0.8,1.05,43,30.7,0.516
41.21695,69.24140,104-sonli umumiy o'rta ta'lim maktabi,234,0.8,1.08,1085,31.2,0.691
41.25957,69.25684,237-sonli umumiy o'rta ta'lim maktabi,90,0.8,1.05,41,32.5,0.546
41.20095,69.25057,264-sonli umumiy o'rta ta'lim maktabi,1609,0.8,0.96,1035,30.3,0.685
41.24760,69.29112,266-sonli umumiy o'rta ta'lim maktabi,364,0.8,1.01,45,30.7,0.520
41.24733,69.22485,267-sonli umumiy o'rta ta'lim maktabi,381,0.65,1.20,42,24.9,0.275
41.24724,69.28484,268-sonli umumiy o'rta ta'lim maktabi,323,0.8,1.01,46,30.8,0.522
41.24663,69.25727,269-sonli umumiy o'rta ta'lim maktabi,238,0.5,1.05,40,19.5,0.077
41.24759,69.28818,277-sonli ixtisoslashtirilgan davlat umu,361,0.8,1.01,44,30.7,0.520
41.22100,69.21744,284-sonli umumiy o'rta ta'lim maktabi,449,0.8,1.00,45,30.5,0.519
41.20770,69.22488,"269,Tashkent,Sergeli",48,0.8,1.08,1120,33.2,0.732
41.22189,69.21418,300-sonli ixtisoslashtirilgan davlat umu,654,0.8,1.00,44,30.4,0.517
41.21762,69.21864,"284,Tashkent,Sergeli",518,0.8,1.00,44,30.4,0.518
41.21112,69.19886,"2,Tashkent,Yashnobod",569,0.65,1.23,32,24.7,0.267
41.31593,69.18068,4-sonli umumiy o'rta ta'lim maktabi,350,0.8,1.41,40,30.7,0.471
41.29142,69.15828,14-sonli ixtisoslashtirilgan davlat umum,686,0.8,1.25,48,30.4,0.486
41.31516,69.17394,38-sonli umumiy o'rta ta'lim maktabi,464,0.8,1.41,39,30.5,0.468
41.28657,69.17678,44-sonli umumiy o'rta ta'lim maktabi,490,0.8,1.03,45,30.5,0.515
41.29360,69.18921,62-sonli umumiy o'rta ta'lim maktabi,369,0.8,1.03,45,30.7,0.518
41.27943,69.18681,74-sonli umumiy o'rta ta'lim maktabi,546,0.65,1.03,42,24.7,0.293
41.32106,69.17344,75-sonli umumiy o'rta ta'lim maktabi,1077,0.8,1.41,41,30.3,0.465
41.28341,69.17059,78-sonli umumiy o'rta ta'lim maktabi,1110,0.5,1.03,47,19.0,0.072
41.30680,69.18690,81-sonli ixtisoslashtirilgan davlat umum,559,0.8,1.10,45,30.4,0.505
41.32325,69.18023,106-sonli umumiy o'rta ta'lim maktabi,1065,0.8,1.41,42,30.3,0.465
41.27673,69.17396,107-sonli ixtisoslashtirilgan davlat umu,1473,0.8,1.36,42,30.3,0.472
41.32483,69.16861,109-sonli umumiy o'rta ta'lim maktabi,788,0.8,0.99,42,30.3,0.516
41.31534,69.16044,116-sonli ixtisoslashtirilgan davlat umu,463,0.8,0.99,42,30.5,0.519
41.30442,69.15536,123-sonli umumiy o'rta ta'lim maktabi,91,0.8,0.91,44,32.5,0.563
41.30785,69.16782,129-sonli umumiy o'rta ta'lim maktabi,43,0.8,0.91,42,33.3,0.576
41.29855,69.16454,193-sonli ixtisoslashtirilgan davlat umu,727,0.8,0.91,45,30.4,0.527
41.28219,69.16393,194-sonli umumiy o'rta ta'lim maktabi,1280,0.8,1.25,47,30.3,0.486
41.29720,69.15958,197-sonli umumiy o'rta ta'lim maktabi,735,0.8,0.91,46,30.3,0.527
41.26898,69.15552,203-sonli umumiy o'rta ta'lim maktabi,709,0.8,1.15,43,30.4,0.498
41.29559,69.18079,228-sonli umumiy o'rta ta'lim maktabi,321,0.5,1.10,44,19.2,0.068
41.28922,69.17671,229-sonli umumiy o'rta ta'lim maktabi,319,0.5,1.03,44,19.2,0.077
41.32218,69.16142,236-sonli umumiy o'rta ta'lim maktabi ma,307,0.8,0.99,41,30.8,0.525
41.29259,69.17033,238-sonli umumiy o'rta ta'lim maktabi,588,0.65,1.03,48,24.7,0.294
41.31755,69.16470,245-sonli umumiy o'rta ta'lim maktabi,726,0.8,0.99,42,30.4,0.517
41.27239,69.14115,251-sonli umumiy o'rta ta'lim maktabi,461,0.65,0.76,41,24.8,0.328
41.28003,69.18547,283-sonli umumiy o'rta ta'lim maktabi,568,0.5,1.03,42,19.0,0.072
41.27779,69.16294,287-sonli umumiy o'rta ta'lim maktabi,1318,0.8,1.15,46,30.3,0.497
41.26540,69.15001,295-sonli umumiy o'rta ta'lim maktabi,233,0.8,1.15,42,31.2,0.511
41.26845,69.15556,296-sonli umumiy o'rta ta'lim maktabi,710,0.8,1.15,43,30.4,0.498
41.28190,69.13887,297-sonli umumiy o'rta ta'lim maktabi,734,0.8,0.99,45,30.4,0.518
41.29130,69.14477,312-sonli umumiy o'rta ta'lim maktabi,424,0.8,0.99,46,30.6,0.522
41.29638,69.12489,"245,Tashkent,Uchtepa",2133,0.8,0.98,42,30.3,0.517
41.29465,69.21288,79-sonli umumiy o'rta ta'lim maktabi,333,0.65,0.97,46,25.0,0.305
41.31005,69.24446,90-sonli umumiy o'rta ta'lim maktabi,132,0.8,1.33,46,32.0,0.503
41.26818,69.18397,101-sonli umumiy o'rta ta'lim maktabi,1303,0.5,1.36,44,19.0,0.032
41.28286,69.22678,103-sonli ixtisoslashtirilgan davlat umu,591,0.8,1.17,48,30.4,0.497
41.26609,69.19431,114-sonli umumiy o'rta ta'lim maktabi,414,0.8,0.94,46,30.6,0.528
41.26001,69.15461,126-sonli umumiy o'rta ta'lim maktabi,270,0.8,0.83,41,31.0,0.547
41.29915,69.22779,128-sonli umumiy o'rta ta'lim maktabi,206,0.8,0.99,46,31.3,0.535
41.26754,69.20412,131-sonli ixtisoslashtirilgan davlat umu,272,0.8,0.94,46,31.0,0.534
41.27618,69.21792,138-sonli umumiy o'rta ta'lim maktabi,778,0.8,1.13,47,30.3,0.501
41.28531,69.22226,162-sonli umumiy o'rta ta'lim maktabi,401,0.65,1.17,48,24.9,0.279
41.27848,69.22266,163-sonli umumiy o'rta ta'lim maktabi,917,0.8,1.17,48,30.3,0.496
41.27470,69.20030,164-sonli umumiy o'rta ta'lim maktabi,216,0.8,0.94,46,31.3,0.539
41.28697,69.22492,168-sonli umumiy o'rta ta'lim maktabi,338,0.8,1.17,46,30.7,0.503
41.29320,69.22060,173-sonli umumiy o'rta ta'lim maktabi,40,0.8,1.17,47,33.4,0.547
41.28812,69.21303,178-sonli ixtisoslashtirilgan davlat umu,378,0.8,1.05,47,30.6,0.515
41.29540,69.20783,179-sonli umumiy o'rta ta'lim maktabi,299,0.8,0.97,47,30.9,0.529
41.28865,69.21332,182-sonli umumiy o'rta ta'lim maktabi,397,0.65,1.05,47,24.9,0.293
41.29181,69.20400,183-sonli umumiy o'rta ta'lim maktabi,465,0.8,1.05,46,30.5,0.512
41.28490,69.20160,184-sonli umumiy o'rta ta'lim maktabi,583,0.65,1.05,46,24.7,0.290
41.26405,69.21191,188-sonli umumiy o'rta ta'lim maktabi,478,0.8,0.94,47,30.5,0.526
41.27470,69.20030,195-sonli ixtisoslashtirilgan davlat umu,216,0.8,0.94,46,31.3,0.539
41.28342,69.19629,181-sonli umumiy o'rta ta'lim maktabi,135,0.5,1.05,44,20.0,0.086
41.26312,69.18327,200-sonli ixtisoslashtirilgan davlat umu,940,0.8,1.36,43,30.3,0.472
41.25146,69.20218,201-sonli umumiy o'rta ta'lim maktabi,309,0.8,1.33,45,30.8,0.485
41.26294,69.18343,202-sonli umumiy o'rta ta'lim maktabi,916,0.8,1.36,44,30.3,0.472
41.26814,69.17485,217-sonli umumiy o'rta ta'lim maktabi,1837,0.8,1.36,44,30.3,0.472
41.26167,69.21175,232-sonli umumiy o'rta ta'lim maktabi,310,0.8,0.94,47,30.8,0.532
41.23821,69.17231,270-sonli umumiy o'rta ta'lim maktabi,319,0.8,1.17,42,30.8,0.502
41.26133,69.15739,280-sonli umumiy o'rta ta'lim maktabi,537,0.65,1.15,42,24.7,0.278
41.26632,69.16323,281-sonli umumiy o'rta ta'lim maktabi,1276,0.8,1.15,42,30.3,0.497
41.25944,69.20327,357-sonli umumiy o'rta ta'lim maktabi,516,0.8,1.33,46,30.4,0.478
41.28596,69.22888,"201,Tashkent,Chilonzor",214,0.8,1.17,46,31.3,0.512
41.31621,69.19792,10-sonli umumiy o'rta ta'lim maktabi,323,0.8,1.06,44,30.8,0.516
41.30940,69.22079,13-sonli umumiy o'rta ta'lim maktabi,1035,0.8,0.99,47,30.3,0.518
41.32703,69.25780,19-sonli umumiy o'rta ta'lim maktabi,240,0.8,0.99,47,31.1,0.531
41.33939,69.26367,20-sonli umumiy o'rta ta'lim maktabi,384,0.8,1.11,47,30.6,0.508
41.30874,69.23511,34-sonli umumiy o'rta ta'lim maktabi,268,0.65,0.99,44,25.2,0.307
41.33527,69.19916,39-sonli umumiy o'rta ta'lim maktabi,255,0.8,1.22,39,31.1,0.500
41.32349,69.20692,40-sonli umumiy o'rta ta'lim maktabi,129,0.8,1.06,44,32.0,0.536
41.32663,69.22608,41-sonli umumiy o'rta ta'lim maktabi,145,0.8,0.90,46,31.8,0.553
41.32614,69.24365,42-sonli umumiy o'rta ta'lim maktabi,110,0.8,0.99,46,32.2,0.550
41.31347,69.23246,45-sonli umumiy o'rta ta'lim maktabi,235,0.8,0.90,47,31.2,0.542
