city,lat,lon,child_u20
Tashkent,41.38461,69.21991,205.4
Tashkent,41.35573,69.21844,175.1
Tashkent,41.34310,69.25071,191.2
Tashkent,41.36398,69.19308,186.8
Tashkent,41.36318,69.19750,186.4
Tashkent,41.34464,69.21716,169.1
Tashkent,41.33536,69.24840,189.7
Tashkent,41.22234,69.21693,166.7
Tashkent,41.21752,69.26434,3722.1
Tashkent,41.21009,69.22444,4346.4
Tashkent,41.21282,69.23337,2974.0
Tashkent,41.21885,69.21581,177.0
Tashkent,41.22657,69.21137,166.7
Tashkent,41.22867,69.20947,160.7
Tashkent,41.21146,69.23195,2974.0
Tashkent,41.23195,69.20138,167.9
Tashkent,41.21695,69.24140,3818.2
Tashkent,41.25957,69.25684,163.3
Tashkent,41.20095,69.25057,4213.0
Tashkent,41.24760,69.29112,166.3
Tashkent,41.24733,69.22485,179.5
Tashkent,41.24724,69.28484,154.2
Tashkent,41.24663,69.25727,163.3
Tashkent,41.24759,69.28818,166.3
Tashkent,41.22100,69.21744,166.7
Tashkent,41.20770,69.22488,4346.4
Tashkent,41.22189,69.21418,166.7
Tashkent,41.21762,69.21864,177.0
Tashkent,41.21112,69.19886,138.4
Tashkent,41.31593,69.18068,171.2
Tashkent,41.29142,69.15828,189.1
Tashkent,41.31516,69.17394,164.0
Tashkent,41.28657,69.17678,175.9
Tashkent,41.29360,69.18921,176.0
Tashkent,41.27943,69.18681,180.4
Tashkent,41.32106,69.17344,164.2
Tashkent,41.28341,69.17059,165.3
Tashkent,41.30680,69.18690,188.6
Tashkent,41.32325,69.18023,166.4
Tashkent,41.27673,69.17396,168.3
Tashkent,41.32483,69.16861,164.9
Tashkent,41.31534,69.16044,169.3
Tashkent,41.30442,69.15536,176.6
Tashkent,41.30785,69.16782,172.5
Tashkent,41.29855,69.16454,187.8
Tashkent,41.28219,69.16393,179.6
Tashkent,41.29720,69.15958,188.3
Tashkent,41.26898,69.15552,165.5
Tashkent,41.29559,69.18079,180.6
Tashkent,41.28922,69.17671,175.9
Tashkent,41.32218,69.16142,164.9
Tashkent,41.29259,69.17033,175.9
Tashkent,41.31755,69.16470,159.2
Tashkent,41.27239,69.14115,168.6
Tashkent,41.28003,69.18547,166.8
Tashkent,41.27779,69.16294,169.2
Tashkent,41.26540,69.15001,166.8
Tashkent,41.26845,69.15556,165.5
Tashkent,41.28190,69.13887,183.8
Tashkent,41.29130,69.14477,187.7
Tashkent,41.29638,69.12489,161.6
Tashkent,41.29465,69.21288,185.5
Tashkent,41.31005,69.24446,188.2
Tashkent,41.26818,69.18397,178.4
Tashkent,41.28286,69.22678,193.2
Tashkent,41.26609,69.19431,183.3
Tashkent,41.26001,69.15461,159.0
Tashkent,41.29915,69.22779,182.4
Tashkent,41.26754,69.20412,186.7
Tashkent,41.27618,69.21792,192.6
Tashkent,41.28531,69.22226,193.2
Tashkent,41.27848,69.22266,193.2
Tashkent,41.27470,69.20030,185.3
Tashkent,41.28697,69.22492,185.6
Tashkent,41.29320,69.22060,185.6
Tashkent,41.28812,69.21303,189.1
