lat,lon,dist_m,infiltration,indoor_pm25
41.27407,69.22173,885,0.8,30.3
41.35826,69.18383,734,0.8,30.3
41.33616,69.21860,201,0.65,25.5
41.33923,69.22323,63,0.8,32.9
41.34176,69.24999,143,0.8,31.9
41.35479,69.23793,668,0.8,30.4
41.36854,69.19868,660,0.8,30.4
41.33699,69.24917,365,0.8,30.7
41.34642,69.24525,176,0.8,31.6
41.36396,69.23158,528,0.8,30.4
41.35280,69.23260,384,0.8,30.6
41.35977,69.22121,350,0.8,30.7
41.35994,69.22003,448,0.8,30.5
41.36985,69.21877,524,0.8,30.4
41.34493,69.22287,495,0.8,30.5
41.35767,69.23353,561,0.8,30.4
41.36970,69.20869,1099,0.65,24.6
41.37009,69.21076,1176,0.8,30.3
41.34291,69.20760,123,0.65,26.1
41.35556,69.19138,644,0.8,30.4
41.35289,69.18481,340,0.8,30.7
41.36547,69.19156,537,0.8,30.4
41.33226,69.22387,228,0.8,31.2
41.38461,69.21991,345,0.65,25.0
41.35573,69.21844,604,0.8,30.4
41.34310,69.25071,304,0.8,30.8
41.36398,69.19308,746,0.8,30.3
41.36318,69.19750,1052,0.5,19.0
41.34464,69.21716,268,0.8,31.0
41.33536,69.24840,398,0.8,30.6
41.22234,69.21693,424,0.8,30.6
41.21752,69.26434,571,0.8,30.4
41.21009,69.22444,299,0.8,30.9
41.21282,69.23337,205,0.8,31.3
41.21885,69.21581,674,0.65,24.7
41.22657,69.21137,646,0.65,24.7
41.22867,69.20947,405,0.65,24.9
41.21146,69.23195,92,0.8,32.5
41.23195,69.20138,339,0.8,30.7
41.21695,69.24140,234,0.8,31.2
41.25957,69.25684,90,0.8,32.5
41.20095,69.25057,1610,0.8,30.3
41.24760,69.29112,364,0.8,30.7
41.24733,69.22485,381,0.65,24.9
41.24724,69.28484,323,0.8,30.8
41.24663,69.25727,238,0.5,19.5
41.24759,69.28818,361,0.8,30.7
41.22100,69.21744,449,0.8,30.5
41.20770,69.22488,48,0.8,33.2
41.22189,69.21418,654,0.8,30.4
41.21762,69.21864,518,0.8,30.4
41.21112,69.19886,569,0.65,24.7
41.31593,69.18068,350,0.8,30.7
41.29142,69.15828,686,0.8,30.4
41.31516,69.17394,464,0.8,30.5
41.28657,69.17678,490,0.8,30.5
41.29360,69.18921,369,0.8,30.7
