lat,lon,name,dist_m,network_anomaly,fused_outdoor_pm25
41.37724,69.27737,259-sonli umumiy o`rta ta`lim maktabi,899,3.95,41.9
41.37249,69.28061,260-sonli umumiy o`rta ta`lim maktabi,522,3.8,41.9
41.37917,69.28472,265-sonli umumiy o`rta ta`lim maktabi,353,3.24,41.6
41.37585,69.28659,271-sonli umumiy o‘rta ta'lim maktabi,119,3.16,43.3
41.35753,69.28954,272-sonli umumiy o`rta ta`lim maktabi,41,2.85,44.5
41.37927,69.30388,273-sonli umumiy o`rta ta`lim maktabi,528,1.97,40.0
41.36698,69.32400,274-sonli umumiy o`rta ta`lim maktabi,246,1.21,40.1
41.36930,69.31889,288-sonli umumiy o`rta ta`lim maktabi,449,1.31,39.5
41.36393,69.27881,302-sonli umumiy o`rta ta`lim maktabi,343,4.17,42.6
41.39154,69.25281,313-sonli umumiy o`rta ta`lim maktabi,704,4.56,42.5
41.37762,69.26291,327-sonli umumiy o'rta ta'lim tarmoq mak,1597,5.32,43.2
41.35735,69.32651,88-sonli umumiy o`rta ta`lim maktabi,848,1.18,39.1
41.35839,69.28294,"272,Tashkent,Yunusobod",344,3.61,42.0
41.26950,69.23470,26-sonli umumiy o'rta ta'lim maktabi,69,-2.32,38.7
41.27404,69.26331,48-sonli umumta'lim maktabi,359,-1.1,37.3
41.29398,69.24942,73-sonli umumiy o'rta ta'lim tarmoq makt,103,-1.22,39.2
41.28536,69.25140,89-sonli umumiy o'rta ta'lim maktabi,130,-1.38,38.6
41.29909,69.25785,91-sonli ixtisoslashtrilgan davlat umumi,670,-0.92,37.0
41.27357,69.22997,100-sonli umumiy o'rta ta'lim maktabi,663,-2.81,35.1
41.28815,69.26018,118-sonli umumiy o'rta ta'lim maktabi,214,-1.02,38.1
41.26870,69.25004,127-sonli umumiy o'rta ta'lim maktabi,130,-1.55,38.5
41.28917,69.24714,135-sonli umumiy o'rta ta'lim maktabi,371,-1.44,36.9
41.28199,69.23656,144-sonli umumiy o'rta ta'lim maktabi,137,-2.38,37.5
41.29173,69.26227,160-sonli ixtisoslashtirilgan davlat umu,54,-0.9,40.5
41.26164,69.22652,172-sonli umumiy o'rta ta'lim maktabi,34,-2.16,39.7
41.26706,69.23752,319-sonli ixtisoslashtirilgan davlat umu,81,-2.07,38.7
41.27451,69.26303,321-sonli umumiy o'rta ta'lim maktabi,354,-1.11,37.3
41.26931,69.23461,"118,Tashkent,Yakkasaroy",61,-2.32,38.9
41.28205,69.36739,23-sonli umumiy o'rta ta'lim maktabi,540,-2.37,35.7
41.28985,69.31865,30-sonli umumiy o'rta ta'lim maktabi,1303,-1.4,36.5
41.28609,69.35582,61-sonli umumiy o'rta ta'lim maktabi,343,-3.61,34.8
41.27531,69.34497,67-sonli umumiy o'rta ta'lim maktabi,1392,-0.97,36.9
41.31738,69.31401,69-sonli umumiy o'rta ta'lim maktabi,53,-0.47,40.9
41.30391,69.28758,145-sonli umumiy o'rta ta'lim maktabi,35,-0.24,41.6
41.28256,69.34405,149-sonli umumiy o'rta ta'lim maktabi,1368,-2.36,35.5
41.28110,69.34694,151-sonli umumiy o'rta ta'lim maktabi,1148,-2.21,35.7
41.29857,69.35950,152-sonli umumiy o'rta ta'lim maktabi,600,-5.14,32.9
41.29195,69.32972,153-sonli umumiy o'rta ta'lim maktabi,1449,-2.27,35.6
41.28670,69.32642,155-sonli umumiy o'rta ta'lim maktabi,1769,-1.73,36.2
41.26689,69.31699,156-sonli umumiy o'rta ta'lim maktabi,207,-0.3,38.9
41.30104,69.30957,161-sonli umumiy o'rta ta'lim maktabi,384,-0.91,37.4
41.29435,69.34177,166-sonli umumiy o'rta ta'lim maktabi,746,-3.62,34.3
41.26915,69.31792,170-sonli umumiy o'rta ta'lim maktabi,378,-0.4,37.9
41.27169,69.34988,198-sonli umumiy o'rta ta'lim maktabi,1035,-0.05,37.9
41.29465,69.34472,204-sonli umumiy o'rta ta'lim maktabi,565,-3.96,34.1
41.25313,69.34005,206-sonli umumiy o'rta ta'lim maktabi,911,1.71,39.6
41.25365,69.34691,212-sonli umumiy o'rta ta'lim maktabi,684,2.38,40.3
41.24528,69.33151,215-sonli umumiy o'rta ta'lim maktabi,381,1.22,39.5
41.25940,69.32063,216-sonli umumiy o'rta ta'lim maktabi,153,0.16,39.9
41.28588,69.34251,226-sonli umumiy o'rta ta'lim maktabi,1358,-2.8,35.1
41.27610,69.35425,227-sonli ixtisoslashtirilgan davlat umu,611,-1.04,36.9
41.26600,69.35503,230-sonli umumiy o'rta ta'lim maktabi,776,1.64,39.6
41.27695,69.31262,231-sonli umumiy o'rta ta'lim maktabi,303,-0.74,37.8
41.29388,69.34653,244-sonli umumiy o'rta ta'lim maktabi,536,-4.1,33.9
41.29208,69.36278,255-sonli umumiy o'rta ta'lim maktabi,405,-4.7,33.5
41.29351,69.36622,282-sonli umumiy o'rta ta'lim maktabi,733,-4.72,33.2
41.31027,69.32339,307-sonli ixtisoslashtirilgan davlat umu,536,-1.46,36.6
41.27912,69.30875,"226,Tashkent,Yashnobod",96,-0.75,39.8
41.28579,69.33997,"227,Tashkent,Yashnobod",1536,-2.6,35.3
41.31629,69.31391,"230,Tashkent,Yashnobod",156,-0.53,39.1
41.19984,69.22257,2-sonli umumiy o’rta ta’lim maktabi,612,-2.33,35.6
41.19818,69.21815,3-sonli umumiy o’rta ta’lim maktabi,595,-2.38,35.6
41.20737,69.21608,8-sonli umumiy o'rta ta'lim maktabi,372,-1.06,37.3
41.23559,69.19081,32-sonli umumiy o’rta ta’lim maktabi,170,-0.42,39.1
41.19825,69.20991,285-sonli umumiy o’rta ta’lim maktabi,257,-1.96,36.8
41.17738,69.24700,292-sonli umumiy o’rta ta’lim maktabi,1233,-3.26,34.6
41.22406,69.18334,303-sonli ixtisoslashtirilgan davlat umu,298,-0.33,38.3
41.19529,69.21150,304-sonli umumiy o'rta ta'lim maktab,610,-2.42,35.6
41.22270,69.20354,Янгиҳаёт тумани мактабгача ва мактаб таъ,273,0.01,38.7
41.22395,69.20345,330-sonli umumiy o’rta ta’lim maktabi,255,0.01,38.8
41.21125,69.19900,331-sonli umumiy o'rta ta'lim maktabi,571,-0.33,37.7
41.17358,69.29476,335-sonli umumiy o`rta ta'lim maktabi,51,-1.43,40.0
41.18734,69.27654,336-sonli umumiy o`rta ta'lim maktabi,2091,-1.89,36.0
41.15641,69.42873,30-sonli umumiy o'rta ta'lim maktabi,384,0.03,38.3
41.16871,69.21909,58-sonli umumiy o'rta ta'lim maktabi,269,-3.32,35.4
41.18675,69.31679,38-sonli umumiy o'rta ta'lim maktabi,257,-0.62,38.2
41.15751,69.27200,40-sonli umumiy o'rta ta'lim maktabi,684,-2.08,35.9
41.18819,69.32885,54-sonli umumiy o'rta ta'lim maktabi,147,-0.28,39.5
41.15820,69.34561,58-sonli umumiy o'rta ta'lim maktabi,1619,-0.45,37.4
41.15480,69.38577,65-sonli umumiy o'rta ta'lim maktabi,2893,-0.09,37.8
41.15963,69.34049,"124-INTERNAT,Urtachirchiq,Tashkent",1166,-0.51,37.4
41.21620,69.30413,337-sonli umumiy o'rta ta'lim maktabi,2520,-0.37,37.5
41.22027,69.33360,345-sonli umumiy o'rta ta'lim maktabi,53,0.83,42.2
41.21623,69.32390,346-sonli umumiy o'rta ta'lim maktabi,876,0.31,38.2
41.21369,69.34027,348-sonli umumiy o'rta ta'lim maktabi,457,0.84,39.0
41.35788,69.36870,205-sonli ixtisoslashtirilgan davlat umu,368,0.6,38.9
41.34814,69.38723,120-sonli umumiy o'rta ta'lim maktabi,1145,-0.82,37.1
41.32732,69.34510,241-sonli umumiy o'rta ta'lim maktabi,647,-0.9,37.1
41.31800,69.35344,275-sonli umumiy o'rta ta'lim maktabi,235,-2.73,36.2
41.32340,69.36110,338-sonli umumiy o'rta ta'lim maktabi,149,-2.05,37.7
41.24688,69.29849,47-sonli umumiy o'rta ta'lim maktabi,286,-0.28,38.4
41.28098,69.37031,339-sonli umumiy o'rta ta'lim maktabi,769,-1.89,36.0
41.21272,69.19516,332-sonli umumiy o’rta ta’lim maktabi,212,-0.28,38.8
41.18543,69.44025,33-sonli umumiy o'rta ta'lim maktabi,2700,0.32,38.2
41.34874,69.34041,190-sonli ayrim fanlar chuqur o'qitiladi,623,1.21,39.2
41.23254,69.35786,37-sonli umumiy o'rta ta'lim maktabi,1033,2.7,40.6
41.23706,69.37226,347-sonli umumiy o'rta ta'lim maktabi,632,3.58,41.6
41.33304,69.40699,343-sonli umumiy o'rta ta'lim maktabi,1048,-2.64,35.3
41.22902,69.28047,352-sonli umumiy o'rta ta'lim maktabi,839,-0.77,37.2
41.23953,69.25469,353-sonli umumiy o'rta ta'lim maktabi,534,-1.0,37.0
41.33951,69.22337,111-sonli umumiy o'rta ta'lim maktabi,96,6.29,46.8
41.33320,69.30405,99-sonli ayrim fanlar chuqur o'qitiladig,59,0.84,42.1
41.38716,69.26016,354-sonli umumiy o'rta ta'lim maktabi,937,4.62,42.5
41.32983,69.23000,1-sonli umumiy o'rta ta'lim maktabi,214,2.64,41.7
41.21877,69.18939,356-sonli umumiy o'rta ta'lim maktabi,540,-0.21,37.8
41.28968,69.39062,341-sonli umumiy o'rta ta'lim maktabi,2571,-2.1,35.8
41.32914,69.33672,171-sonli ayrim fanlar chuqur o'qitiladi,474,-0.38,37.7
41.22496,69.29034,351-sonli umumiy o'rta ta'lim maktabi,1773,-0.61,37.3
41.33619,69.42859,344-sonli umumiy o'rta ta'lim maktabi,1103,-3.7,34.2
41.28028,69.18673,355-sonli ayrim fanlar chuqur o'qitiladi,478,-2.38,35.7
41.23602,69.23021,349-sonli umumiy o'rta ta'lim maktabi,884,-0.82,37.1
41.24120,69.36622,358-sonli umumiy o'rta ta'lim maktabi,1310,3.82,41.7
41.37288,69.35213,Qibray tumani 42-maktab,1879,0.96,38.9
41.35772,69.36336,221-sonli umumiy o'rta ta'lim maktabi,309,0.85,39.4
41.21695,69.24616,350-sonli umumiy o'rta ta'lim maktabi,90,-1.29,39.4
41.35082,69.31690,239-sonli ayrim fanlari chuqur o'qitilad,74,1.13,42.1
41.30383,69.40282,340-sonli umumiy o'rta ta'lim maktabi,2040,-2.36,35.5
41.29953,69.13213,24-sonli umumiy o'rta ta'lim maktabi,1563,0.14,38.0
