lat,lon,name,dist_m,network_anomaly,fused_outdoor_pm25
41.18395,69.35546,38-sonli  umumiy o'rta ta'lim maktabi,2104,0.17,38.1
41.15785,69.35546,39-sonli umumiy o'rta ta'lim maktabi,2429,-0.32,37.6
41.22998,69.37519,23-sonli umumiy o'rta ta'lim maktabi,111,2.93,43.2
41.18679,69.42786,36-sonli umumiy o'rta ta'lim maktabi,1844,0.43,38.3
41.18179,69.11048,2-sonli umumiy o'rta ta'lim maktabi,1678,-0.94,37.0
41.18144,69.22784,333-sonli umumiy o'rta ta'lim maktabi,1309,-3.78,34.1
41.20746,69.10676,6-sonli umumiy o'rta ta'lim maktabi,604,-0.75,37.2
41.19046,69.12672,23--sonli umumiy o'rta ta'lim maktabi,1501,-0.99,36.9
41.15924,69.11429,10-sonli ayrim fanlar chuqur o‘qitiladig,238,-1.07,37.9
41.16106,69.10834,57-sonli umumiy o'rta ta'lim maktabi,651,-1.01,37.0
41.16231,69.18798,11-sonli umumiy o'rta ta'lim maktabi,2120,-2.26,35.6
41.23364,69.33899,289-sonli ixtisoslashtirilgan davlat umu,340,1.6,40.0
41.23387,69.35070,290-sonli umumiy o'rta ta'lim maktabi,1273,2.37,40.3
41.25324,69.22359,291-sonli ixtisoslashtirilgan davlat umu,527,-1.57,36.5
41.25324,69.37663,293-sonli umumiy o'rta ta'lim maktabi,511,4.56,42.6
41.25050,69.30492,31-sonli umumiy o'rta ta'lim maktabi,691,-0.13,37.8
41.27725,69.29022,56-sonli ixtisoslashtirilgan davlat umum,1250,-0.64,37.3
41.28464,69.28976,65-sonli umumiy o'rta ta'lim maktabi,781,-0.62,37.3
41.28215,69.27280,83-sonli umumiy o'rta ta'lim maktabi,243,-0.81,38.1
41.29577,69.28089,94-sonli umumiy o'rta ta'lim maktabi,181,-0.48,38.9
41.30436,69.27139,110-sonli ixtisoslashtirilgan davlat umu,262,-0.4,38.4
41.24681,69.30321,125-sonli umumiy o'rta ta'lim maktabi,280,-0.14,38.5
41.27385,69.27565,147-sonli umumiy o'rta ta'lim maktabi,454,-0.82,37.3
41.26863,69.29851,154-sonli umumiy o'rta ta'lim maktabi,1126,-0.53,37.4
41.27460,69.29539,158-sonli umumiy o'rta ta'lim maktabi,1052,-0.61,37.3
41.27571,69.28693,175- umumiy o'rta ta'lim maktabii,1119,-0.66,37.2
41.24302,69.32452,213-sonli umumiy o'rta ta'lim maktabi,241,0.79,39.7
41.25726,69.31535,214-sonli umumiy o'rta ta'lim maktabi,332,0.06,38.5
41.24662,69.31452,218-sonli ixtisoslashtirilgan davlat umu,310,0.26,38.8
41.25054,69.30908,263-sonli umumiy o'rta ta'lim maktabi,694,0.0,38.0
41.28182,69.28987,294-sonli ixtisoslashtirilgan davlat umu,944,-0.64,37.3
41.29335,69.27121,328-sonli umumiy o'rta ta'lim maktabi,25,-0.67,41.5
41.29693,69.27769,Gyote nomidagi 60-sonli nemis tilini chu,152,-0.48,39.2
41.23654,69.23541,"60,Tashkent,Mirobod",519,-0.91,37.1
41.31732,69.29862,18-sonli umumiy o'rta ta'lim maktabi,195,0.15,39.4
41.34158,69.33356,27-sonli umumiy o'rta ta'lim maktabi,17,0.81,43.2
41.35980,69.38953,35-sonli umumiy o'rta ta'lim maktabi,3,-0.51,42.3
41.34838,69.35171,49-sonli umumiy o'rta ta'lim maktabi,125,1.1,41.2
41.31375,69.28288,50-sonli ixtisoslashtirilgan davlat umum,116,0.22,40.4
41.31109,69.29276,64-sonli umumiy o'rta ta'lim maktabi,276,-0.01,38.7
41.32342,69.31796,71-sonli umumiy o'rta ta'lim maktabi,44,-0.26,41.4
41.32021,69.34735,112-sonli xorijiy tillarni chuqur o'qiti,745,-2.08,35.9
41.33121,69.37259,121-sonli umumiy o'rta ta'lim maktabi,196,-1.29,38.0
41.32563,69.30299,142-sonli ixtisoslashtirilgan davlat umu,509,0.46,38.5
41.31795,69.32198,148-sonli umumiy o'rta ta'lim maktabi,274,-0.85,37.9
41.34920,69.34312,187-sonli umumiy o'rta ta'lim maktabi,477,1.23,39.3
41.34646,69.36613,207-sonli umumiy o'rta ta'lim maktabi,357,0.37,38.7
41.33532,69.36037,208-sonli umumiy o'rta ta'lim maktabi,833,-0.35,37.6
41.33685,69.37317,209-sonli umumiy o'rta ta'lim maktabi,424,-0.76,37.4
41.35946,69.39224,210-sonli umumiy o'rta ta'lim maktabi,196,-0.67,38.6
41.35461,69.38813,211-sonli umumiy o'rta ta'lim maktabi,481,-0.6,37.5
41.32194,69.35527,222-sonli umumiy o'rta ta'lim maktabi,451,-2.13,36.0
