lat,lon,child_u20_100m,child_u20_500m
41.34291,69.20760,1.6,39.2
41.35556,69.19138,1.8,44.4
41.35289,69.18481,1.8,44.7
41.36547,69.19156,1.8,46.0
41.33226,69.22387,1.8,45.5
41.38461,69.21991,2.3,53.1
41.35573,69.21844,1.7,44.3
41.34310,69.25071,1.9,46.5
41.36398,69.19308,1.9,47.3
41.36318,69.19750,1.9,46.5
41.34464,69.21716,1.6,41.4
41.33536,69.24840,1.9,47.7
41.22234,69.21693,1.8,44.7
41.21752,69.26434,35.9,921.6
41.21009,69.22444,44.8,1150.9
41.21282,69.23337,43.4,1064.1
41.21885,69.21581,1.8,45.3
41.22657,69.21137,1.7,43.0
41.22867,69.20947,1.6,41.1
41.21146,69.23195,42.2,1060.9
41.23195,69.20138,1.8,42.9
41.21695,69.24140,43.4,1085.2
41.25957,69.25684,1.6,41.1
41.20095,69.25057,41.1,1035.3
41.24760,69.29112,1.8,44.9
41.24733,69.22485,1.7,42.4
41.24724,69.28484,2.0,46.4
41.24663,69.25727,1.7,40.3
41.24759,69.28818,1.8,44.5
41.22100,69.21744,1.8,44.9
41.20770,69.22488,45.1,1120.2
41.22189,69.21418,1.7,44.1
41.21762,69.21864,2.0,44.4
41.21112,69.19886,1.2,32.4
41.31593,69.18068,1.6,39.6
41.29142,69.15828,1.8,48.2
41.31516,69.17394,1.6,39.0
41.28657,69.17678,2.0,45.0
41.29360,69.18921,1.8,45.4
41.27943,69.18681,1.7,41.8
41.32106,69.17344,1.7,41.3
41.28341,69.17059,2.0,47.1
41.30680,69.18690,1.7,44.8
41.32325,69.18023,1.7,41.8
41.27673,69.17396,1.7,42.5
41.32483,69.16861,1.7,41.5
41.31534,69.16044,1.7,42.4
41.30442,69.15536,1.8,43.7
41.30785,69.16782,1.7,41.5
41.29855,69.16454,1.8,44.7
41.28219,69.16393,2.0,46.9
41.29720,69.15958,1.8,46.5
41.26898,69.15552,1.7,42.6
41.29559,69.18079,1.7,44.2
41.28922,69.17671,1.8,43.7
41.32218,69.16142,1.6,41.0
41.29259,69.17033,1.9,48.0
41.31755,69.16470,1.7,41.9
41.27239,69.14115,1.7,41.3
41.28003,69.18547,1.7,41.9
41.27779,69.16294,1.8,45.5
41.26540,69.15001,1.6,41.6
41.26845,69.15556,1.7,42.6
41.28190,69.13887,1.8,44.6
41.29130,69.14477,1.8,45.5
41.29638,69.12489,1.6,41.5
41.29465,69.21288,1.8,46.2
41.31005,69.24446,1.8,46.4
41.26818,69.18397,1.8,43.7
41.28286,69.22678,1.9,47.5
41.26609,69.19431,1.8,45.9
41.26001,69.15461,1.6,41.4
41.29915,69.22779,2.0,46.2
41.26754,69.20412,1.9,46.4
41.27618,69.21792,1.9,47.1
41.28531,69.22226,1.9,47.9
41.27848,69.22266,1.9,48.3
41.27470,69.20030,1.8,46.5
41.28697,69.22492,1.9,46.5
41.29320,69.22060,1.8,46.7
41.28812,69.21303,1.9,47.0
41.29540,69.20783,1.8,47.1
41.28865,69.21332,1.9,46.9
41.29181,69.20400,1.8,46.0
41.28490,69.20160,1.8,45.8
41.26405,69.21191,1.8,47.3
41.27470,69.20030,1.8,46.5
41.28342,69.19629,1.7,44.4
41.26312,69.18327,1.7,43.3
41.25146,69.20218,1.8,45.3
41.26294,69.18343,1.8,44.0
41.26814,69.17485,1.9,43.6
41.26167,69.21175,2.0,47.1
41.23821,69.17231,1.7,42.2
41.26133,69.15739,1.7,41.7
41.26632,69.16323,1.7,41.5
41.25944,69.20327,1.8,45.6
41.28596,69.22888,1.8,46.3
41.31621,69.19792,1.8,43.8
41.30940,69.22079,1.8,46.9
41.32703,69.25780,1.8,46.6
41.33939,69.26367,1.9,47.1
41.30874,69.23511,1.8,44.2
41.33527,69.19916,1.5,38.6
41.32349,69.20692,1.7,44.1
41.32663,69.22608,1.8,46.3
41.32614,69.24365,1.7,45.9
41.31347,69.23246,1.8,46.7
41.32283,69.24758,1.9,46.4
41.32009,69.22903,2.0,48.3
41.30841,69.23611,1.8,44.4
41.31318,69.22776,1.8,45.8
41.33358,69.20504,1.6,39.3
41.32967,69.22068,1.7,45.8
41.33055,69.20296,1.6,39.5
41.32633,69.26081,1.8,46.3
41.33133,69.21413,1.8,41.6
41.31256,69.19818,1.7,44.2
41.31565,69.20885,1.8,46.1
41.30549,69.21184,1.8,46.7
41.31646,69.20692,1.8,44.8
41.34175,69.20042,1.6,38.8
41.30315,69.20710,1.8,46.1
41.31376,69.20330,1.8,45.7
41.32648,69.19909,1.6,40.2
41.30290,69.21689,1.8,45.8
41.33317,69.16836,1.9,44.4
41.33796,69.17050,1.9,44.6
41.33953,69.17911,1.7,43.0
41.34575,69.17551,1.6,41.4
41.34261,69.16906,1.9,43.9
41.33977,69.18095,1.7,42.3
41.31782,69.23437,2.0,47.0
41.32359,69.25658,1.9,46.7
41.31988,69.27702,1.9,47.3
41.33020,69.27841,1.7,44.3
41.36960,69.29950,2.3,58.7
41.31843,69.28861,1.8,46.9
41.32581,69.28802,1.8,45.5
41.32925,69.28806,2.1,46.5
41.35910,69.28360,2.5,60.2
41.35488,69.30171,2.7,59.4
41.35240,69.28613,1.9,48.0
41.33588,69.28568,1.8,45.0
41.38084,69.27350,2.3,57.4
41.32478,69.27888,1.8,46.3
41.37023,69.26850,2.3,57.5
41.34842,69.27417,1.9,48.8
41.37919,69.30496,2.3,57.6
41.35360,69.33504,2.5,64.1
41.34350,69.30107,1.9,47.7
41.35197,69.29836,1.9,49.1
41.36596,69.31092,2.4,58.5
41.34933,69.26646,1.9,49.2
41.36520,69.27638,2.5,63.6
41.37060,69.28365,2.5,61.4
41.36971,69.28965,2.4,59.1
41.36734,69.29771,2.3,59.1
41.37813,69.30197,2.3,60.3
41.37025,69.30641,2.3,58.5
41.37563,69.31612,2.6,59.9
41.37472,69.31513,2.3,59.5
41.37724,69.27737,2.3,59.6
41.37249,69.28061,2.4,60.4
41.37917,69.28472,2.3,58.3
41.37585,69.28659,2.4,59.6
41.35753,69.28954,2.5,61.8
41.37927,69.30388,2.5,58.1
41.36698,69.32400,2.5,62.8
41.36930,69.31889,2.4,61.5
41.36393,69.27881,2.3,58.9
41.39154,69.25281,2.1,53.3
41.37762,69.26291,2.1,54.1
41.35735,69.32651,2.4,59.7
41.35839,69.28294,2.5,58.2
41.26950,69.23470,1.9,50.2
41.27404,69.26331,2.0,46.9
41.29398,69.24942,1.9,46.1
41.28536,69.25140,2.0,48.6
41.29909,69.25785,1.9,47.4
41.27357,69.22997,1.9,46.9
41.28815,69.26018,1.9,45.8
41.26870,69.25004,1.9,46.8
41.28917,69.24714,1.9,48.3
41.28199,69.23656,1.9,47.1
41.29173,69.26227,2.0,46.6
41.26164,69.22652,2.0,50.0
41.26706,69.23752,1.8,45.9
41.27451,69.26303,1.8,46.5
41.26931,69.23461,1.9,50.2
41.28205,69.36739,1.9,48.7
41.28985,69.31865,1.8,43.4
41.28609,69.35582,2.2,56.0
41.27531,69.34497,2.2,54.5
41.31738,69.31401,1.9,46.2
41.30391,69.28758,1.8,46.7
41.28256,69.34405,2.2,55.4
41.28110,69.34694,2.3,56.5
41.29857,69.35950,2.4,60.4
41.29195,69.32972,2.2,56.3
41.28670,69.32642,2.3,57.0
41.26689,69.31699,1.9,47.0
41.30104,69.30957,1.7,43.8
41.29435,69.34177,2.4,59.4
41.26915,69.31792,1.9,46.5
41.27169,69.34988,2.2,55.5
41.29465,69.34472,2.4,59.5
41.25313,69.34005,2.4,60.5
41.25365,69.34691,2.4,61.1
41.24528,69.33151,2.4,59.4
41.25940,69.32063,2.0,48.9
41.28588,69.34251,2.3,57.5
41.27610,69.35425,2.2,56.0
41.26600,69.35503,2.5,60.9
41.27695,69.31262,1.8,43.9
41.29388,69.34653,2.4,60.4
41.29208,69.36278,2.5,62.1
41.29351,69.36622,2.5,61.7
41.31027,69.32339,2.1,53.6
41.27912,69.30875,1.7,43.8
41.28579,69.33997,2.5,58.9
41.31629,69.31391,1.8,46.0
41.19984,69.22257,45.2,1152.6
41.19818,69.21815,42.9,1082.8
41.20737,69.21608,44.2,1136.2
41.23559,69.19081,1.8,44.1
41.19825,69.20991,39.3,1007.1
41.17738,69.24700,53.7,1237.8
41.22406,69.18334,1.6,38.4
41.19529,69.21150,42.7,1041.8
41.22270,69.20354,1.5,37.8
41.22395,69.20345,1.5,38.6
41.21125,69.19900,1.2,32.4
41.17358,69.29476,34.1,835.1
41.18734,69.27654,35.9,904.9
41.15641,69.42873,1.4,32.0
41.16871,69.21909,38.9,975.5
41.18675,69.31679,39.6,1017.4
41.15751,69.27200,38.7,949.1
41.18819,69.32885,53.8,1355.9
41.15820,69.34561,1.3,31.7
41.15480,69.38577,1.1,26.3
41.15963,69.34049,34.9,536.4
41.21620,69.30413,49.4,1216.4
41.22027,69.33360,60.9,1535.2
41.21623,69.32390,55.3,1359.5
41.21369,69.34027,55.2,1372.2
41.35788,69.36870,2.4,60.2
41.34814,69.38723,2.4,60.2
41.32732,69.34510,2.3,59.2
41.31800,69.35344,2.6,59.0
