country_name,city,year,pm25_concentration,pm25_tempcov,population,who_ms
Uzbekistan,Tashkent/UZB,2018.0,43.094,53.0,2517381.0,1
Uzbekistan,Tashkent/UZB,2019.0,41.962,81.0,2517381.0,1
