hour,mean,median,p25,p75,p95,count,day_type
0,49.61735897435898,39.665000000000006,23.9625,64.79249999999999,116.86449999999994,390,Weekday
0,39.489999999999995,32.945,21.6125,53.127500000000005,84.59,156,Weekend
1,45.83974358974359,36.49,22.3425,54.695,114.85349999999993,390,Weekday
1,40.49378205128205,33.305,21.9775,48.555,90.3675,156,Weekend
2,41.971102564102566,30.94,20.055,50.5175,103.72049999999984,390,Weekday
2,39.29711538461539,31.865,18.5975,48.635,96.055,156,Weekend
3,39.36374358974359,31.645,20.4,47.6775,92.45399999999992,390,Weekday
3,34.63858974358974,24.770000000000003,17.835,44.015,85.5675,156,Weekend
4,41.8364358974359,32.379999999999995,21.2475,50.66,118.38199999999972,390,Weekday
4,34.762307692307694,27.575,17.92,41.415000000000006,97.01750000000001,156,Weekend
5,48.879384615384616,37.79,24.6325,59.1075,122.39949999999969,390,Weekday
5,40.55730769230769,32.53,21.927500000000002,47.5625,93.2125,156,Weekend
6,55.2775641025641,44.75,27.314999999999998,68.8125,132.56349999999995,390,Weekday
6,48.03532051282051,39.82,24.5175,63.33,108.825,156,Weekend
7,74.23435897435898,58.955,40.209999999999994,88.3975,191.03199999999998,390,Weekday
7,61.30858974358974,50.475,30.677500000000002,72.4875,163.9575,156,Weekend
8,78.23853846153845,60.67,39.32,99.3175,194.5769999999999,390,Weekday
8,72.29557692307692,52.795,38.322500000000005,85.9875,196.995,156,Weekend
9,73.6264358974359,56.705,35.845,93.08,181.5439999999999,390,Weekday
9,65.15474358974359,51.055,31.762500000000003,75.88,156.0975,156,Weekend
10,65.64335897435897,52.24,34.0325,85.1575,145.88649999999993,390,Weekday
10,57.94083333333334,42.655,28.6025,69.91,143.1525,156,Weekend
11,60.016666666666666,47.55,30.3675,73.1525,150.36449999999965,390,Weekday
11,50.50153846153846,39.040000000000006,26.442500000000003,60.9675,121.175,156,Weekend
12,56.34097435897436,45.99,30.495,68.6925,139.88049999999996,390,Weekday
12,51.38551282051282,36.695,24.8375,63.685,135.3975,156,Weekend
13,50.436128205128206,39.5,25.665,61.8,119.28799999999995,390,Weekday
13,46.237435897435894,35.785,23.475,58.980000000000004,127.1775,156,Weekend
14,48.05571794871795,35.400000000000006,22.585,57.075,125.48099999999982,390,Weekday
14,44.07192307692308,34.739999999999995,22.415,53.660000000000004,112.2775,156,Weekend
15,52.245076923076915,41.480000000000004,26.53,64.415,123.9679999999999,390,Weekday
15,46.75115384615385,38.1,22.869999999999997,62.1275,111.93,156,Weekend
16,57.84984615384615,45.495,30.015,75.41,132.9295,390,Weekday
16,55.06628205128205,41.379999999999995,28.0975,63.235,155.54,156,Weekend
17,64.5405641025641,50.365,31.8875,85.99,154.3919999999999,390,Weekday
17,59.241666666666674,46.29,28.630000000000003,74.10249999999999,146.955,156,Weekend
18,67.72200000000001,53.045,33.2725,86.03,163.28099999999998,390,Weekday
18,66.09980769230769,54.32,31.295,84.8325,168.765,156,Weekend
19,78.64087179487179,61.254999999999995,42.427499999999995,98.3275,187.9939999999996,390,Weekday
19,65.13929487179487,52.9,33.397499999999994,84.80000000000001,161.3425,156,Weekend
20,74.79012820512821,57.65,36.6575,99.04249999999999,179.26049999999984,390,Weekday
20,59.687051282051286,46.72,30.62,74.445,136.135,156,Weekend
21,63.94641025641025,48.775000000000006,30.4225,80.6875,165.57849999999993,390,Weekday
21,60.125897435897436,45.644999999999996,27.427500000000002,76.7525,150.9975,156,Weekend
22,57.90371794871795,44.405,27.5425,76.7975,143.8769999999999,390,Weekday
22,46.377628205128204,38.739999999999995,21.17,58.745000000000005,115.33,156,Weekend
23,51.78202564102565,41.385000000000005,26.085,64.9325,132.98349999999994,390,Weekday
23,47.42288461538462,37.760000000000005,23.42,60.9825,123.2775,156,Weekend
