period,mean_pm25,median_pm25,max_pm25,hours_above_who_24h,percent_above_who
School Hours (08:00-15:00),60.57536217948718,46.95,290.0,2984,95.64102564102565
Commute Times,64.04166239316238,49.555,290.0,2263,96.7094017094017
After School (16:00-19:00),67.18832051282051,53.09,290.0,1519,97.37179487179488
