season,mean,median,std,min,max,count
Fall,29.393712794101845,30.960958162943523,18.171579485755366,0.3153333303829034,111.27223597632512,999
Summer,3.345416665077209,3.345416665077209,,3.345416665077209,3.345416665077209,1
