parameter,date,is_weekend,daily_mean
pm25,2025-06-30,False,3.345416665077209
pm25,2025-09-01,False,22.36213113580431
pm25,2025-09-02,False,16.13706367048952
pm25,2025-09-03,False,29.761059712795987
pm25,2025-09-04,False,29.60163430884631
pm25,2025-09-05,False,32.644544012016716
pm25,2025-09-06,True,28.44346408711539
pm25,2025-09-07,True,27.418263831900223
pm25,2025-09-08,False,29.642232433745736
pm25,2025-09-09,False,17.84937097903134
pm25,2025-09-10,False,17.02992762211296
pm25,2025-09-11,False,7.248876160372877
pm25,2025-09-12,False,20.107645802613764
pm25,2025-09-13,True,24.36309145204723
pm25,2025-09-14,True,28.15644074103447
pm25,2025-09-15,False,19.4214947892146
pm25,2025-09-16,False,11.812027200513208
pm25,2025-09-17,False,5.285086223855615
pm25,2025-09-18,False,14.548488419089052
pm25,2025-09-19,False,22.485281803541714
pm25,2025-09-20,True,32.608366909954285
pm25,2025-09-21,True,30.995079363584516
pm25,2025-09-22,False,26.50981831550598
pm25,2025-09-23,False,18.493236079962568
pm25,2025-09-24,False,26.766869755668775
pm25,2025-09-25,False,31.96298229952252
pm25,2025-09-26,False,29.768815777382414
pm25,2025-09-27,True,30.140717025596743
pm25,2025-09-28,True,33.17027115973215
pm25,2025-09-29,False,29.634550112687446
pm25,2025-09-30,False,20.68065459398184
pm25,2025-10-01,False,13.722757308549475
pm25,2025-10-02,False,19.897215242269965
pm25,2025-10-03,False,42.716253478438766
pm25,2025-10-04,True,44.296924480702934
pm25,2025-10-05,True,41.3976142165135
pm25,2025-10-06,False,36.3283472534683
pm25,2025-10-07,False,42.719466304556285
pm25,2025-10-08,False,40.4664034110194
pm25,2025-10-09,False,50.05737367507985
pm25,2025-10-10,False,60.318731430403716
pm25,2025-10-11,True,62.78218571902054
pm25,2025-10-12,True,52.27215323005595
pm25,2025-10-13,False,35.48591424159068
pm25,2025-10-14,False,41.56841322713428
