population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,515,Asthma,1,Number,2021,2558.598712768984,3974.976176137064,1559.1821807999306
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,515,Asthma,2,Percent,2021,0.0177228391195813,0.0252860512672143,0.0114865950819294
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,515,Asthma,3,Rate,2021,88.89148593411,138.09963128886,54.16950309621
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,1,Number,2021,0.3579963711078227,0.7191430651183617,0.1171164737944291
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,2,Percent,2021,2.5001041026e-06,5.0853672402e-06,7.68465287e-07
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,2021,0.0124376008,0.02498465091,0.00406889026
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,520,Other chronic respiratory diseases,1,Number,2021,88.61486584399385,132.62704398977354,59.82746725937605
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,520,Other chronic respiratory diseases,2,Percent,2021,0.000619117908989,0.0008951521604388,0.0003975214712536
1,All Population,3,YLDs (Years Lived with Disability),37,Kyrgyzstan,3,Both,158,<20 years,520,Other chronic respiratory diseases,3,Rate,2021,3.0786801624700004,4.60776242733,2.07854105367
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,1,Number,2021,70.34059372066805,106.38017181421264,38.74939813070637
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,2,Percent,2021,0.0012569804536532,0.0019676833859831,0.0007176701763492
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,509,Chronic obstructive pulmonary disease,3,Rate,2021,5.3249368641,8.053211787659999,2.9334142300100003
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,510,Pneumoconiosis,1,Number,2021,0.0478399614470754,0.1159686886877115,0.0090667724704021
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,510,Pneumoconiosis,2,Percent,2021,8.484168893e-07,2.1004843972e-06,1.64501003e-07
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,510,Pneumoconiosis,3,Rate,2021,0.00362158977,0.0087790835,0.00068637452
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,515,Asthma,1,Number,2021,836.4793984834978,1218.260782174407,534.7191611484375
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,515,Asthma,2,Percent,2021,0.0147578673315011,0.0201854725883934,0.0100710405734366
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,515,Asthma,3,Rate,2021,63.32332085125999,92.22500701153,40.47941057258
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,1,Number,2021,0.1793538870722886,0.3699768183248548,0.0657362832586369
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,2,Percent,2021,3.1884938263e-06,5.963758917e-06,1.1756877904e-06
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,2021,0.01357748171,0.02800805473,0.00497638049
1,All Population,3,YLDs (Years Lived with Disability),38,Mongolia,3,Both,158,<20 years,520,Other chronic respiratory diseases,1,Number,2021,28.113335590442706,42.4989079929327,15.505363223190402
