lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
43.25002,76.85811,22.9,0.65,1.05,1049.4,0.510
43.22139,76.89369,22.2,0.65,1.08,1446.6,0.560
43.31418,76.96604,22.2,0.65,1.39,1212.9,0.472
43.23726,76.83304,22.3,0.65,1.27,250.4,0.328
43.24764,76.94828,27.4,0.8,1.71,1399.9,0.669
43.21511,76.87803,27.4,0.8,0.86,1390.9,0.802
43.30149,76.95908,27.5,0.8,1.02,1311.3,0.765
43.28876,76.97745,27.5,0.8,1.67,1355.2,0.670
43.23110,76.91586,27.4,0.8,0.84,1351.4,0.800
43.30005,76.86962,22.2,0.65,0.87,1142.9,0.543
43.22999,76.83858,27.7,0.8,1.14,262.5,0.571
43.33617,76.97711,27.9,0.8,1.14,1196.7,0.734
43.27757,76.98700,28.4,0.8,1.67,1338.5,0.683
43.22078,76.95387,27.4,0.8,1.22,1255.7,0.722
43.32534,76.96810,27.6,0.8,0.92,1141.5,0.753
43.22045,76.85875,27.5,0.8,1.15,1261.2,0.736
43.19904,76.90828,22.9,0.65,1.08,1352.5,0.557
43.24096,76.83064,22.9,0.65,1.27,250.4,0.338
43.21508,76.88725,22.2,0.65,1.08,1407.3,0.553
43.25109,76.83496,22.9,0.65,0.44,249.3,0.469
43.25402,76.97967,28.5,0.8,1.23,1419.7,0.768
43.23125,76.85033,27.5,0.8,1.14,817.0,0.662
43.24952,76.90919,27.4,0.8,1.36,1272.0,0.703
43.20913,76.87997,27.4,0.8,1.24,1390.9,0.742
43.27202,76.84500,22.2,0.65,1.40,1146.7,0.459
43.34397,77.00642,27.4,0.8,1.27,1313.2,0.724
43.20167,76.84186,17.5,0.5,1.35,1362.8,0.296
43.26243,76.94504,22.2,0.65,1.28,1278.4,0.501
43.23364,76.85745,27.4,0.8,1.14,1394.6,0.760
43.22429,76.84074,27.5,0.8,1.15,481.8,0.602
43.32011,76.91302,17.1,0.5,1.23,1082.8,0.260
43.32340,76.88541,27.4,0.8,0.97,1073.8,0.730
43.31856,76.93478,27.8,0.8,1.25,1228.3,0.720
43.28390,77.00195,27.5,0.8,1.37,129.5,0.507
43.32686,76.91885,27.4,0.8,1.35,1011.1,0.659
43.22832,76.85095,27.5,0.8,1.15,817.0,0.659
43.24982,76.90303,27.4,0.8,1.04,1272.0,0.754
43.22141,76.83640,22.2,0.65,1.31,481.8,0.359
43.21188,76.84650,22.2,0.65,1.35,1349.2,0.501
43.31882,76.91106,22.3,0.65,1.23,1082.8,0.477
43.34322,76.93336,30.0,0.8,1.35,897.3,0.686
43.22113,76.83622,27.4,0.8,1.31,481.8,0.576
43.25560,76.88109,28.3,0.8,0.90,1307.0,0.798
43.22189,76.85966,27.4,0.8,1.15,1261.2,0.734
43.27447,76.95474,22.4,0.65,1.43,1365.5,0.495
43.26936,76.94071,29.9,0.8,1.28,1256.8,0.757
43.33661,76.91359,28.5,0.8,1.35,1114.2,0.696
43.19959,76.85458,22.4,0.65,1.35,1261.0,0.489
43.18661,76.82971,24.2,0.65,1.33,234.5,0.348
43.25639,76.87872,23.6,0.65,0.90,1307.0,0.591
43.25669,76.87894,29.4,0.8,0.90,1307.0,0.818
43.34711,77.02071,22.2,0.65,0.22,990.9,0.619
43.22543,76.86862,27.4,0.8,0.86,1411.1,0.806
43.33637,76.91154,27.8,0.8,1.35,1114.2,0.684
43.20420,76.82486,22.2,0.65,1.56,233.5,0.277
43.23605,76.98015,22.3,0.65,0.55,1281.2,0.618
43.30440,76.90028,22.7,0.65,1.08,1160.6,0.521
43.25668,76.92063,27.4,0.8,1.36,1280.0,0.704
43.21706,76.86987,27.4,0.8,0.86,1410.8,0.806
43.25943,76.87214,29.1,0.8,0.90,1276.6,0.807
43.22217,76.84401,22.5,0.65,1.15,1289.8,0.527
43.22521,77.04563,22.2,0.65,0.24,13.8,0.449
43.23501,76.82169,27.4,0.8,1.27,238.8,0.541
43.32030,76.97931,27.5,0.8,1.25,1106.2,0.695
43.32644,76.93130,30.4,0.8,1.42,1248.2,0.742
43.21364,76.86134,22.7,0.65,0.86,1233.4,0.567
43.25370,76.87029,27.5,0.8,0.90,1309.9,0.785
43.29689,76.86177,22.2,0.65,0.87,1152.6,0.544
43.22712,76.86854,22.2,0.65,0.86,1411.1,0.589
43.27314,76.96206,27.4,0.8,1.43,1388.0,0.712
43.24882,76.92197,27.4,0.8,1.36,1312.5,0.710
43.34108,76.81161,27.4,0.8,0.61,137.1,0.628
43.24359,76.93864,27.4,0.8,1.31,1325.3,0.719
43.23216,76.86264,27.4,0.8,0.87,1411.1,0.804
43.24999,76.81450,17.1,0.5,1.14,217.7,0.125
43.23459,76.83601,22.4,0.65,1.27,239.3,0.328
43.29038,76.95276,27.6,0.8,1.43,1322.3,0.704
43.25935,76.93104,27.4,0.8,1.33,1295.4,0.711
43.21008,76.78177,27.4,0.8,0.52,156.9,0.646
43.24963,76.90427,27.4,0.8,1.04,1272.0,0.754
43.27239,76.92870,27.7,0.8,1.28,1286.5,0.724
43.22151,76.86304,27.4,0.8,0.86,1313.3,0.789
43.29248,76.96592,29.5,0.8,1.43,1259.6,0.727
43.22630,76.85179,22.4,0.65,1.15,817.0,0.445
43.24537,76.90015,22.2,0.65,1.04,1226.5,0.529
43.25917,76.92072,27.4,0.8,1.36,1286.5,0.705
43.17646,76.90491,22.2,0.65,1.18,1257.1,0.512
43.29192,76.94180,29.1,0.8,1.16,1237.8,0.759
43.28898,76.93245,17.4,0.5,1.16,1286.8,0.311
43.22988,76.91296,27.4,0.8,0.84,1351.4,0.800
43.28227,76.97528,27.4,0.8,1.67,1401.0,0.676
43.23408,76.82777,27.4,0.8,1.27,250.4,0.543
43.24186,76.90028,27.4,0.8,1.24,1226.5,0.715
43.24647,76.89170,22.2,0.65,1.04,1245.7,0.533
43.19011,76.92429,22.2,0.65,1.39,1195.1,0.468
43.23094,76.95680,22.8,0.65,1.47,1287.9,0.483
43.28439,76.94105,27.5,0.8,1.16,1311.4,0.743
43.23518,76.89399,27.4,0.8,1.24,1306.3,0.728
43.24360,76.90101,27.4,0.8,1.24,1226.5,0.715
43.26662,76.89334,27.5,0.8,1.32,1153.9,0.691
43.24975,76.95368,27.4,0.8,1.71,1472.8,0.681
43.25812,76.91512,27.4,0.8,1.36,1247.6,0.699
43.26699,76.89792,22.4,0.65,1.32,1236.8,0.490
43.23860,76.93923,22.2,0.65,1.31,1310.3,0.500
43.32546,76.91856,22.3,0.65,1.35,1011.1,0.444
43.16621,76.84907,22.2,0.65,1.58,159.0,0.260
43.25493,76.91225,22.2,0.65,1.36,1247.6,0.482
43.29382,76.91586,27.4,0.8,0.96,1298.0,0.771
43.24660,76.79211,27.4,0.8,1.29,188.4,0.528
43.24232,76.88831,27.4,0.8,1.24,1245.7,0.718
43.25064,76.87803,27.4,0.8,0.90,1307.0,0.782
43.18596,76.82835,24.2,0.65,1.33,234.5,0.348
43.21929,76.80206,22.2,0.65,1.38,204.1,0.301
43.28046,76.82411,17.4,0.5,1.14,250.5,0.136
43.24331,76.88020,27.4,0.8,0.87,1312.1,0.787
43.19154,76.80173,27.4,0.8,1.40,236.6,0.519
43.24868,76.89695,27.4,0.8,1.04,1226.5,0.746
43.17632,76.86852,22.2,0.65,1.23,1237.1,0.501
43.31211,76.84090,17.9,0.5,0.74,182.4,0.197
43.24302,76.81704,28.2,0.8,1.27,217.7,0.551
43.24722,76.80114,22.2,0.65,1.14,208.3,0.339
43.23160,76.93108,27.4,0.8,1.31,1242.5,0.705
43.33859,76.89890,17.2,0.5,1.34,978.3,0.227
43.25720,76.81580,22.4,0.65,1.14,198.7,0.340
43.32804,77.02331,22.3,0.65,0.39,897.3,0.578
43.21319,76.84723,27.4,0.8,1.15,1349.2,0.749
43.20452,76.82132,22.2,0.65,1.56,233.5,0.277
43.31033,76.83934,22.5,0.65,0.74,182.4,0.403
43.34033,76.91316,27.6,0.8,1.35,1114.2,0.680
43.25114,76.80824,22.2,0.65,1.14,208.6,0.339
43.21220,76.82739,22.2,0.65,1.56,278.4,0.284
43.21637,76.77583,22.2,0.65,1.20,166.2,0.323
43.31037,76.87489,28.4,0.8,0.94,1121.2,0.761
