lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
41.31732,69.29862,31.4,0.8,1.27,185.7,0.501
41.34158,69.33356,33.9,0.8,1.12,246.8,0.564
41.35980,69.38953,27.8,0.65,1.59,247.1,0.280
41.34838,69.35171,32.1,0.8,1.32,226.5,0.509
41.31375,69.28288,32.2,0.8,1.27,192.8,0.515
41.31109,69.29276,31.0,0.8,1.27,182.1,0.494
41.32342,69.31796,33.3,0.8,1.16,212.5,0.547
41.32021,69.34735,30.3,0.8,1.19,238.0,0.495
41.33121,69.37259,31.4,0.8,0.96,217.2,0.541
41.32563,69.30299,30.5,0.8,1.16,184.0,0.499
41.31795,69.32198,31.0,0.8,1.16,231.5,0.510
41.34920,69.34312,30.5,0.8,1.19,232.8,0.498
41.34646,69.36613,30.7,0.8,1.32,233.7,0.486
41.33532,69.36037,30.3,0.8,1.39,233.5,0.470
41.33685,69.37317,19.1,0.5,0.96,216.6,0.084
41.35946,69.39224,19.6,0.5,0.85,247.1,0.108
41.35461,69.38813,30.5,0.8,1.59,247.1,0.450
41.32194,69.35527,24.8,0.65,1.19,228.1,0.278
41.35846,69.36216,30.6,0.8,1.32,245.4,0.484
41.33105,69.32755,31.1,0.8,1.12,240.4,0.517
41.35476,69.38329,30.7,0.8,1.59,261.3,0.454
41.34840,69.38626,30.3,0.8,1.59,229.4,0.446
41.34226,69.38874,30.3,0.8,0.96,198.1,0.522
41.33707,69.37404,24.9,0.65,0.96,216.6,0.307
41.33567,69.35325,19.0,0.5,1.39,233.5,0.030
41.34361,69.36194,32.4,0.8,1.39,225.1,0.504
41.33957,69.23244,33.4,0.8,1.03,183.3,0.563
41.36863,69.20132,24.7,0.65,1.22,186.4,0.270
41.37272,69.23817,24.6,0.65,0.81,182.3,0.318
41.33585,69.24762,30.5,0.8,1.07,189.7,0.511
41.33592,69.23344,33.9,0.8,1.03,191.3,0.572
41.27407,69.22173,30.3,0.8,1.13,190.4,0.500
41.35826,69.18383,30.3,0.8,1.32,179.3,0.476
41.33616,69.21860,25.5,0.65,1.03,169.8,0.305
41.33923,69.22323,32.9,0.8,1.03,175.7,0.555
41.34176,69.24999,31.9,0.8,1.07,191.2,0.535
41.35479,69.23793,30.4,0.8,1.19,182.2,0.494
41.36854,69.19868,30.4,0.8,1.22,186.4,0.490
41.33699,69.24917,30.7,0.8,1.07,191.2,0.515
41.34642,69.24525,31.6,0.8,1.19,189.2,0.514
41.36396,69.23158,30.4,0.8,1.38,177.3,0.471
41.35280,69.23260,30.6,0.8,1.48,182.4,0.462
41.35977,69.22121,30.7,0.8,1.48,173.1,0.463
41.35994,69.22003,30.5,0.8,1.48,173.1,0.460
41.36985,69.21877,30.4,0.8,1.38,187.6,0.471
41.34493,69.22287,30.5,0.8,1.48,172.7,0.460
41.35767,69.23353,30.4,0.8,1.48,178.8,0.458
41.36970,69.20869,24.6,0.65,1.22,190.4,0.268
41.37009,69.21076,30.3,0.8,1.22,190.4,0.489
41.34291,69.20760,26.1,0.65,1.22,158.8,0.292
41.35556,69.19138,30.4,0.8,1.32,174.0,0.478
41.35289,69.18481,30.7,0.8,1.32,179.3,0.483
41.36547,69.19156,30.4,0.8,1.10,186.8,0.505
41.33226,69.22387,31.2,0.8,1.03,185.2,0.527
41.38461,69.21991,25.0,0.65,1.11,205.4,0.289
41.35573,69.21844,30.4,0.8,1.48,175.1,0.458
41.34310,69.25071,30.8,0.8,1.07,191.2,0.516
41.36398,69.19308,30.3,0.8,1.22,186.8,0.488
41.36318,69.19750,19.0,0.5,1.22,186.4,0.049
41.34464,69.21716,31.0,0.8,1.48,169.1,0.468
41.33536,69.24840,30.6,0.8,1.07,189.7,0.513
41.22234,69.21693,30.6,0.8,1.00,166.7,0.520
41.21752,69.26434,30.4,0.8,0.93,3722.1,0.678
41.21009,69.22444,30.9,0.8,1.08,4346.4,0.695
41.21282,69.23337,31.3,0.8,1.00,2974.0,0.652
41.21885,69.21581,24.7,0.65,1.00,177.0,0.296
41.22657,69.21137,24.7,0.65,1.03,166.7,0.292
41.22867,69.20947,24.9,0.65,1.05,160.7,0.293
41.21146,69.23195,32.5,0.8,1.08,2974.0,0.663
41.23195,69.20138,30.7,0.8,1.05,167.9,0.515
41.21695,69.24140,31.2,0.8,1.08,3818.2,0.677
41.25957,69.25684,32.5,0.8,1.05,163.3,0.545
41.20095,69.25057,30.3,0.8,0.96,4213.0,0.694
41.24760,69.29112,30.7,0.8,1.01,166.3,0.520
41.24733,69.22485,24.9,0.65,1.20,179.5,0.275
41.24724,69.28484,30.8,0.8,1.01,154.2,0.521
41.24663,69.25727,19.5,0.5,1.05,163.3,0.077
41.24759,69.28818,30.7,0.8,1.01,166.3,0.520
41.22100,69.21744,30.5,0.8,1.00,166.7,0.518
41.20770,69.22488,33.2,0.8,1.08,4346.4,0.733
41.22189,69.21418,30.4,0.8,1.00,166.7,0.517
41.21762,69.21864,30.4,0.8,1.00,177.0,0.517
41.21112,69.19886,24.7,0.65,1.23,138.4,0.266
41.31593,69.18068,30.7,0.8,1.41,171.2,0.472
41.29142,69.15828,30.4,0.8,1.25,189.1,0.487
41.31516,69.17394,30.5,0.8,1.41,164.0,0.468
41.28657,69.17678,30.5,0.8,1.03,175.9,0.515
41.29360,69.18921,30.7,0.8,1.03,176.0,0.518
41.27943,69.18681,24.7,0.65,1.03,180.4,0.293
41.32106,69.17344,30.3,0.8,1.41,164.2,0.465
41.28341,69.17059,19.0,0.5,1.03,165.3,0.071
41.30680,69.18690,30.4,0.8,1.10,188.6,0.505
41.32325,69.18023,30.3,0.8,1.41,166.4,0.465
41.27673,69.17396,30.3,0.8,1.36,168.3,0.471
41.32483,69.16861,30.3,0.8,0.99,164.9,0.516
41.31534,69.16044,30.5,0.8,0.99,169.3,0.519
41.30442,69.15536,32.5,0.8,0.91,176.6,0.563
41.30785,69.16782,33.3,0.8,0.91,172.5,0.576
41.29855,69.16454,30.4,0.8,0.91,187.8,0.528
41.28219,69.16393,30.3,0.8,1.25,179.6,0.485
41.29720,69.15958,30.3,0.8,0.91,188.3,0.526
41.26898,69.15552,30.4,0.8,1.15,165.5,0.498
41.29559,69.18079,19.2,0.5,1.10,180.6,0.067
41.28922,69.17671,19.2,0.5,1.03,175.9,0.075
41.32218,69.16142,30.8,0.8,0.99,164.9,0.524
41.29259,69.17033,24.7,0.65,1.03,175.9,0.292
41.31755,69.16470,30.4,0.8,0.99,159.2,0.517
41.27239,69.14115,24.8,0.65,0.76,168.6,0.328
41.28003,69.18547,19.0,0.5,1.03,166.8,0.071
41.27779,69.16294,30.3,0.8,1.15,169.2,0.496
41.26540,69.15001,31.2,0.8,1.15,166.8,0.511
41.26845,69.15556,30.4,0.8,1.15,165.5,0.498
41.28190,69.13887,30.4,0.8,0.99,183.8,0.519
41.29130,69.14477,30.6,0.8,0.99,187.7,0.522
41.29638,69.12489,30.3,0.8,0.98,161.6,0.517
41.29465,69.21288,25.0,0.65,0.97,185.5,0.305
41.31005,69.24446,32.0,0.8,1.33,188.2,0.504
41.26818,69.18397,19.0,0.5,1.36,178.4,0.032
41.28286,69.22678,30.4,0.8,1.17,193.2,0.497
41.26609,69.19431,30.6,0.8,0.94,183.3,0.528
41.26001,69.15461,31.0,0.8,0.83,159.0,0.547
41.29915,69.22779,31.3,0.8,0.99,182.4,0.534
41.26754,69.20412,31.0,0.8,0.94,186.7,0.535
41.27618,69.21792,30.3,0.8,1.13,192.6,0.500
41.28531,69.22226,24.9,0.65,1.17,193.2,0.280
41.27848,69.22266,30.3,0.8,1.17,193.2,0.495
41.27470,69.20030,31.3,0.8,0.94,185.3,0.540
41.28697,69.22492,30.7,0.8,1.17,185.6,0.502
41.29320,69.22060,33.4,0.8,1.17,185.6,0.547
41.28812,69.21303,30.6,0.8,1.05,189.1,0.514
41.29540,69.20783,30.9,0.8,0.97,186.0,0.529
41.28865,69.21332,24.9,0.65,1.05,189.1,0.294
41.29181,69.20400,30.5,0.8,1.05,189.0,0.512
41.28490,69.20160,24.7,0.65,1.05,182.8,0.290
41.26405,69.21191,30.5,0.8,0.94,188.9,0.527
41.27470,69.20030,31.3,0.8,0.94,185.3,0.540
41.28342,69.19629,20.0,0.5,1.05,182.8,0.086
41.26312,69.18327,30.3,0.8,1.36,178.4,0.471
41.25146,69.20218,30.8,0.8,1.33,182.7,0.484
41.26294,69.18343,30.3,0.8,1.36,178.4,0.471
41.26814,69.17485,30.3,0.8,1.36,164.4,0.471
41.26167,69.21175,30.8,0.8,0.94,188.9,0.532
41.23821,69.17231,30.8,0.8,1.17,167.1,0.502
41.26133,69.15739,24.7,0.65,1.15,165.5,0.277
41.26632,69.16323,30.3,0.8,1.15,165.3,0.496
41.25944,69.20327,30.4,0.8,1.33,183.8,0.477
41.28596,69.22888,31.3,0.8,1.17,190.7,0.512
41.31621,69.19792,30.8,0.8,1.06,184.3,0.516
41.30940,69.22079,30.3,0.8,0.99,184.4,0.517
41.32703,69.25780,31.1,0.8,0.99,186.9,0.531
41.33939,69.26367,30.6,0.8,1.11,187.0,0.507
41.30874,69.23511,25.2,0.65,0.99,169.8,0.306
41.33527,69.19916,31.1,0.8,1.22,158.4,0.501
41.32349,69.20692,32.0,0.8,1.06,181.8,0.536
41.32663,69.22608,31.8,0.8,0.90,195.4,0.553
41.32614,69.24365,32.2,0.8,0.99,184.7,0.549
41.31347,69.23246,31.2,0.8,0.90,185.0,0.543
41.32283,69.24758,32.2,0.8,0.99,190.5,0.550
41.32009,69.22903,31.7,0.8,0.90,193.3,0.551
41.30841,69.23611,31.5,0.8,1.33,169.6,0.494
41.31318,69.22776,30.5,0.8,0.90,185.0,0.531
41.33358,69.20504,31.2,0.8,1.22,167.2,0.503
41.32967,69.22068,31.8,0.8,1.03,185.2,0.537
41.33055,69.20296,30.9,0.8,1.22,167.2,0.498
41.32633,69.26081,31.4,0.8,1.21,186.9,0.508
41.33133,69.21413,31.6,0.8,1.03,178.8,0.533
41.31256,69.19818,30.6,0.8,1.06,184.3,0.513
41.31565,69.20885,32.4,0.8,1.06,195.7,0.544
41.30549,69.21184,30.8,0.8,0.97,189.9,0.528
41.31646,69.20692,31.1,0.8,1.06,195.7,0.522
41.34175,69.20042,30.6,0.8,1.22,157.0,0.492
41.30315,69.20710,31.8,0.8,0.97,186.4,0.544
41.31376,69.20330,30.5,0.8,1.06,195.7,0.512
41.32648,69.19909,30.8,0.8,1.06,175.6,0.516
41.30290,69.21689,30.4,0.8,0.99,189.9,0.519
41.33317,69.16836,30.6,0.8,0.99,171.9,0.522
41.33796,69.17050,30.5,0.8,1.25,172.3,0.488
41.33953,69.17911,30.3,0.8,1.25,165.7,0.485
41.34575,69.17551,30.8,0.8,1.32,166.7,0.484
41.34261,69.16906,24.9,0.65,0.99,178.2,0.301
41.33977,69.18095,24.6,0.65,1.25,165.7,0.264
41.31782,69.23437,31.4,0.8,0.90,185.0,0.546
41.32359,69.25658,32.7,0.8,0.99,186.9,0.558
41.31988,69.27702,31.3,0.8,1.21,186.5,0.506
41.33020,69.27841,30.7,0.8,1.11,185.8,0.509
41.36960,69.29950,30.5,0.8,0.84,236.0,0.540
41.31843,69.28861,31.3,0.8,1.27,187.6,0.500
41.32581,69.28802,30.6,0.8,1.27,187.7,0.488
41.32925,69.28806,30.7,0.8,1.13,188.2,0.506
41.35910,69.28360,30.8,0.8,0.87,205.1,0.540
41.35488,69.30171,30.4,0.8,0.87,225.1,0.535
41.35240,69.28613,31.8,0.8,0.87,190.4,0.557
41.33588,69.28568,33.1,0.8,1.13,185.8,0.546
41.38084,69.27350,24.7,0.65,1.57,233.6,0.229
41.32478,69.27888,31.0,0.8,1.21,189.1,0.502
41.37023,69.26850,30.3,0.8,1.55,230.3,0.451
41.34842,69.27417,30.3,0.8,1.11,189.5,0.503
41.37919,69.30496,30.4,0.8,1.02,228.9,0.517
41.35360,69.33504,30.4,0.8,1.19,253.2,0.497
41.34350,69.30107,30.3,0.8,1.13,192.5,0.500
41.35197,69.29836,30.3,0.8,0.87,198.3,0.532
41.36596,69.31092,30.3,0.8,1.41,228.3,0.467
41.34933,69.26646,31.2,0.8,1.11,192.9,0.518
41.36520,69.27638,30.4,0.8,1.55,228.5,0.452
41.37060,69.28365,25.3,0.65,0.84,242.6,0.328
41.36971,69.28965,31.0,0.8,0.84,236.0,0.549
41.36734,69.29771,30.7,0.8,0.84,233.7,0.543
41.37813,69.30197,30.5,0.8,1.02,229.2,0.519
41.37025,69.30641,30.3,0.8,1.41,234.3,0.467
41.37563,69.31612,30.5,0.8,1.41,243.9,0.471
41.37472,69.31513,30.4,0.8,1.41,243.9,0.469
41.37724,69.27737,30.3,0.8,1.57,247.7,0.449
41.37249,69.28061,30.4,0.8,0.84,242.6,0.539
41.37917,69.28472,30.7,0.8,1.05,235.7,0.518
41.37585,69.28659,32.1,0.8,0.84,236.0,0.567
41.35753,69.28954,33.4,0.8,0.87,214.7,0.584
41.37927,69.30388,30.4,0.8,1.02,228.9,0.517
41.36698,69.32400,31.1,0.8,1.28,240.4,0.497
41.36930,69.31889,30.5,0.8,1.41,228.3,0.471
41.36393,69.27881,30.7,0.8,1.55,241.1,0.458
41.39154,69.25281,30.4,0.8,1.21,206.9,0.493
41.37762,69.26291,24.6,0.65,1.57,230.3,0.227
41.35735,69.32651,30.3,0.8,1.19,237.0,0.495
41.35839,69.28294,30.7,0.8,0.87,205.1,0.539
41.26950,69.23470,32.8,0.8,1.13,197.1,0.542
41.27404,69.26331,30.7,0.8,1.25,174.8,0.491
41.29398,69.24942,32.3,0.8,1.28,192.8,0.515
41.28536,69.25140,32.0,0.8,1.28,188.6,0.510
41.29909,69.25785,30.4,0.8,1.07,188.7,0.509
41.27357,69.22997,30.4,0.8,1.13,197.1,0.502
