priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
144,236-sonli umumiy o'rta ta'lim maktabi maktabi,41.32218,69.16142,307,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,0.99,164.9,0.524,121,no,no
145,166-sonli umumiy o'rta ta'lim maktabi,41.29435,69.34177,746,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.96,232.3,0.523,295,no,no
146,279-sonli umumiy o'rta ta'lim maktabi,41.34226,69.38874,977,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.96,198.1,0.522,242,no,no
147,312-sonli umumiy o'rta ta'lim maktabi,41.29130,69.14477,424,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,0.99,187.7,0.522,161,no,no
148,167 - sonli umumiy o'rta ta'lim maktabi,41.31646,69.20692,255,pre-1992 (Soviet-era),0.8,31.1,48.5,YES,6.2,1.06,195.7,0.522,86,no,no
149,262 - sonli umumiy o'rta ta'lim maktabi,41.33317,69.16836,427,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,0.99,171.9,0.522,160,no,no
150,268-sonli umumiy o'rta ta'lim maktabi,41.24724,69.28484,323,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.01,154.2,0.521,122,no,no
151,335-sonli umumiy o`rta ta'lim maktabi,41.17358,69.29476,51,1992-2010,0.65,26.9,41.9,YES,5.4,0.7,3673.4,0.521,325,no,no
152,266-sonli umumiy o'rta ta'lim maktabi,41.24760,69.29112,364,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.01,166.3,0.52,139,no,no
153,301-sonli umumiy o'rta ta'lim maktabi,41.22234,69.21693,424,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.0,166.7,0.52,159,no,no
154,277-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.24759,69.28818,361,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.01,166.3,0.52,135,no,no
155,"230,Tashkent,Yashnobod",41.31629,69.31391,156,pre-1992 (Soviet-era),0.8,31.7,49.4,YES,6.3,1.16,211.3,0.52,56,no,no
156,338-sonli umumiy o'rta ta'lim maktabi,41.32340,69.36110,149,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,1.19,219.4,0.52,53,no,no
157,247-sonli umumiy o`rta ta`lim maktabi,41.37813,69.30197,463,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.02,229.2,0.519,175,no,no
158,254 - sonli umumiy o'rta ta'lim maktabi,41.30290,69.21689,531,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.99,189.9,0.519,204,no,no
159,297-sonli umumiy o'rta ta'lim maktabi,41.28190,69.13887,734,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.99,183.8,0.519,193,no,no
160,116-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.31534,69.16044,463,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,0.99,169.3,0.519,186,no,no
161,62-sonli umumiy o'rta ta'lim maktabi,41.29360,69.18921,369,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.03,176.0,0.518,133,no,no
162,284-sonli umumiy o'rta ta'lim maktabi,41.22100,69.21744,449,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.0,166.7,0.518,183,no,no
163,150-sonli umumiy o`rta ta`lim maktabi,41.34933,69.26646,232,pre-1992 (Soviet-era),0.8,31.2,48.7,YES,6.2,1.11,192.9,0.518,82,no,no
164,265-sonli umumiy o`rta ta`lim maktabi,41.37917,69.28472,353,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.05,235.7,0.518,130,no,no
165,97-sonli umumiy o`rta ta`lim maktabi,41.37919,69.30496,557,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.02,228.9,0.517,206,no,no
166,225-sonli umumiy o'rta ta'lim maktabi,41.33105,69.32755,242,pre-1992 (Soviet-era),0.8,31.1,48.5,YES,6.2,1.12,240.4,0.517,84,no,no
167,13-sonli umumiy o'rta ta'lim maktabi,41.30940,69.22079,1035,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.99,184.4,0.517,237,no,no
168,"245,Tashkent,Uchtepa",41.29638,69.12489,2134,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.98,161.6,0.517,306,no,no
169,273-sonli umumiy o`rta ta`lim maktabi,41.37927,69.30388,528,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.02,228.9,0.517,229,no,no
170,245-sonli umumiy o'rta ta'lim maktabi,41.31755,69.16470,727,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,0.99,159.2,0.517,191,no,no
171,300-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.22189,69.21418,654,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.0,166.7,0.517,198,no,no
172,"284,Tashkent,Sergeli",41.21762,69.21864,518,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.0,177.0,0.517,197,no,no
173,Toshkent viloyati Zangiota tumani  MMTB  tasarrufidagi  42-sonli umumiy o'rta ta'lim maktabi,41.17923,69.13334,257,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,1.09,178.9,0.516,100,no,no
174,192 - sonli umumiy o'rta ta'lim maktabi,41.32648,69.19909,316,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.06,175.6,0.516,117,no,no
175,"298,Tashkent,Olmazor",41.34310,69.25071,304,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.07,191.2,0.516,108,no,no
176,32-sonli umumiy o’rta ta’lim maktabi,41.23559,69.19081,170,pre-1992 (Soviet-era),0.8,31.6,49.3,YES,6.3,1.17,171.5,0.516,57,no,no
177,9-sonli umumiy o'rta ta'lim maktabi,41.33078,69.15134,776,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.99,158.5,0.516,308,no,no
178,109-sonli umumiy o'rta ta'lim maktabi,41.32483,69.16861,789,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.99,164.9,0.516,315,no,no
179,10-sonli umumiy o'rta ta'lim maktabi,41.31621,69.19792,323,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.06,184.3,0.516,109,no,no
180,146-sonli umumiy o'rta ta'lim maktabi,41.33699,69.24917,365,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.07,191.2,0.515,131,no,no
181,44-sonli umumiy o'rta ta'lim maktabi,41.28657,69.17678,490,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.03,175.9,0.515,185,no,no
182,50-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.31375,69.28288,116,pre-1992 (Soviet-era),0.8,32.2,50.2,YES,6.4,1.27,192.8,0.515,35,no,no
183,76-sonli umumiy o'rta ta'lim maktabi,41.23195,69.20138,339,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.05,167.9,0.515,137,no,no
184,73-sonli umumiy o'rta ta'lim tarmoq maktabi,41.29398,69.24942,103,pre-1992 (Soviet-era),0.8,32.3,50.4,YES,6.5,1.28,192.8,0.515,33,no,no
185,159-sonli umumiy o'rta ta'lim maktabi,41.34642,69.24525,176,pre-1992 (Soviet-era),0.8,31.6,49.3,YES,6.3,1.19,189.2,0.514,58,no,no
186,178-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.28812,69.21303,378,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.05,189.1,0.514,162,no,no
187,349-sonli umumiy o'rta ta'lim maktabi,41.23602,69.23021,884,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.0,155.6,0.514,247,no,no
188,136 - sonli umumiy o'rta ta'lim maktabi,41.31256,69.19818,384,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.06,184.3,0.513,149,no,no
189,"102-MM,Tashkent,Olmazor",41.33536,69.24840,398,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.07,189.7,0.513,163,no,no
190,38-sonli umumiy o'rta ta'lim maktabi,41.20382,69.13955,1550,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.0,115.3,0.512,268,no,no
191,"201,Tashkent,Chilonzor",41.28596,69.22888,214,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,1.17,190.7,0.512,70,no,no
192,186 - sonli umumiy o'rta ta'lim maktabi,41.31376,69.20330,450,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.06,195.7,0.512,167,no,no
193,183-sonli umumiy o'rta ta'lim maktabi,41.29181,69.20400,465,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.05,189.0,0.512,184,no,no
194,295-sonli umumiy o'rta ta'lim maktabi,41.26540,69.15001,233,pre-1992 (Soviet-era),0.8,31.2,48.7,YES,6.2,1.15,166.8,0.511,78,no,no
195,22-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.33585,69.24762,483,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.07,189.7,0.511,177,no,no
196,161-sonli umumiy o'rta ta'lim maktabi,41.30104,69.30957,384,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.07,171.6,0.511,150,no,no
197,Zangiota tuman 22-sonli umumiy o'rta ta'lim maktabi,41.17244,69.20674,285,1992-2010,0.65,25.1,39.1,YES,5.0,0.14,2587.8,0.511,344,no,no
198,307-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.31027,69.32339,536,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.07,214.9,0.51,221,no,no
199,89-sonli umumiy o'rta ta'lim maktabi,41.28536,69.25140,130,pre-1992 (Soviet-era),0.8,32.0,49.9,YES,6.4,1.28,188.6,0.51,43,no,no
200,148-sonli umumiy o'rta ta'lim maktabi,41.31795,69.32198,274,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,1.16,231.5,0.51,96,no,no
201,15-sonli umumiy ta'lim maktabi,41.24325,69.14555,1447,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.04,151.5,0.509,248,no,no
202,49-sonli umumiy o'rta ta'lim maktabi,41.34838,69.35171,125,pre-1992 (Soviet-era),0.8,32.1,50.1,YES,6.4,1.32,226.5,0.509,38,no,no
203,9-sonli ixtisoslashtirilgan davlat umumta'lim maktabi,41.33020,69.27841,366,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.11,185.8,0.509,129,no,no
204,91-sonli ixtisoslashtrilgan davlat umumiy o'rta talim maktabi,41.29909,69.25785,670,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.07,188.7,0.509,215,no,no
205,275-sonli umumiy o'rta ta'lim maktabi,41.31800,69.35344,235,pre-1992 (Soviet-era),0.8,31.2,48.7,YES,6.2,1.19,194.0,0.509,81,no,no
206,2-sonli umumiy o'rta ta'lim maktabi,41.33152,69.13156,2377,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.04,129.9,0.508,271,no,no
207,115-sonli umumiy o'rta ta'lim maktabi,41.32633,69.26081,190,pre-1992 (Soviet-era),0.8,31.4,49.0,YES,6.3,1.21,186.9,0.508,64,no,no
208,175- umumiy o'rta ta'lim maktabii,41.27571,69.28693,1119,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.06,168.6,0.508,257,no,no
209,144-sonli umumiy o'rta ta'lim maktabi,41.28199,69.23656,138,pre-1992 (Soviet-era),0.8,31.9,49.7,YES,6.4,1.28,194.2,0.508,45,no,no
210,56-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.27725,69.29022,1250,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.06,168.6,0.508,235,no,no
211,154-sonli umumiy o'rta ta'lim maktabi,41.26863,69.29851,1126,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.06,165.6,0.508,256,no,no
212,152-sonli umumiy o'rta ta'lim maktabi,41.29857,69.35950,600,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.1,243.2,0.508,225,no,no
213,158-sonli umumiy o'rta ta'lim maktabi,41.27460,69.29539,1052,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.06,175.3,0.508,246,no,no
214,171-sonli ayrim fanlar chuqur o'qitiladigan sinflari mavjud umumiy o'rta ta'lim maktabi,41.32914,69.33672,474,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.12,243.2,0.507,187,no,no
215,20-sonli umumiy o'rta ta'lim maktabi,41.33939,69.26367,384,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.11,187.0,0.507,158,no,no
216,51-sonli ixtisoslashtirilgan davlat umumta'lim maktabi,41.32925,69.28806,361,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.13,188.2,0.506,142,no,no
217,5-sonli umumiy o‘rta ta`lim maktabi,41.31988,69.27702,217,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,1.21,186.5,0.506,71,no,no
218,278-sonli umumiy o'rta ta'lim maktabi,41.36547,69.19156,537,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.1,186.8,0.505,200,no,no
219,81-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.30680,69.18690,559,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.1,188.6,0.505,195,no,no
220,90-sonli umumiy o'rta ta'lim maktabi,41.31005,69.24446,132,pre-1992 (Soviet-era),0.8,32.0,49.9,YES,6.4,1.33,188.2,0.504,39,no,no
221,65-sonli umumiy o'rta ta'lim maktabi,41.28464,69.28976,781,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.09,174.0,0.504,245,no,no
222,294-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.28182,69.28987,944,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.09,174.0,0.504,234,no,no
223,"343,Tashkent,M.Ulug'bek",41.34361,69.36194,100,pre-1992 (Soviet-era),0.8,32.4,50.5,YES,6.5,1.39,225.1,0.504,29,no,no
224,96-sonli umumiy o`rta ta`lim maktabi,41.34842,69.27417,796,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.11,189.5,0.503,253,no,no
225,92-sonli umumiy o'rta ta'lim maktabi,41.33358,69.20504,224,pre-1992 (Soviet-era),0.8,31.2,48.7,YES,6.2,1.22,167.2,0.503,80,no,no
226,270-sonli umumiy o'rta ta'lim maktabi,41.23821,69.17231,319,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.17,167.1,0.502,110,no,no
227,100-sonli umumiy o'rta ta'lim maktabi,41.27357,69.22997,664,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.13,197.1,0.502,228,no,no
228,80-sonli umumiy o`rta ta`lim maktabi,41.32478,69.27888,272,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,1.21,189.1,0.502,95,no,no
229,168-sonli umumiy o'rta ta'lim maktabi,41.28697,69.22492,338,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.17,185.6,0.502,136,no,no
230,39-sonli umumiy o'rta ta'lim maktabi,41.33527,69.19916,255,pre-1992 (Soviet-era),0.8,31.1,48.5,YES,6.2,1.22,158.4,0.501,83,no,no
231,18-sonli umumiy o'rta ta'lim maktabi,41.31732,69.29862,195,pre-1992 (Soviet-era),0.8,31.4,49.0,YES,6.3,1.27,185.7,0.501,62,no,no
232,212-sonli umumiy o'rta ta'lim maktabi,41.25365,69.34691,685,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.15,234.1,0.501,226,no,no
233,227-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.27610,69.35425,612,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.15,230.1,0.501,227,no,no
234,25-sonli umumiy o'rta ta'lim maktabi,41.36015,69.34483,408,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.19,229.5,0.5,147,no,no
235,138-sonli umumiy o'rta ta'lim maktabi,41.27618,69.21792,778,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.13,192.6,0.5,305,no,no
236,105-sonli umumiy o`rta ta`lim maktabi,41.34350,69.30107,1101,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.13,192.5,0.5,286,no,no
237,17-sonli ixtisoslashtirilgan davlat umumta'lim maktabi,41.31843,69.28861,212,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,1.27,187.6,0.5,74,no,no
238,28-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.27407,69.22173,885,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.13,190.4,0.5,299,no,no
239,58-sonli umumiy o'rta ta'lim maktabi,41.16871,69.21909,269,1992-2010,0.65,25.2,39.3,YES,5.0,0.64,3680.3,0.499,340,no,no
240,142-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.32563,69.30299,509,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.16,184.0,0.499,164,no,no
241,230-sonli umumiy o'rta ta'lim maktabi,41.26600,69.35503,776,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.15,240.5,0.499,288,no,no
242,198-sonli umumiy o'rta ta'lim maktabi,41.27169,69.34988,1036,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.15,228.5,0.499,294,no,no
243,187-sonli umumiy o'rta ta'lim maktabi,41.34920,69.34312,477,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.19,232.8,0.498,168,no,no
244,113-sonli umumiy o'rta ta'lim maktabi,41.33055,69.20296,294,pre-1992 (Soviet-era),0.8,30.9,48.2,YES,6.2,1.22,167.2,0.498,106,no,no
245,118-sonli umumiy o'rta ta'lim maktabi,41.28815,69.26018,214,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,1.28,183.4,0.498,72,no,no
246,203-sonli umumiy o'rta ta'lim maktabi,41.26898,69.15552,709,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.15,165.5,0.498,188,no,no
247,296-sonli umumiy o'rta ta'lim maktabi,41.26845,69.15556,710,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.15,165.5,0.498,192,no,no
248,274-sonli umumiy o`rta ta`lim maktabi,41.36698,69.32400,247,pre-1992 (Soviet-era),0.8,31.1,48.5,YES,6.2,1.28,240.4,0.497,88,no,no
249,103-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.28286,69.22678,591,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.17,193.2,0.497,194,no,no
250,98-sonli umumiy o`rta ta`lim maktabi,41.35360,69.33504,661,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.19,253.2,0.497,208,no,no
251,287-sonli umumiy o'rta ta'lim maktabi,41.27779,69.16294,1318,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.15,169.2,0.496,307,no,no
252,281-sonli umumiy o'rta ta'lim maktabi,41.26632,69.16323,1276,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.15,165.3,0.496,238,no,no
253,216-sonli umumiy o'rta ta'lim maktabi,41.25940,69.32063,153,pre-1992 (Soviet-era),0.8,31.8,49.6,YES,6.4,1.36,178.9,0.496,46,no,no
254,163-sonli umumiy o'rta ta'lim maktabi,41.27848,69.22266,918,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.17,193.2,0.495,304,no,no
255,88-sonli umumiy o`rta ta`lim maktabi,41.35735,69.32651,848,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.19,237.0,0.495,284,no,no
256,12-sonli umumiy o'rta ta'lim maktabi,41.33561,69.11148,4115,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.16,151.1,0.495,309,no,no
257,112-sonli xorijiy tillarni chuqur o'qitishga ixtisoslashtirilgan umumta'lim maktabi,41.32021,69.34735,745,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.19,238.0,0.495,258,no,no
258,84-sonli umumiy o'rta ta'lim maktabi,41.30841,69.23611,177,pre-1992 (Soviet-era),0.8,31.5,49.1,YES,6.3,1.33,169.6,0.494,60,no,no
259,83-sonli umumiy o'rta ta'lim maktabi,41.28215,69.27280,244,pre-1992 (Soviet-era),0.8,31.1,48.5,YES,6.2,1.28,179.3,0.494,89,no,no
260,133-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.35479,69.23793,668,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.19,182.2,0.494,210,no,no
261,64-sonli umumiy o'rta ta'lim maktabi,41.31109,69.29276,276,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,1.27,182.1,0.494,94,no,no
262,291-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.25324,69.22359,527,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.2,179.5,0.493,207,no,no
263,313-sonli umumiy o`rta ta`lim maktabi,41.39154,69.25281,704,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.21,206.9,0.493,230,no,no
264,169 - sonli umumiy o'rta ta'lim maktabi,41.34175,69.20042,375,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.22,157.0,0.492,148,no,no
265,48-sonli umumta'lim maktabi,41.27404,69.26331,359,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.25,174.8,0.491,140,no,no
266,321-sonli umumiy o'rta ta'lim maktabi,41.27451,69.26303,354,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.25,174.8,0.491,127,no,no
267,134-sonli umumiy o'rta ta'lim maktabi,41.36854,69.19868,660,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.22,186.4,0.49,213,no,no
268,46-sonli umumiy o'rta ta'lim maktabi,41.35648,69.35407,271,pre-1992 (Soviet-era),0.8,31.0,48.3,YES,6.2,1.32,222.3,0.49,93,no,no
269,242-sonli umumiy o'rta ta'lim maktabi,41.37009,69.21076,1176,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.22,190.4,0.489,298,no,no
270,135-sonli umumiy o'rta ta'lim maktabi,41.28917,69.24714,371,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.28,192.8,0.488,124,no,no
271,276 - sonli ixtisoslashtirilgan davlat umumta'lim maktabi,41.33796,69.17050,509,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.25,172.3,0.488,176,no,no
272,43-sonli umumiy o`rta ta`lim maktabi,41.32581,69.28802,417,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.27,187.7,0.488,155,no,no
273,221-sonli umumiy o'rta ta'lim maktabi,41.35772,69.36336,309,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.32,245.4,0.488,112,no,no
274,147-sonli umumiy o'rta ta'lim maktabi,41.27385,69.27565,454,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.25,172.9,0.488,169,no,no
275,"315,Tashkent,Olmazor",41.36398,69.19308,746,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.22,186.8,0.488,260,no,no
276,14-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.29142,69.15828,686,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.25,189.1,0.487,196,no,no
277,207-sonli umumiy o'rta ta'lim maktabi,41.34646,69.36613,357,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.32,233.7,0.486,144,no,no
278,299 - sonli umumiy o'rta ta'lim maktabi,41.33953,69.17911,1061,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.25,165.7,0.485,244,no,no
279,194-sonli umumiy o'rta ta'lim maktabi,41.28219,69.16393,1280,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.25,179.6,0.485,300,no,no
280,223-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.35846,69.36216,383,pre-1992 (Soviet-era),0.8,30.6,47.7,YES,6.1,1.32,245.4,0.484,153,no,no
281,201-sonli umumiy o'rta ta'lim maktabi,41.25146,69.20218,309,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.33,182.7,0.484,113,no,no
282,314 - sonli umumiy o'rta ta'lim maktabi,41.34575,69.17551,314,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.32,166.7,0.484,114,no,no
283,30-sonli umumiy o'rta ta'lim maktabi,41.39301,69.35281,2951,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.27,231.6,0.484,280,no,no
284,5-sonli umumiy o'rta ta'lim maktabi,41.38411,69.35812,3112,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.27,218.5,0.484,273,no,no
285,261-sonli umumiy o'rta ta'lim maktabi,41.35289,69.18481,340,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.32,179.3,0.483,132,no,no
286,214-sonli umumiy o'rta ta'lim maktabi,41.25726,69.31535,332,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.36,191.0,0.48,118,no,no
287,218-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.24662,69.31452,310,pre-1992 (Soviet-era),0.8,30.8,48.0,YES,6.2,1.36,191.0,0.48,120,no,no
288,249-sonli umumiy o'rta ta'lim maktabi,41.35556,69.19138,644,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.32,174.0,0.478,199,no,no
289,357-sonli umumiy o'rta ta'lim maktabi,41.25944,69.20327,516,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.33,183.8,0.477,201,no,no
290,29-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.35826,69.18383,734,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.32,179.3,0.476,297,no,no
291,263-sonli umumiy o'rta ta'lim maktabi,41.25054,69.30908,694,pre-1992 (Soviet-era),0.8,30.4,47.4,YES,6.1,1.36,192.6,0.473,205,no,no
292,4-sonli umumiy o'rta ta'lim maktabi,41.31593,69.18068,350,pre-1992 (Soviet-era),0.8,30.7,47.9,YES,6.1,1.41,171.2,0.472,134,no,no
293,217-sonli umumiy o'rta ta'lim maktabi,41.26814,69.17485,1837,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.36,164.4,0.471,241,no,no
294,202-sonli umumiy o'rta ta'lim maktabi,41.26294,69.18343,916,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.36,178.4,0.471,240,no,no
295,107-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.27673,69.17396,1473,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.36,168.3,0.471,236,no,no
296,200-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.26312,69.18327,940,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,1.36,178.4,0.471,239,no,no
297,288-sonli umumiy o`rta ta`lim maktabi,41.36930,69.31889,449,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.41,228.3,0.471,173,no,no
