priority_rank,school_name,lat,lon,dist_to_major_road_m,building_era,infiltration_factor,classroom_pm25_annual,classroom_pm25_winter,exceeds_uz_national_mac_35_in_winter,x_who_guideline,neighbourhood_rwi,children_under20_nearby,injustice_index,exposure_only_rank,in_top_43,enters_top_43_via_equity_only
34,10-sonli ayrim fanlar chuqur o‘qitiladigan sinflari mavjud umumiy o‘rta ta’lim maktabi,41.15924,69.11429,238,pre-1992 (Soviet-era),0.8,31.1,48.5,YES,6.2,0.59,163.8,0.578,87,YES,YES
35,348-sonli umumiy o'rta ta'lim maktabi,41.21369,69.34027,457,pre-1992 (Soviet-era),0.8,30.5,47.6,YES,6.1,1.07,1725.5,0.577,171,YES,YES
36,129-sonli umumiy o'rta ta'lim maktabi,41.30785,69.16782,43,pre-1992 (Soviet-era),0.8,33.3,51.9,YES,6.7,0.91,172.5,0.576,11,YES,no
37,19-sonli ayrim fanlar chuqur o‘qitiladigan sinflari mavjud umumiy o‘rta ta’lim maktab,41.25578,69.42922,859,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.52,198.3,0.575,289,YES,YES
38,156-sonli umumiy o'rta ta'lim maktabi,41.26689,69.31699,207,pre-1992 (Soviet-era),0.8,31.3,48.8,YES,6.3,0.67,191.0,0.574,73,YES,YES
39,27-sonli umumiy o'rta ta'lim maktabi,41.19954,69.15912,34,pre-1992 (Soviet-era),0.8,33.5,52.2,YES,6.7,0.96,143.4,0.573,4,YES,no
40,"226,Tashkent,Yashnobod",41.27912,69.30875,96,pre-1992 (Soviet-era),0.8,32.4,50.5,YES,6.5,0.82,174.8,0.573,28,YES,no
41,24-sonli ixtisoslashtirilgan davlat umumta’lim maktabi,41.33592,69.23344,18,pre-1992 (Soviet-era),0.8,33.9,52.9,YES,6.8,1.03,191.3,0.572,1,YES,no
42,7-sonli umumiy o'rta ta'lim maktabi,41.39106,69.39907,2214,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.57,178.0,0.568,275,YES,YES
43,341-sonli umumiy o'rta ta'lim maktabi,41.28968,69.39062,2572,pre-1992 (Soviet-era),0.8,30.3,47.2,YES,6.1,0.58,187.4,0.567,249,YES,YES
