lat,lon,indoor_pm25,infiltration,rwi,child_u20,injustice_index
37.94656,58.39922,18.4,0.8,1.05,2494.2,0.687
37.90355,58.37010,18.5,0.8,1.45,2789.1,0.644
37.91368,58.39391,18.6,0.8,1.07,2925.3,0.724
37.90746,58.38437,18.7,0.8,1.19,2911.2,0.705
37.92104,58.35284,19.3,0.8,0.68,2927.7,0.809
37.95664,58.36838,16.5,0.65,0.99,2274.3,0.510
37.95339,58.40773,18.7,0.8,1.19,2783.8,0.694
37.89272,58.40264,15.3,0.65,1.19,2879.1,0.497
37.89267,58.40985,15.3,0.65,0.74,2808.7,0.571
37.88762,58.40792,14.8,0.65,0.22,2380.7,0.614
37.88759,58.40977,14.8,0.65,0.22,1860.4,0.570
38.00742,58.39693,15.0,0.65,0.23,177.2,0.434
37.97892,58.33000,14.9,0.65,0.69,144.4,0.347
37.97644,58.32772,14.8,0.65,0.88,144.4,0.312
37.94338,58.35284,18.2,0.8,0.71,2424.9,0.736
38.02105,58.26284,14.9,0.65,0.63,157.3,0.358
38.02589,58.26292,14.8,0.65,0.63,173.6,0.357
38.03555,58.26895,18.2,0.8,0.35,165.7,0.611
37.90229,58.34654,16.5,0.65,0.56,2651.1,0.616
38.00868,58.30254,18.2,0.8,0.74,197.0,0.545
37.97059,58.34552,18.6,0.8,1.05,1132.3,0.579
37.93567,58.28452,18.2,0.8,0.03,147.3,0.667
37.96865,58.33112,12.3,0.5,0.88,143.6,0.128
37.96699,58.33390,19.8,0.8,0.88,143.6,0.555
37.97899,58.25214,11.5,0.5,0.09,140.8,0.246
37.97965,58.25254,11.5,0.5,0.09,140.8,0.246
37.98115,58.25032,14.9,0.65,0.09,144.0,0.452
37.98124,58.24814,18.4,0.8,0.83,144.0,0.530
37.96730,58.21870,18.5,0.8,0.87,143.4,0.525
37.95947,58.20893,18.2,0.8,0.39,158.6,0.603
37.93405,58.23228,18.4,0.8,0.38,98.2,0.605
38.02458,58.24072,16.4,0.65,0.57,141.6,0.403
37.89000,58.37097,18.3,0.8,0.89,2478.0,0.712
37.96842,58.23546,19.0,0.8,0.46,132.7,0.608
37.95674,58.35747,18.3,0.8,1.10,2119.0,0.645
37.98428,58.28843,18.2,0.8,0.32,146.4,0.615
37.90767,58.40842,18.2,0.8,0.74,2957.8,0.777
38.02479,58.26432,14.8,0.65,0.63,173.6,0.357
37.93837,58.43313,22.1,0.8,0.91,2755.9,0.822
37.95090,58.34380,18.2,0.8,1.10,2062.3,0.638
37.90929,58.41524,18.3,0.8,0.74,2980.3,0.781
37.96010,58.38531,15.0,0.65,1.05,2669.4,0.496
