lat,lon,settlement_year,cohort,infiltration_obj
41.31361,69.28263,1985,Soviet (<=1991),0.8
41.32959,69.22031,1985,Soviet (<=1991),0.8
41.19993,69.22222,1985,Soviet (<=1991),0.8
41.19813,69.21787,1985,Soviet (<=1991),0.8
41.21873,69.18896,0,unknown,0.65
41.17237,69.20714,0,unknown,0.65
41.17000,69.12477,1985,Soviet (<=1991),0.8
41.20612,69.12077,2001,1992-2010,0.65
41.27966,69.10286,2009,1992-2010,0.65
41.30731,69.13721,1985,Soviet (<=1991),0.8
41.27211,69.14126,1985,Soviet (<=1991),0.8
41.24079,69.36633,0,unknown,0.65
41.38536,69.41349,2009,1992-2010,0.65
41.37721,69.43337,1991,Soviet (<=1991),0.8
41.35658,69.35368,1985,Soviet (<=1991),0.8
41.39960,69.36546,2015,post-2010,0.5
41.41602,69.42606,1985,Soviet (<=1991),0.8
41.39871,69.33697,2003,1992-2010,0.65
41.41949,69.36660,2003,1992-2010,0.65
41.28737,69.42734,0,unknown,0.65
41.22157,69.21670,1985,Soviet (<=1991),0.8
41.37929,69.30494,1985,Soviet (<=1991),0.8
41.35143,69.22481,2011,post-2010,0.5
41.35651,69.37348,1997,1992-2010,0.65
41.26589,69.23059,1985,Soviet (<=1991),0.8
41.32648,69.31822,1985,Soviet (<=1991),0.8
41.34324,69.23270,1985,Soviet (<=1991),0.8
41.29911,69.25540,1985,Soviet (<=1991),0.8
41.26455,69.15287,2007,1992-2010,0.65
41.27318,69.19522,2013,post-2010,0.5
41.36491,69.26260,1992,1992-2010,0.65
41.29303,69.18695,2012,post-2010,0.5
41.26675,69.23750,1985,Soviet (<=1991),0.8
41.36551,69.19143,1985,Soviet (<=1991),0.8
41.26164,69.15788,1985,Soviet (<=1991),0.8
41.33505,69.36696,2007,1992-2010,0.65
41.22248,69.21675,1985,Soviet (<=1991),0.8
41.31726,69.31400,1985,Soviet (<=1991),0.8
41.26650,69.31740,1985,Soviet (<=1991),0.8
41.31997,69.22897,1985,Soviet (<=1991),0.8
41.34272,69.38883,1985,Soviet (<=1991),0.8
41.22098,69.21750,1985,Soviet (<=1991),0.8
41.25178,69.20195,1985,Soviet (<=1991),0.8
41.28200,69.13842,1992,1992-2010,0.65
41.30424,69.28791,1985,Soviet (<=1991),0.8
41.29936,69.26529,1985,Soviet (<=1991),0.8
41.27562,69.28940,1985,Soviet (<=1991),0.8
41.29346,69.27365,1985,Soviet (<=1991),0.8
41.30808,69.29334,1985,Soviet (<=1991),0.8
41.29195,69.26264,1985,Soviet (<=1991),0.8
41.27700,69.17715,1995,1992-2010,0.65
41.29597,69.28345,1985,Soviet (<=1991),0.8
41.32960,69.32436,1985,Soviet (<=1991),0.8
41.29269,69.29936,1985,Soviet (<=1991),0.8
41.29020,69.31857,1985,Soviet (<=1991),0.8
41.37698,69.31591,1985,Soviet (<=1991),0.8
41.35749,69.28978,1985,Soviet (<=1991),0.8
41.33036,69.27860,1985,Soviet (<=1991),0.8
41.31100,69.29289,1985,Soviet (<=1991),0.8
41.28705,69.16756,1993,1992-2010,0.65
41.31990,69.27691,1997,1992-2010,0.65
41.35538,69.19116,1985,Soviet (<=1991),0.8
41.35811,69.18423,1985,Soviet (<=1991),0.8
41.28238,69.23681,1985,Soviet (<=1991),0.8
41.28532,69.22110,1985,Soviet (<=1991),0.8
41.32940,69.33687,1985,Soviet (<=1991),0.8
41.19061,69.21089,1985,Soviet (<=1991),0.8
41.25955,69.25643,1985,Soviet (<=1991),0.8
