lat,lon,settlement_year,cohort,infiltration_obj
41.32874,69.25724,1985,Soviet (<=1991),0.8
41.33616,69.24934,1985,Soviet (<=1991),0.8
41.33064,69.26441,1985,Soviet (<=1991),0.8
41.32824,69.29181,1985,Soviet (<=1991),0.8
41.32561,69.30280,1985,Soviet (<=1991),0.8
41.29501,69.25317,1985,Soviet (<=1991),0.8
41.29291,69.22018,1985,Soviet (<=1991),0.8
41.29471,69.22044,1985,Soviet (<=1991),0.8
41.25037,69.30734,1985,Soviet (<=1991),0.8
41.25036,69.30871,1985,Soviet (<=1991),0.8
41.24729,69.29867,1985,Soviet (<=1991),0.8
41.30419,69.27387,1985,Soviet (<=1991),0.8
41.28368,69.35086,1985,Soviet (<=1991),0.8
41.24677,69.30541,1985,Soviet (<=1991),0.8
41.35051,69.34335,2006,1992-2010,0.65
41.17747,69.24733,1995,1992-2010,0.65
41.29618,69.27847,1985,Soviet (<=1991),0.8
41.29296,69.36583,1991,Soviet (<=1991),0.8
41.29454,69.34648,1985,Soviet (<=1991),0.8
41.29497,69.34470,1985,Soviet (<=1991),0.8
41.30874,69.23502,1992,1992-2010,0.65
41.30831,69.23610,1985,Soviet (<=1991),0.8
41.36936,69.20893,2006,1992-2010,0.65
41.36947,69.21899,1985,Soviet (<=1991),0.8
41.36811,69.19837,2007,1992-2010,0.65
41.28196,69.28908,1985,Soviet (<=1991),0.8
41.36451,69.23207,1991,Soviet (<=1991),0.8
41.36399,69.23121,1985,Soviet (<=1991),0.8
41.36424,69.23173,1985,Soviet (<=1991),0.8
41.33130,69.32781,1985,Soviet (<=1991),0.8
41.27480,69.34558,1985,Soviet (<=1991),0.8
41.27583,69.35505,1985,Soviet (<=1991),0.8
41.27037,69.29447,2015,post-2010,0.5
41.27460,69.29794,1985,Soviet (<=1991),0.8
41.37926,69.30385,1985,Soviet (<=1991),0.8
41.36371,69.27886,1985,Soviet (<=1991),0.8
41.30121,69.30949,1985,Soviet (<=1991),0.8
41.28638,69.35529,1985,Soviet (<=1991),0.8
41.29165,69.36342,1985,Soviet (<=1991),0.8
41.33286,69.16855,1991,Soviet (<=1991),0.8
41.33965,69.18099,1992,1992-2010,0.65
41.33815,69.17057,1985,Soviet (<=1991),0.8
41.33979,69.17899,1991,Soviet (<=1991),0.8
41.31056,69.32376,1985,Soviet (<=1991),0.8
41.26545,69.14974,1985,Soviet (<=1991),0.8
41.26694,69.15526,1985,Soviet (<=1991),0.8
41.26046,69.15356,1985,Soviet (<=1991),0.8
41.27756,69.16665,1992,1992-2010,0.65
41.31878,69.22963,1985,Soviet (<=1991),0.8
41.37961,69.28471,1985,Soviet (<=1991),0.8
41.34782,69.38780,1985,Soviet (<=1991),0.8
41.34756,69.38498,1985,Soviet (<=1991),0.8
41.30550,69.21161,1985,Soviet (<=1991),0.8
41.30284,69.21653,1985,Soviet (<=1991),0.8
41.28615,69.19788,2002,1992-2010,0.65
41.30324,69.20695,1985,Soviet (<=1991),0.8
41.26199,69.22609,1985,Soviet (<=1991),0.8
41.28231,69.27548,1985,Soviet (<=1991),0.8
41.27632,69.21832,1985,Soviet (<=1991),0.8
41.28662,69.30467,1985,Soviet (<=1991),0.8
41.32321,69.31788,1985,Soviet (<=1991),0.8
41.29981,69.22850,1985,Soviet (<=1991),0.8
41.25966,69.32129,1985,Soviet (<=1991),0.8
41.28604,69.34223,1985,Soviet (<=1991),0.8
41.28487,69.34029,1985,Soviet (<=1991),0.8
41.33314,69.30394,1985,Soviet (<=1991),0.8
41.22096,69.33315,1985,Soviet (<=1991),0.8
41.28121,69.34718,1985,Soviet (<=1991),0.8
41.34655,69.24523,1985,Soviet (<=1991),0.8
41.29248,69.32990,1985,Soviet (<=1991),0.8
41.29430,69.34244,1985,Soviet (<=1991),0.8
41.28052,69.18735,1985,Soviet (<=1991),0.8
41.27435,69.19950,1985,Soviet (<=1991),0.8
41.27921,69.18993,2013,post-2010,0.5
41.32651,69.19904,1985,Soviet (<=1991),0.8
41.26418,69.18178,1985,Soviet (<=1991),0.8
41.33767,69.37367,1985,Soviet (<=1991),0.8
41.33842,69.37422,1985,Soviet (<=1991),0.8
41.35892,69.39279,1985,Soviet (<=1991),0.8
41.34807,69.38603,1985,Soviet (<=1991),0.8
41.29879,69.25781,1985,Soviet (<=1991),0.8
41.33546,69.24747,1985,Soviet (<=1991),0.8
41.33694,69.24897,1985,Soviet (<=1991),0.8
41.24539,69.33142,1985,Soviet (<=1991),0.8
41.27850,69.22267,1985,Soviet (<=1991),0.8
41.28541,69.25161,1985,Soviet (<=1991),0.8
41.33377,69.32736,1985,Soviet (<=1991),0.8
41.28860,69.21290,1985,Soviet (<=1991),0.8
41.28557,69.22083,1985,Soviet (<=1991),0.8
41.36391,69.19287,1985,Soviet (<=1991),0.8
41.34797,69.35194,1985,Soviet (<=1991),0.8
41.35562,69.21495,1985,Soviet (<=1991),0.8
41.27396,69.26341,1985,Soviet (<=1991),0.8
41.34634,69.36606,1985,Soviet (<=1991),0.8
41.33327,69.32494,1985,Soviet (<=1991),0.8
41.28424,69.35718,0,unknown,0.65
41.18762,69.44341,1985,Soviet (<=1991),0.8
41.24714,69.22456,1998,1992-2010,0.65
41.19815,69.20968,1985,Soviet (<=1991),0.8
41.31449,69.10673,1994,1992-2010,0.65
41.26895,69.31820,1985,Soviet (<=1991),0.8
41.28226,69.16654,1985,Soviet (<=1991),0.8
41.25297,69.34050,1985,Soviet (<=1991),0.8
41.25361,69.34719,1985,Soviet (<=1991),0.8
41.20115,69.25035,1985,Soviet (<=1991),0.8
41.24730,69.15596,1985,Soviet (<=1991),0.8
41.26878,69.30131,1985,Soviet (<=1991),0.8
41.25923,69.20082,1985,Soviet (<=1991),0.8
41.26801,69.17491,1985,Soviet (<=1991),0.8
41.26104,69.15730,1985,Soviet (<=1991),0.8
41.23529,69.19090,1985,Soviet (<=1991),0.8
41.21889,69.21615,1985,Soviet (<=1991),0.8
41.27082,69.15848,1993,1992-2010,0.65
41.30684,69.18915,1985,Soviet (<=1991),0.8
41.30237,69.18470,1985,Soviet (<=1991),0.8
41.35496,69.30257,1985,Soviet (<=1991),0.8
41.35203,69.29848,1985,Soviet (<=1991),0.8
41.30850,69.23549,1985,Soviet (<=1991),0.8
41.32611,69.22599,1993,1992-2010,0.65
41.26961,69.23471,1985,Soviet (<=1991),0.8
41.31889,69.35533,1985,Soviet (<=1991),0.8
41.21275,69.23325,1985,Soviet (<=1991),0.8
41.21599,69.24092,1985,Soviet (<=1991),0.8
41.25639,69.32918,1985,Soviet (<=1991),0.8
41.27725,69.31280,1985,Soviet (<=1991),0.8
41.31742,69.29814,1985,Soviet (<=1991),0.8
41.34023,69.33455,1985,Soviet (<=1991),0.8
41.32691,69.34523,1985,Soviet (<=1991),0.8
41.33574,69.21831,1985,Soviet (<=1991),0.8
41.28804,69.26004,1985,Soviet (<=1991),0.8
41.35419,69.23786,1998,1992-2010,0.65
41.37610,69.28697,1985,Soviet (<=1991),0.8
41.20724,69.21655,1985,Soviet (<=1991),0.8
41.25969,69.21163,1985,Soviet (<=1991),0.8
41.34175,69.20059,1985,Soviet (<=1991),0.8
41.25765,69.37605,0,unknown,0.65
41.41731,69.31239,1985,Soviet (<=1991),0.8
41.28558,69.19999,1996,1992-2010,0.65
41.20026,69.22853,1985,Soviet (<=1991),0.8
41.35466,69.38818,1985,Soviet (<=1991),0.8
41.32377,69.35348,1985,Soviet (<=1991),0.8
41.28627,69.17885,1995,1992-2010,0.65
41.20411,69.13903,2001,1992-2010,0.65
41.28281,69.19677,2014,post-2010,0.5
41.32459,69.27913,1985,Soviet (<=1991),0.8
41.31784,69.32208,1985,Soviet (<=1991),0.8
41.33455,69.43946,2008,1992-2010,0.65
41.22678,69.12486,2008,1992-2010,0.65
41.19007,69.13531,1985,Soviet (<=1991),0.8
41.36665,69.32385,2007,1992-2010,0.65
41.25585,69.42954,1999,1992-2010,0.65
41.32214,69.16243,1985,Soviet (<=1991),0.8
41.22711,69.21076,1997,1992-2010,0.65
41.24756,69.28785,1990,Soviet (<=1991),0.8
41.27812,69.28742,1985,Soviet (<=1991),0.8
41.24708,69.31426,1985,Soviet (<=1991),0.8
41.32052,69.34713,1985,Soviet (<=1991),0.8
41.36500,69.27599,1985,Soviet (<=1991),0.8
41.31348,69.20318,1985,Soviet (<=1991),0.8
41.31789,69.23436,1985,Soviet (<=1991),0.8
41.35721,69.32663,1985,Soviet (<=1991),0.8
41.35071,69.31691,1985,Soviet (<=1991),0.8
41.36991,69.28961,1991,Soviet (<=1991),0.8
41.37782,69.26227,1996,1992-2010,0.65
41.26403,69.21177,1985,Soviet (<=1991),0.8
41.34930,69.34287,1985,Soviet (<=1991),0.8
41.35107,69.34511,1985,Soviet (<=1991),0.8
41.26862,69.25018,1985,Soviet (<=1991),0.8
41.23859,69.25532,1992,1992-2010,0.65
41.25701,69.31804,1985,Soviet (<=1991),0.8
41.24731,69.29133,1985,Soviet (<=1991),0.8
41.33285,69.22354,1985,Soviet (<=1991),0.8
41.28298,69.34457,1985,Soviet (<=1991),0.8
41.28274,69.18569,2012,post-2010,0.5
41.29903,69.35864,1999,1992-2010,0.65
41.27374,69.27554,1985,Soviet (<=1991),0.8
41.37257,69.23836,1993,1992-2010,0.65
41.36960,69.29957,1985,Soviet (<=1991),0.8
41.39154,69.25251,1985,Soviet (<=1991),0.8
41.37053,69.28329,1995,1992-2010,0.65
41.36700,69.29792,1985,Soviet (<=1991),0.8
41.37487,69.31495,1985,Soviet (<=1991),0.8
41.37269,69.28073,1985,Soviet (<=1991),0.8
41.37569,69.31676,1994,1992-2010,0.65
41.36554,69.31116,1999,1992-2010,0.65
41.36890,69.31896,1985,Soviet (<=1991),0.8
41.36823,69.20132,1985,Soviet (<=1991),0.8
41.21750,69.26462,2005,1992-2010,0.65
41.31069,69.18098,1985,Soviet (<=1991),0.8
41.31452,69.16401,1991,Soviet (<=1991),0.8
41.30825,69.16901,1985,Soviet (<=1991),0.8
41.28010,69.18831,1985,Soviet (<=1991),0.8
41.37811,69.30220,2002,1992-2010,0.65
41.36998,69.26828,1985,Soviet (<=1991),0.8
41.37033,69.30612,1985,Soviet (<=1991),0.8
