school_i,dist_m,no2_umol_m2
387,51,206.1
388,2091,221.1
389,384,159.7
390,269,190.8
391,257,215.9
392,684,183.6
393,147,226.4
394,1619,179.3
395,2894,171.7
396,1166,179.0
397,2521,259.4
398,53,251.3
399,876,252.8
400,457,251.3
401,368,273.5
402,1145,266.1
403,647,302.9
404,235,303.1
405,149,294.9
406,286,305.2
407,769,293.6
408,212,232.6
409,2701,165.8
410,623,280.9
411,1033,258.6
412,632,260.3
413,1048,253.4
414,839,282.7
415,534,291.0
416,96,224.9
417,59,281.2
418,938,189.8
419,214,244.3
420,540,232.6
421,2572,271.3
422,474,300.8
423,1773,279.4
424,1103,234.9
425,478,235.6
426,884,271.5
427,1310,265.0
428,1880,249.9
429,309,273.6
430,90,264.6
431,74,256.6
432,2040,269.1
433,1564,149.6
