season,mean,median,std,min,max,count
Winter,79.30300894854587,64.415,52.29229594094967,9.35,290.0,3576
Fall,63.9110119047619,49.585,50.17065865026691,4.83,290.0,2184
Summer,43.57439207650273,35.53,31.042593272826238,4.75,290.0,2928
Spring,42.34173007246377,33.265,33.106185005421516,3.42,290.0,4416
